ID,英文名稱,中文名稱,圖片,中國大陸譯名,國籍,專長,生歿年,更新日期
3540314,"Buchbinder, Rudolf",布赫賓德,,布赫宾德,奧地利,鋼琴,1946-,2018-05-30
3540315,"Budoš,  Marián",布多斯,,布多什,斯洛伐克,作曲,1968-,2018-05-30
3540316,"Bukofzer, Manfred",布科夫澤,,布科夫策尔,美國,音樂學,1910-1955,2018-05-30
3540317,"Bull, John",布爾，約翰,,布尔，约翰,英國,管風琴； 作曲,ca.1562-1628,2018-05-30
3540318,"Bull, Ole",布爾，奧勒,,布尔，奥勒,挪威,小提琴；作曲,1810-1880,2018-05-30
3540319,"Bülow, Hans von",畢羅,,彪罗,德國,指揮；鋼琴,1830-1894,2018-05-30
3540320,"Bunin, Stanislav",布寧,,布宁,俄國,鋼琴,1966-,2018-05-30
3540321,"Buonamici, Giuseppe",布歐納米契,,博奥纳米奇,義大利,鋼琴,1846-1914,2018-05-30
3540322,"Burge, David",布爾吉,,伯奇,美國,作曲,1930-2013,2018-05-30
3540323,"Burgmüller, Johann Friedrich",布爾格繆勒，約翰,,布格缪勒，约翰,德國,作曲,1806-1874,2018-05-30
3540324,"Burgmüller, Norbert",布爾格繆勒，諾貝爾,,布格缪勒，诺伯特,德國,作曲,1810-1836,2018-05-30
3540325,"Burmester, Willy",布爾梅斯特,,布尔梅斯特,德國,小提琴,1869-1933,2018-05-30
3540326,"Busch, Adolf",布許，阿道夫,,布什，阿道夫,德國,小提琴；指揮,1891-1952,2018-05-30
3540327,"Busch, Fritz",布許，弗利茲,,布什，弗利兹,德國,鋼琴；指揮,1890-1951,2018-05-30
3540328,"Bush, Alan",布希，阿朗,,布什，阿兰,英國,作曲；指揮；鋼琴,1900-1995,2018-05-30
3540329,"Busoni, Ferruccio",布梭尼,,布索尼,義大利,鋼琴；作曲,1866-1924,2018-05-30
3540330,"Bussotti, Sylvano",布索悌,,布索蒂,義大利,作曲,1931-,2018-05-30
3540331,"Butterworth, Arthur",巴特沃斯，阿瑟,,巴特沃思，阿瑟,英國,作曲；指揮；小號,1923-2014,2018-05-30
3540332,"Butterworth, George",巴特沃斯，喬治,,巴特沃思，乔治,英國,作曲,1885-1916,2018-05-30
3540333,"Buxtehude, Dietrich",布克斯泰烏德,,布克斯特胡德,丹麥,管風琴；作曲,ca.1637-1707,2018-05-30
3540334,"Bychkov, Semyon",畢契科夫,,贝奇科夫,俄國,指揮,1952-,2018-05-30
3540335,"Byrd, William",拜爾德,,伯德,英國,管風琴；作曲,1543-1623,2018-05-30
3540336,"Byron, Avior",拜倫,,拜伦,以色列,作曲,1973-,2018-05-30
3540337,"Caballé, Monsterrat",卡芭葉,,卡巴耶,西班牙,女高音,1933-,2018-05-30
3540338,"Cabezón, Antonio de",卡貝頌,,卡贝松，安东尼奥·德,西班牙,作曲；管風琴,1510-1566,2018-05-30
3540339,"Caccini, Francesca",卡契尼，弗朗切斯卡,,卡奇尼,義大利,作曲；聲樂,1587-ca.1645,2018-05-30
3540340,"Cage, John",凱基,,凯奇，约翰,美國,作曲；鋼琴,1912-1992,2018-05-30
3540341,"Callas, Maria",卡拉絲,,卡拉斯,美國,女高音,1923-1977,2018-05-30
3540342,"Calvé, Emma",卡爾威,,卡尔韦,法國,女高音,1858-1942,2018-05-30
3540343,"Calvocoressi, Michel Dimitri",卡弗柯瑞西,,卡尔伏科瑞西,法國,音樂著作,1877-1944,2018-05-30
3540344,"Cameron, Basil",凱梅隆，巴西爾,,卡梅伦，巴兹尔,英國,指揮,1884-1975,2018-05-30
3540345,"Campanella, Michele",康帕內拉,,康帕内拉,義大利,鋼琴,1947-,2018-05-30
3540346,"Campoli, Alfredo",康波利,,康波利,義大利,小提琴,1906-1991,2018-05-30
3540347,"Canino, Bruno",卡尼諾,,卡尼诺,義大利,鋼琴,1935-,2018-05-30
3540348,"Cannon, Philip",康農,,坎农,英國,作曲,1929-2016,2018-05-30
3540349,"Cantelli, Guido",康泰利,,坎泰利,義大利,指揮,1920-1956,2018-05-30
3540350,"Canteloube, Joseph",康特盧布,,康特卢布,法國,作曲,1879-1957,2018-05-30
3540351,"Capet, Lucien",卡貝,,卡佩,法國,小提琴；作曲,1873-1928,2018-05-30
3540352,"Caplet, Andre",卡普萊,,卡普莱,法國,指揮；作曲,1878-1925,2018-05-30
3540353,"Capricornus, Samuel Friedrich",卡普利科努斯,,卡普利科努斯,德國,作曲,1628-1665,2018-05-30
3540354,"Carissimi, Giacomo",卡裏西密,,卡里西米,義大利,作曲,1605-1674,2018-05-30
3540355,"Carpenter, John Alden",卡本特，約翰,,卡彭特,美國,作曲,1876-1951,2018-05-30
3540356,"Carreňo, Teresa",卡瑞諾,,卡雷尼奥,委內瑞拉,鋼琴；聲樂；指揮；作曲,1853-1917,2018-05-30
3540357,"Carreras, Jose",卡瑞拉斯,,卡雷拉斯,西班牙,男高音,1946-,2018-05-30
3540358,"Carter, Elliot",卡特,,卡特,美國,作曲,1908-1972,2018-05-30
3540359,"Caruso, Enrico",卡路索,,卡鲁索,義大利,男高音,1873-1921,2018-05-30
3540360,"Casadesus, Gaby",卡薩德旭，蓋比,,卡扎德絮，盖比,法國,鋼琴,1901-1999,2018-05-30
3540361,"Casadesus, Jean-Claude",卡薩德旭，尚－克勞德,,卡扎德絮，让-克洛德,法國,指揮,1935-,2018-05-30
3540362,"Casadesus, Robert",卡薩德旭，羅伯,,卡扎德絮，罗贝尔,法國,鋼琴；作曲,1899-1972,2018-05-30
3540363,"Casals, Pablo",卡薩爾斯,,卡萨尔斯,西班牙,大鍵琴；指揮；作曲,1876-1973,2018-05-30
3540364,"Casella, Alfredo",卡瑟拉,,卡塞拉,義大利,作曲；指揮；鋼琴,1883-1947,2018-05-30
3540365,"Cassadó, Gaspar",卡薩多,,卡萨多,西班牙,大鍵琴；作曲,1897-1966,2018-05-30
3540366,"Castelnuovo-Tedesco, Mario",卡斯特諾沃－泰德斯可,,卡斯泰尔诺沃-泰代斯科,義大利,作曲,1895-1968,2018-05-30
3540367,"Catalani, Alfredo",卡他拉尼，阿弗列多,,卡塔拉尼，阿尔弗雷多,義大利,作曲,1854-1893,2018-05-30
3540368,"Catalani, Angelica",卡他拉尼，安潔莉卡,,卡塔拉尼，安杰莉卡,義大利,女高音,1780-1849,2018-05-30
3540369,"Catoire, Georgi Lvovitch",卡托列,,卡托瓦,俄國,作曲,1861-1926,2018-05-30
3540370,"Cebotari, Maria",契波塔莉,,切博塔里,俄國,女高音,1910-1949,2018-05-30
3540371,"Ceccato, Aldo",切卡托,,切卡多,義大利,指揮,1934-,2018-05-30
3540372,"Čelanský, Ludvik Vitezslav",切蘭斯基,,切兰斯基,捷克,指揮；作曲,1870-1931,2018-05-30
3540373,"Celibidache, Sergiu",契利比達凱,,契利比达凯,羅馬尼亞,指揮；作曲,1912-1996,2018-05-30
3540374,"Cerha, Friedrich",契爾哈,,采尔哈,奧地利,作曲；小提琴,1926-,2018-05-30
3540375,"Ceruti, Roque",切魯提,,契鲁蒂,義大利,作曲,1683-1760,2018-05-30
3540376,"Cervantes, Ignacio",賽凡提斯,,赛万提斯,古巴,作曲,1847-1905,2018-05-30
3540377,"Cesti, Marco Antonio",切斯提,,契斯蒂,義大利,作曲,1623-1669,2018-05-30
3540378,"Chabrier, Emmanuel Alexis",夏布里耶,,夏布里埃,法國,作曲,1841-1894,2018-05-30
3540379,"Chadwick, George Whitefield",查德維克,,查德威克,美國,作曲,1854-1931,2018-05-30
3540380,"Chagrin, Francis",夏格林,,查格林,羅馬尼亞,作曲；指揮,1905-1972,2018-05-30
3540381,"Chailly, Luciano",夏伊，路恰諾,,夏伊，卢恰诺,義大利,作曲,1920-2002,2018-05-30
3540382,"Chailly, Riccardo",夏伊，李卡多,,夏伊，里卡尔多,義大利,指揮,1953-,2018-05-30
3540383,"Chaliápin Fyodor Iranovich {Shalyapin, Fyodor}",夏里亞平,,夏利亚宾,俄國,男低音,1873-1938,2018-05-30
3540384,"Chambonnières, Jacques Champion de",尚博尼耶爾,,尚博尼埃,法國,作曲；大鍵琴,ca.1602-1672,2018-05-30
3540385,"Chaminade, Cécile",夏米娜德,,夏米纳德,法國,鋼琴；作曲,1857-1944,2018-05-30
3540386,"Charpentier, Gustave",夏邦提耶，古斯塔夫,,夏邦蒂埃，古斯塔夫,法國,作曲,1860-1956,2018-05-30
3540387,"Charpentier, Marc-Antoine",夏邦提耶，馬克－安東尼,,夏邦蒂埃，马克-安托万内,法國,作曲,1645/1650-1704,2018-05-30
3540388,"Chasins, Abram",蔡辛斯,,蔡辛斯,美國,鋼琴；作曲,1903-1987,2018-05-30
3540389,"Chausson, Ernest",蕭頌,,肖松,法國,作曲,1855-1899,2018-05-30
3540390,"Chávez, Carlos",恰維士,,查维斯,墨西哥,作曲；指揮,1899-1978,2018-05-30
3540391,"Chemin-Petit, Hans",瑟曼－波悌,,谢芒-彼蒂,法國,作曲；指揮,1902-1981,2018-05-30
3540392,"Cherkassky, Shura",切卡斯基,,切尔卡斯基,美國,鋼琴,1911-1995,2018-05-30
3540393,"Cherry, Don",徹里,,切里,美國,爵士樂；小號；鋼琴,1936-1995,2018-05-30
3540394,"Cherubini, Luigi",凱魯碧尼,,凯鲁比尼,義大利,作曲,1760-1842,2018-05-30
3540395,"Chevillard, Camille",謝維雅爾,,谢维亚,法國,指揮；作曲,1859-1923,2018-05-30
3540396,"Chopin, Frederic",蕭邦,,肖邦,波蘭,作曲；鋼琴,1810-1849,2018-05-30
3540397,"Chotzinoff, Samuel",喬奇諾夫,,乔齐诺夫,美國,鋼琴,1889-1964,2018-05-30
3540398,"Christoff, Boris",克里斯托夫,,克里斯托夫,保加利亞,男低音,1914-1993,2018-05-30
3540399,"Christou, Jani",克里斯托,,克里斯托,希臘,作曲,1926-1970,2018-05-30
3540400,"Chrysander, Friedrich",克里桑德,,克里桑德尔,德國,音樂史,1826-1901,2018-05-30
3540401,"Chung, Kyung-Wha",鄭京和,,郑京和,韓國,小提琴；作曲,1948-,2018-05-30
3540402,"Chung, Myung-Wha",鄭明和,,郑明和,韓國,大提琴,1944-,2018-05-30
3540403,"Chung, Myung-Whun",鄭明勳,,郑明勋,韓國,鋼琴；指揮,1953-,2018-05-30
3540404,"Ciani, Dino",恰尼,,恰尼,義大利,鋼琴,1941-1974,2018-05-30
3540405,"Ciccolini, Aldo",齊可利尼,,奇科利尼,法國,鋼琴,1925-,2018-05-30
3540406,"Cikker, Ján",齊克,,齐克,捷克,作曲,1911-1989,2018-05-30
3540407,"Cilea, Francesco",齊雷亞,,奇莱亚,義大利,作曲,1866-1950,2018-05-30
3540408,"Cimarosa, Domenico",齊馬洛沙,,奇马罗萨,義大利,作曲,1749-1801,2018-05-30
3540409,"Ciurlionis, Mikalojus",朱利歐尼斯,,丘利奥尼斯,立陶宛,作曲,1875-1911,2018-05-30
3540410,"Civil, Alan",西維爾,,西维尔,英國,圓號；作曲,1929-1989,2018-05-30
3540411,"Clementi, Muzio",克雷門提，穆奇歐,,克雷门蒂，穆齐奥,義大利,鋼琴；作曲,1752-1832,2018-05-30
3540412,"Cleobury, Nicholas",克雷歐伯利,,克利奥伯利,英國,指揮；管風琴；鋼琴,1950-,2018-05-30
3540413,"Clérambault, Louis-Nicolas",克雷蘭伯,,克莱朗博,法國,管風琴；作曲,1676-1749,2018-05-30
3540414,"Cleve, Halfdan",克雷威,,克莱韦,挪威,作曲,1879-1951,2018-05-30
3540415,"Cliburn, Van",克萊本,,克莱本,美國,鋼琴,1934-2013,2018-05-30
3540416,"Cliffe, Frederic",克利夫,,克利夫,英國,作曲；鋼琴；管風琴,1857-1931,2018-05-30
3540417,"Cluytens, Andre",克呂坦,,克吕坦,比利時,指揮,1905-1967,2018-05-30
3540418,"Coates, Albert",柯次，阿伯特,,科茨，阿伯特,英國,指揮；作曲,1882-1953,2018-05-30
3540419,"Coates, Eric",柯次，艾里克,,科茨，埃里克,英國,作曲；小提琴,1886-1957,2018-05-30
3540420,"Cohen, Harriet",柯恩，哈莉葉特,,科恩，哈里艾特,英國,鋼琴,1895-1967,2018-05-30
3540421,"Cohen, Henri",柯恩，亨利,,科恩，亨利,荷蘭,作曲,1808-1880,2018-05-30
3540422,"Coleridge-Taylor, Samuel",柯爾瑞基－泰勒,,科勒里奇-泰勒,英國,作曲,1875-1912,2018-05-30
3540423,"Collard, Jean-Philippe",柯拉爾,,科拉尔,法國,鋼琴,1948-,2018-05-30
3540424,"Collingwood, Lawrance",柯林伍德,,科林伍德,英國,作曲；指揮,1887-1982,2018-05-30
3540425,"Collins, Anthony",柯林斯,,科林斯,英國,作曲；指揮,1893-1963,2018-05-30
3540426,"Colonne, Edouard",柯隆納,,科洛纳，爱德华,法國,指揮,1838-1910,2018-05-30
3540427,"Comissiona, Sergiu",柯密西歐納,,科米西奥纳,美國,指揮,1928-2005,2018-05-30
3540428,"Concone, Giuseppe",孔科內,,孔科内,義大利,作曲,1801-1861,2018-05-30
3540429,"Conlon, James",康隆,,康伦,美國,指揮,1950-,2018-05-30
3540430,"Conrad, Ferdinand",康拉德，費迪南,,康拉德,德國,單簧管,1912-,2018-05-30
3540431,"Cooke, Arnold (Atkinson)",庫克，阿諾,,库克，阿诺尔德,英國,作曲,1906-2005,2018-05-30
3540432,"Cooke, Deryck",庫克，德瑞克,,库克，德里克,英國,音樂學,1919-1976,2018-05-30
3540433,"Cooper, Imogen",庫珀，伊莫根,,库伯，伊莫金,英國,鋼琴,1949-,2018-05-30
3540434,"Cooper, Martin",庫珀，馬丁,,库伯，马丁,英國,樂評,1910-1986,2018-05-30
3540435,"Copland, Aaron",柯普蘭,,科普兰,美國,作曲；鋼琴；指揮,1900-1990,2018-05-30
3540436,"Coppola, Piero",柯波拉，皮耶羅,,科波拉，彼耶罗,義大利,指揮；作曲,1888-1971,2018-05-30
3540437,"Coppola, Pietro",柯波拉，皮耶特羅,,科波拉，彼耶特罗,義大利,作曲,1793-1877,2018-05-30
3540438,"Cordero, Alvaro",柯德羅，阿瓦洛,,科尔德罗,委內瑞拉,作曲,1954-,2018-05-30
3540439,"Corelli, Arcangelo",柯雷里，阿爾坎傑羅,,科雷利，阿尔坎杰洛,義大利,小提琴；作曲,1653-1713,2018-05-30
3540440,"Corelli[Dario], Franco",柯雷里，法蘭克,,科雷利，佛朗哥,義大利,男高音,1921-2003,2018-05-30
3540441,"Corena, Fernando",柯雷納,,科雷纳,義大利,男低音,1916-1984,2018-05-30
3540442,"Corigliano, John",柯瑞良諾,,科里利亚诺,美國,作曲,1938-,2018-05-30
3540443,"Cornelius, Peter",柯奈流士,,科内利乌斯,德國,作曲,1824-1874,2018-05-30
3540444,"Corrette, Gaspard",柯雷特，加斯帕,,科雷特,法國,作曲,1671-ca.1733,2018-05-30
3540445,"Cortot, Alfred",柯爾托,,科尔托,法國,鋼琴；指揮,1877-1962,2018-05-30
3540446,"Cosma, Edgar",柯斯瑪,,科斯马,羅馬尼亞,指揮；作曲,1925-,2018-05-30
3540447,"Cosset, François",柯謝,,科塞,法國,作曲,ca.1620-1682,2018-05-30
3540448,"Cossotto, Fiorenza",柯索多,,科索多,義大利,次女高音,1935-,2018-05-30
3540449,"Cossutta, Carlo",柯素塔,,科苏达,義大利,男高音,1932-2000,2018-05-30
3540450,"Cotrubas, Ileana",柯楚巴絲,,科特鲁巴斯,羅馬尼亞,女高音,1939-,2018-05-30
3540451,"Couperin, François",庫普蘭，法朗索瓦,,库普兰，弗朗索瓦,法國,管風琴；作曲,1668-1733,2018-05-30
3540452,"Couperin, Louis",庫普蘭，路易,,库普兰，路易,法國,作曲；管風琴,ca.1626-1661,2018-05-30
3540453,"Coward, Henry",柯瓦德,,科沃德,英國,指揮；鋼琴；作曲,1849-1944,2018-05-30
3540454,"Cowell, Henry Dixon",柯威爾,,考埃尔,美國,作曲；鋼琴,1897-1965,2018-05-30
3540455,"Cowen, Frederic Hymen",柯文,,考恩,英國,作曲；指揮,1852-1935,2018-05-30
3540456,"Craft, Robert",克拉夫特,,克拉夫特,美國,指揮；音樂學,1923-2015,2018-05-30
3540457,"Cramer, Johann Baptist",克拉莫,,克拉默,德國,鋼琴,1771-1858,2018-05-30
3540458,"Cranmer, Philip",克朗莫,,克兰默,英國,作曲,1918-2006,2018-05-30
3540459,"Crawford(Seeger), Ruth",克勞福特，露絲,,克劳福特(西格),美國,作曲,1901-1953,2018-05-30
3540460,"Craxton, Harold",克拉克斯頓，哈洛德,,克拉克斯顿,英國,鋼琴,1885-1971,2018-05-30
3540461,"Crespin, Régine",克蕾絲潘,,克雷斯潘,法國,女高音,1927-2007,2018-05-30
3540462,"Crossley, Paul",克勞斯利,,克罗斯利,英國,鋼琴,1944-,2018-05-30
3540463,"Crumb, George (Henry)",克倫姆,,克拉姆,美國,作曲,1929-,2018-05-30
3540464,"Cruz Mena, José de la",古魯士梅納,,克鲁斯，梅纳,尼加拉瓜,作曲,1874-1907,2018-05-30
3540465,"Csillag, Pierre",齊拉格,,契拉格,匈牙利,作曲,1938-,2018-05-30
3540466,"Cuénod, Hugues",奎諾,,居埃诺,瑞士,男高音,1902-2010,2018-05-30
3540467,"Cui, César (Antonowich)",居伊,,居伊,俄國,作曲,1835-1918,2018-05-30
3540468,"Curtis, Natalie",寇悌絲,,柯蒂斯,美國,鋼琴,1875-1921,2018-05-30
3540469,"Curubeto Godoy, María I.",古魯貝多—果多伊,,库鲁贝多-果多伊,阿根廷,作曲,1898-1959,2018-05-30
3540470,"Curzon, Clifford",柯增,,柯赞，克利福德,英國,鋼琴,1907-1982,2018-05-30
3540471,"Czarnecki, Slawomir Stanislaw",恰爾內茲基,,恰尔内茨基,波蘭,作曲,1949-,2018-05-30
3540472,"Czernohorsky, Bohuslav",徹爾諾豪斯基,,车尔诺霍尔斯基,捷克,作曲,1684-1742,2018-05-30
3540473,"Czerny, Carl",徹爾尼,,车尔尼,奧地利,鋼琴；作曲；鋼琴教師,1791-1857,2018-05-30
3540474,"Czerny-Stefanska, Halina",徹爾尼－詩特凡絲卡,,车尔尼-斯特凡斯卡,波蘭,鋼琴,1922-2001,2018-05-30
3540475,"Cziffra, György",齊弗拉,,齐弗拉,匈牙利,鋼琴,1921-1994,2018-05-30
3540476,"Czyz, Henryk",齊茲,,奇兹,波蘭,指揮；作曲,1923-2003,2018-05-30
3540477,"Dal Monte, Toti",達爾蒙特,,达尔·蒙特,義大利,女高音,1893-1975,2018-05-30
3540478,"d'Albert, Eugéne",達貝爾,,达尔贝，欧仁,英國,作曲；鋼琴,1864-1932,2018-05-30
3540479,"Dalberto, Michel",達貝托,,达尔贝托,法國,鋼琴,1955-,2018-05-30
3540480,"Dallapiccola, Luigi",達拉匹可拉,,达拉皮科拉,義大利,作曲；鋼琴,1904-1975,2018-05-30
3540481,"Damrosch, Leopold",達姆羅許，雷歐波德,,达姆罗什，利奥波德,美國,小提琴；指揮；作曲,1832-1885,2018-05-30
3540482,"Damrosch, Walter",達姆羅許，華爾特,,达姆罗什，瓦尔特,美國,指揮；作曲,1862-1950,2018-05-30
3540483,"Dan, Ikuma",團伊玖磨,,团伊玖磨,日本,作曲,1924-2001,2018-05-30
3540484,"Dancla, Charles",丹克拉,,丹克拉,法國,小提琴；作曲,1817-1907,2018-05-30
3540485,"Danco, Suzanne",丹可,,丹科,比利時,女高音,1911-2000,2018-05-30
3540486,"Dandelot, Georges",丹德洛,,丹德洛,法國,作曲,1895-1975,2018-05-30
3540487,"d'Anglebert, Jean Henri",丹格勒貝爾,,丹格勒贝厄,法國,作曲,1635-1691,2018-05-30
3540488,"Daniel-Lesur, Jean Yves",達尼耶 勒旭爾,,达尼尔-勒絮尔,法國,作曲,1908-2002,2018-05-30
3540489,"Danon, Osakar",達農,,达农,南斯拉夫,指揮；作曲,1913-2009,2018-05-30
3540490,"Danzi, Franz",丹濟,,丹齐,德國,作曲,1763-1826,2018-05-30
3540491,"Daquin, Louis-Claude",達干,,达坎,法國,作曲；大鍵琴,1694-1772,2018-05-30
3540492,"d'Arányi, Jelly",阿蘭尼,,道拉尼,匈牙利,小提琴,1895-1966,2018-05-30
3540493,"Dargomyzhisky, Alexander",達果密吉斯基,,达尔戈梅日斯基,俄國,鋼琴；作曲,1813-1869,2018-05-30
3540494,"d'Arienzo, Nicola",達連佐,,达里恩佐,義大利,作曲,1842-1915,2018-05-30
3540495,"Dart, Thurston",達特,,达特,英國,音樂學；大鍵琴,1921-1971,2018-05-30
3540496,"D'Avalos, Francesco",達瓦洛斯,,达瓦洛斯,義大利,作曲,1930-2014,2018-05-30
3540497,"David, Ferdinand",大衛，費迪南,,大卫，费迪南德,德國,小提琴；作曲,1810-1873,2018-05-30
3540498,"David, Johann Nepomuk",大衛，約翰,,大卫，约翰,奧地利,作曲；管風琴,1895-1977,2018-05-30
3540499,"Davidov(ff), Karl",大衛朵夫,,达维多夫,俄國,大提琴；作曲,1838-1889,2018-05-30
3540500,"Davis, Andrew",戴維斯，安德魯,,戴维斯，安德鲁,英國,指揮；管風琴,1944-,2018-05-30
3540501,"Davis,Colin",戴维斯，科林,,戴维斯，科林,英國,指揮,1927-2013,2018-05-30
3540502,"de Vito, Gioconda",韋托,,德·维托,義大利,小提琴,1907-1994,2018-05-30
3540503,"Debussy, Claude",德布西,,德彪西,法國,作曲,1862-1918,2018-05-30
3540504,"Defauw, Désiré",德佛,,德福,美國,小提琴；指揮,1885-1960,2018-05-30
3540505,"Del Mar, Norman",德爾馬,,德尔马尔，诺曼,英國,指揮；音樂著作,1919-1994,2018-05-30
3540506,"Del Monaco, Murio",莫納哥,,德尔·莫纳科,義大利,男高音,1915-1982,2018-05-30
3540507,"Del Tredici, David",崔迪西,,德尔·特雷迪奇,美國,作曲,1937-,2018-05-30
3540508,"Delalande, Michel Richard",德拉朗德,,德拉朗德,法國,作曲,1657-1726,2018-05-30
3540509,"Delgadillo, Luis Abraham",德爾加迪悠,,德尔加迪约,尼加拉瓜,作曲,1887-1961,2018-05-30
3540510,"Delgado Palacios, Ramon",德爾加多·帕拉西歐斯,,德尔加多·帕拉西奥斯,委內瑞拉,作曲,1863-1902,2018-05-30
3540511,"Delibes, Leo",德利伯,,德利布,法國,作曲,1836-1891,2018-05-30
3540512,"Delius, Frederick",戴里厄斯,,戴留斯,英國,作曲,1862-1934,2018-05-30
3540513,"Della Casa, Lisa",戴拉·卡莎,,德拉·卡萨,瑞士,女高音,1919-2012,2018-05-30
3540514,"Dello Joio, Norman",戴羅·喬約,,德罗·乔伊奥,美國,作曲,1913-2008,2018-05-30
3540515,"Demus, Jörg",德慕斯,,德穆斯,奧地利,鋼琴,1928-,2018-05-30
3540516,"Denisov, Edison Vasil'yevich [Vasilievich]",丹尼索夫,,德尼索夫,俄國,作曲,1929-1996,2018-05-30
3540517,"D'Erlanger, Barun Frederic",德朗惹,,戴尔朗热,英國,作曲,1868-1943,2018-05-30
3540518,"Dermota, Anton",戴莫塔,,德尔莫塔,前南斯拉夫,男高音,1910-1989,2018-05-30
3540519,"Desormiere, Roger",戴德索密耶,,德索米埃,風格,指揮；作曲,1898-1963,2018-05-30
3540520,"Desprez, Josquin(Josquin des Préz)",德普瑞 若斯坎,,德普雷，若斯坎,法國,作曲,ca.1440-1521,2018-05-30
3540521,"Dessau, Bernhard",德紹，伯恩哈德,,德绍，伯恩哈德,德國,小提琴,1861-1923,2018-05-30
3540522,"Dessau, Paul",德紹，保羅,,德绍，保罗,德國,作曲；指揮,1894-1979,2018-05-30
3540523,"Deutsch, Otto Erich",多伊奇,,多伊奇,奧地利,音樂學,1883-1967,2018-05-30
3540524,"Diabelli, Anton",迪亞貝里,,迪亚贝里,奧地利,作曲,1781-1858,2018-05-30
3540525,"Dickie, Murray",迪基,,迪基,英國,男高音,1924-1995,2018-05-30
3540526,"Dieupart, Charles",迪尤帕,,迪厄帕尔,法國,小提琴；作曲,1667-1740,2018-05-30
