ID,英文名稱,中文名稱,圖片,中國大陸譯名,公告日期,更新日期
3179345,indifferent species,隨遇種,,随遇种,104.11.09,2017-07-24
3179346,indigenous species,本地種,,土著种；乡土种；本地种,104.11.09,2017-07-24
3179347,indolylalkylamine alkaloid,吲哚基烷基胺類生物鹼,,吲哚基烷基胺类生物碱,104.11.09,2017-07-24
3179348,induction period,誘導期,,诱导期,104.11.09,2017-07-24
3179349,induction phase,誘導期,,诱导期,104.11.09,2017-07-24
3179350,indumentum,被毛,,毛被,104.11.09,2017-07-24
3179351,indusium,孢膜；囊群膜{單數},,菌裙,104.11.09,2017-07-24
3179352,inferior ovary,下位子房,,下位子房,104.11.09,2017-07-24
3179353,infiltration capacity,滲入容量,,渗入容量,104.11.09,2017-07-24
3179354,inflorescence,花序,,花序；生殖苞,104.11.09,2017-07-24
3179355,infranodal canal,節下痕；節下溝道,,节下道；节下痕,104.11.09,2017-07-24
3179356,infrapetiolar bud,葉柄下芽,,叶柄下芽,104.11.09,2017-07-24
3179357,infructescence,果序,,果序,104.11.09,2017-07-24
3179358,initial areal,初始分布區,,原始分布区,104.11.09,2017-07-24
3179359,initial community,先驅群落,,先锋群落,104.11.09,2017-07-24
3179360,initial region,初始分布區,,原始分布区,104.11.09,2017-07-24
3179361,initial ring,初始環,,发生环,104.11.09,2017-07-24
3179362,initial species,初始種,,原生种,104.11.09,2017-07-24
3179363,innate anther,基著[花]葯；底著[花]葯,,基着药；底着药,104.11.09,2017-07-24
3179364,inner aperture,紋孔內口,,纹孔内口,104.11.09,2017-07-24
3179365,inner cephalodium,内衣癭,,内衣瘿,104.11.09,2017-07-24
3179366,inner glume,內穎,,内颖,104.11.09,2017-07-24
3179367,inner integument,內株被,,内珠被,104.11.09,2017-07-24
3179368,inner investment,内包膜,,内包膜,104.11.09,2017-07-24
3179369,insect-catching leaf,捕蟲葉,,捕虫叶,104.11.09,2017-07-24
3179370,insectivorous plant,食蟲植物,,食虫植物,104.11.09,2017-07-24
3179371,insula,網眼,,网眼；网隙,104.11.09,2017-07-24
3179372,insular species,島嶼種；[島嶼]隔離種,,隔离种,104.11.09,2017-07-24
3179373,intectate,無頂蓋層[的],,无覆盖层[的],104.11.09,2017-07-24
3179374,integument,珠被,,珠被,104.11.09,2017-07-24
3179375,integument tapetum,珠被營養層；珠被絨氈層,,珠被绒毡层,104.11.09,2017-07-24
3179376,interascal pseudoparenchyma,囊間假薄壁組織,,囊间假薄壁组织,104.11.09,2017-07-24
3179377,intercalary growth,間生生長,,居间生长,104.11.09,2017-07-24
3179378,intercalary meristem,間生分生組織,,居间分生组织,104.11.09,2017-07-24
3179379,intercalated pinnule,間生小羽片,,间小羽片,104.11.09,2017-07-24
3179380,intercellular canal,胞間道,,胞间道,104.11.09,2017-07-24
3179381,intercellular cavity,胞間腔,,胞间腔,104.11.09,2017-07-24
3179382,intercellular space,細胞間隙,,胞间隙,104.11.09,2017-07-24
3179383,intercontinental disjunction,洲際間斷分布,,洲际间断分布,104.11.09,2017-07-24
3179384,intercostal area,脈間區,,脉间区,104.11.09,2017-07-24
3179385,interfascicular cambium,束間形成層,,束间形成层,104.11.09,2017-07-24
3179386,intermediary metabolism,中間代謝,,中间代谢,104.11.09,2017-07-24
3179387,internal phloem,內生韌皮部,,内生韧皮部,104.11.09,2017-07-24
3179388,internal valve,內殼面,,内壳面,104.11.09,2017-07-24
3179389,internode,節間,,节间,104.11.09,2017-07-24
3179390,intersex,雌雄間體,,雌雄间体,104.11.09,2017-07-24
3179391,intersexuality,雌雄間性,,雌雄间性,104.11.09,2017-07-24
3179392,interspecific competition,種間競爭,,种间竞争,104.11.09,2017-07-24
3179393,intine,花粉內壁,,内壁,104.11.09,2017-07-24
3179394,intine-held protein,[花粉]內壁蛋白,,内壁蛋白,104.11.09,2017-07-24
3179395,intraspecific competition,種內競爭,,种内竞争,104.11.09,2017-07-24
3179396,intrazonal vegetation,地帶內植被,,地带内植被,104.11.09,2017-07-24
3179397,introduced plant,引進植物,,引种植物,104.11.09,2017-07-24
3179398,introrse anther,內向花葯,,内向药,104.11.09,2017-07-24
3179399,intrusive growth,侵入生長,,侵入生长,104.11.09,2017-07-24
3179400,intussusception growth,內填生長,,内填生长,104.11.09,2017-07-24
3179401,inulin,菊醣,,菊粉,104.11.09,2017-07-24
3179402,invading species,入侵種,,侵入种,104.11.09,2017-07-24
3179403,inversion,翻轉{花部}；倒位{染色體},,翻转,104.11.09,2017-07-24
3179404,involucel,小總苞,,小总苞,104.11.09,2017-07-24
3179405,involucre,總苞；蒴苞,,蒴苞；总苞,104.11.09,2017-07-24
3179406,involucret,總苞；蒴苞,,小总苞,104.11.09,2017-07-24
3179407,ionophore,離子導體；離子運載物,,离子导体,104.11.09,2017-07-24
3179408,irregular flower,不整齊花,,不整齐花,104.11.09,2017-07-24
3179409,irritability,感應性,,感应性,104.11.09,2017-07-24
3179410,isidium,裂芽,,裂芽,104.11.09,2017-07-24
3179411,island disjunction,島嶼狀間斷分布,,岛状间断分布,104.11.09,2017-07-24
3179412,isobilateral leaf,等面葉,,等面叶,104.11.09,2017-07-24
3179413,isoflavone,異黃酮,,异黄酮,104.11.09,2017-07-24
3179414,isogamete,同形配子,,同形配子,104.11.09,2017-07-24
3179415,isogamy,同形配子結合,,同配生殖,104.11.09,2017-07-24
3179416,isolated species,隔離種,,隔离种,104.11.09,2017-07-24
3179417,isolation,隔離,,隔离,104.11.09,2017-07-24
3179418,isomorphic alternation of generations,同形世代交替,,同形世代交替,104.11.09,2017-07-24
3179419,isotonic solution,等滲透壓溶液,,等渗溶液,104.11.09,2017-07-24
3179420,karyogamy,核融合,,核配合,104.11.09,2017-07-24
3179421,karyomixis,核融合,,核融合,104.11.09,2017-07-24
3179422,katabolism,異化代謝,,分解代谢,104.11.09,2017-07-24
3179423,keel,龍骨瓣,,龙骨瓣,104.11.09,2017-07-24
3179424,kingdom,界{分類},,界,104.11.09,2017-07-24
3179425,Knop solution,諾普培養液,,克诺普溶液；克诺普氏溶液,104.11.09,2017-07-24
3179426,Kranz structure,花環構造,,克兰茨结构,104.11.09,2017-07-24
3179427,krummholz,高山矮盤灌叢,,[温带]高山矮曲林,104.11.09,2017-07-24
3179428,label,唇瓣,,唇瓣,104.11.09,2017-07-24
3179429,labellum,唇瓣,,唇瓣,104.11.09,2017-07-24
3179430,labiate corolla,唇形花冠,,唇形花冠,104.11.09,2017-07-24
3179431,labium,唇{單數},,唇形盘缘,104.11.09,2017-07-24
3179432,lacinule,小裂片,,小细长裂片,104.11.09,2017-07-24
3179433,LAD{leaf area duration},葉面積持續期,,叶面积持续期,104.11.09,2017-07-24
3179434,laesura,裂痕,,四分体痕；裂痕,104.11.09,2017-07-24
3179435,lag phase,滯留期,,滞后期,104.11.09,2017-07-24
3179436,LAI{leaf area index},葉面積指數,,叶面积指数,104.11.09,2017-07-24
3179437,lamella,[薄]板；[薄]片；瓣；菌褶,,菌褶,104.11.09,2017-07-24
3179438,lamina,葉片,,囊盘总层,104.11.09,2017-07-24
3179439,laminal placentation,全面胎座型,,层状胎座式,104.11.09,2017-07-24
3179440,landscape ecology,地景生態學,,景观生态学,104.11.09,2017-07-24
3179441,LAR{leaf area ratio},葉面積比,,叶面积比,104.11.09,2017-07-24
3179442,late wood,晚材；秋材,,晚材；夏材,104.11.09,2017-07-24
3179443,latent bud,潛伏芽,,潜伏芽,104.11.09,2017-07-24
3179444,lateral branch,側枝,,侧枝,104.11.09,2017-07-24
3179445,lateral bud,側芽,,侧芽,104.11.09,2017-07-24
3179446,lateral conjugation,側面接合,,侧面接合,104.11.09,2017-07-24
3179447,lateral meristem,側生分生組織,,侧生分生组织,104.11.09,2017-07-24
3179448,lateral organ,側生器官,,侧生器官,104.11.09,2017-07-24
3179449,lateral root,側根,,侧根,104.11.09,2017-07-24
3179450,lateral vein,側脈,,侧脉,104.11.09,2017-07-24
3179451,latex cell,乳汁細胞,,乳汁细胞,104.11.09,2017-07-24
3179452,latex duct,乳汁管,,乳汁管,104.11.09,2017-07-24
3179453,laticifer,乳汁器,,乳汁器,104.11.09,2017-07-24
3179454,laticiferous cell,乳汁細胞,,乳汁细胞,104.11.09,2017-07-24
3179455,laticiferous tube,乳汁管,,乳汁管,104.11.09,2017-07-24
3179456,Laurasia flora,勞亞植物相,,劳亚植物区系,104.11.09,2017-07-24
3179457,law of limiting factor,限制因子定律,,限制因子律,104.11.09,2017-07-24
3179458,LDD{long-distance dispersal},遠距傳播；遠距播遷,,远距传播；远距播迁,104.11.09,2017-07-24
3179459,leaf,葉,,叶,104.11.09,2017-07-24
3179460,leaf abscission,葉片脫落,,叶片脱离,104.11.09,2017-07-24
3179461,leaf apex,葉尖,,叶端；叶尖,104.11.09,2017-07-24
3179462,leaf area duration{=LAD},葉面積持續期,,叶面积持续期,104.11.09,2017-07-24
3179463,leaf area index{=LAI},葉面積指數,,叶面[积]指数,104.11.09,2017-07-24
3179464,leaf area ratio{=LAR},葉面積比,,叶面积比,104.11.09,2017-07-24
3179465,leaf armor,葉胄{蘇鐵類},,叶胄,104.11.09,2017-07-24
3179466,leaf axil,葉腋,,叶腋,104.11.09,2017-07-24
3179467,leaf base,葉基,,叶基,104.11.09,2017-07-24
3179468,leaf bud,葉芽,,叶芽,104.11.09,2017-07-24
3179469,leaf buttress,葉原座,,叶原座,104.11.09,2017-07-24
3179470,leaf cushion,葉座,,叶座,104.11.09,2017-07-24
3179471,leaf margin,葉緣,,叶缘,104.11.09,2017-07-24
3179472,leaf mass fraction,葉重比,,叶重比,104.11.09,2017-07-24
3179473,leaf mass ratio,葉重比,,叶重比,104.11.09,2017-07-24
3179474,leaf mosaic,葉鑲嵌,,叶镶嵌,104.11.09,2017-07-24
3179475,leaf nodule,葉瘤,,叶瘤,104.11.09,2017-07-24
3179476,leaf primordium,葉原,,叶原基,104.11.09,2017-07-24
3179477,leaf scar,葉痕,,叶痕,104.11.09,2017-07-24
3179478,leaf sheath,葉鞘,,叶鞘,104.11.09,2017-07-24
3179479,leaf size class,葉面積等級,,叶面积等级,104.11.09,2017-07-24
3179480,leaf tendril,葉卷鬚,,叶卷须,104.11.09,2017-07-24
3179481,leaf thorn,葉刺,,叶刺,104.11.09,2017-07-24
3179482,leaf weight ratio{=LWR},葉重比,,叶重比,104.11.09,2017-07-24
3179483,leaf-size class,葉級,,叶级,104.11.09,2017-07-24
3179484,leaflet,小葉,,小叶,104.11.09,2017-07-24
3179485,leakage,滲漏,,渗漏,104.11.09,2017-07-24
3179486,legume,豆科植物；莢果,,荚果,104.11.09,2017-07-24
3179487,leguminous bacteria,根瘤菌,,根瘤菌,104.11.09,2017-07-24
3179488,lemma,外稃,,外稃,104.11.09,2017-07-24
3179489,lemurian dispersal-pattern,狐猴式分布類型,,狐猴式分布格局,104.11.09,2017-07-24
3179490,lemurian intercontinental disjunction,狐猴式洲際間斷分布,,狐猴式洲际间断分布,104.11.09,2017-07-24
3179491,lenticel,皮孔{單數},,皮孔,104.11.09,2017-07-24
3179492,lenticelle,皮孔{單數},,皮孔,104.11.09,2017-07-24
3179493,lenticular transpiration,皮孔蒸散,,皮孔蒸腾,104.11.09,2017-07-24
3179494,leptoma,薄壁區{特指松樹花粉的遠極薄壁區},,薄壁区,104.11.09,2017-07-24
3179495,LHCP,集光性葉綠素蛋白複合物,,集光叶绿素蛋白复合物,104.11.09,2017-07-24
3179496,liana,木質藤本；藤本植物,,藤本植物,104.11.09,2017-07-24
3179497,libriform fiber,真木纖維,,韧型纤维,104.11.09,2017-07-24
3179498,lichen,地衣,,地衣,104.11.09,2017-07-24
3179499,lichen flora,地衣相,,地衣志；地衣区系,104.11.09,2017-07-24
3179500,lichen tundra,地衣凍原,,地衣冻原,104.11.09,2017-07-24
3179501,lichen-gonidia,地衣藻胞,,地衣藻胞,104.11.09,2017-07-24
3179502,lichenin,地衣多醣,,地衣淀粉；地衣多糖,104.11.09,2017-07-24
3179503,lichenology,地衣學,,地衣学,104.11.09,2017-07-24
3179504,lid,蓋；蒴蓋{苔蘚},,蒴盖,104.11.09,2017-07-24
3179505,life cycle,生活周期,,生活史；生活周期,104.11.09,2017-07-24
3179506,life history,生活史,,生活史；生活周期,104.11.09,2017-07-24
3179507,life-form,生活型,,生活型,104.11.09,2017-07-24
3179508,life-form spectrum,生活型譜,,生活型谱,104.11.09,2017-07-24
3179509,light compensation point,光補償點,,光补偿点,104.11.09,2017-07-24
3179510,light harvesting chlorophyll-protein complex,集光性葉綠素蛋白複合物,,集光叶绿素蛋白复合物,104.11.09,2017-07-24
3179511,light reaction,光反應,,光反应,104.11.09,2017-07-24
3179512,light requirement,需光量,,需光量,104.11.09,2017-07-24
3179513,light saturation point,光飽和點,,光饱和点,104.11.09,2017-07-24
3179514,light seed,需光種子,,需光种子,104.11.09,2017-07-24
3179515,light sensitive seed,光敏感種子,,光敏感种子,104.11.09,2017-07-24
3179516,lignification,木質化,,木质化[作用],104.11.09,2017-07-24
3179517,lignin,木質素,,木质素,104.11.09,2017-07-24
3179518,ligulate corolla,舌狀花冠,,舌状花冠,104.11.09,2017-07-24
3179519,limb,冠簷,,冠檐,104.11.09,2017-07-24
3179520,limiting factor,限制因數,,限制因子,104.11.09,2017-07-24
3179521,line intercept method,直線截取法,,样线[截取]法,104.11.09,2017-07-24
3179522,linear migration,直線遷移,,直线迁移,104.11.09,2017-07-24
3179523,linear tetrad,線形四分子,,直列四分体,104.11.09,2017-07-24
3179524,linopterid,網脈蕨狀植物,,网羊齿型,104.11.09,2017-07-24
3179525,list quadrat,表列方形樣區,,记名样方,104.11.09,2017-07-24
3179526,lithocarp,化石果,,化石果,104.11.09,2017-07-24
3179527,lithocyst,晶細胞,,晶细胞,104.11.09,2017-07-24
3179528,lithophyll,化石葉,,叶化石；化石叶,104.11.09,2017-07-24
3179529,lithophyte,石生植物,,石生植物,104.11.09,2017-07-24
3179530,litter,凋落物；枯枝落葉,,凋落物；枯枝落叶,104.11.09,2017-07-24
3179531,liverwort,蘚類植物,,苔类[植物],104.11.09,2017-07-24
3179532,LO-analysis,明暗分析,,明暗分析,104.11.09,2017-07-24
3179533,LO-pattern,明暗型,,明暗图案,104.11.09,2017-07-24
3179534,lobe,裂片,,裂片,104.11.09,2017-07-24
3179535,local flora,地方植物誌,,地方植物志,104.11.09,2017-07-24
3179536,local population,地方族群,,地方种群,104.11.09,2017-07-24
3179537,locule,子房室；葯室,,子房室,104.11.09,2017-07-24
3179538,lodging,倒伏,,倒伏,104.11.09,2017-07-24
3179539,lodicule,鱗被；漿片,,浆片,104.11.09,2017-07-24
3179540,loment,節莢,,节荚,104.11.09,2017-07-24
3179541,long shoot,長枝,,长枝,104.11.09,2017-07-24
3179542,long-distance dispersal,遠距傳播；遠距播遷,,远距传播；远距播迁,104.11.09,2017-07-24
3179543,longitudinal dehiscence,縱裂,,纵裂,104.11.09,2017-07-24
3179544,longitudinal section,縱切面,,纵切面,104.11.09,2017-07-24
3179545,loop cell,圓頂細胞,,圆顶细胞,104.11.09,2017-07-24
3179546,lower plant,低等植物,,低等植物,104.11.09,2017-07-24
3179547,lowerland plant,低地植物,,低地植物,104.11.09,2017-07-24
3179548,lumen,網眼,,网眼,104.11.09,2017-07-24
3179549,lysigenous space,破生間隙,,溶生间隙,104.11.09,2017-07-24
3179550,macroconidium,大型分生孢子,,大[型]分生孢子,104.11.09,2017-07-24
3179551,macroelement,大量元素,,大量元素,104.11.09,2017-07-24
3179552,macrolichen,大型地衣,,大型地衣,104.11.09,2017-07-24
3179553,macrophyll,大葉{演化}；大型葉{生態},,大型叶,104.11.09,2017-07-24
3179554,macrospore,大孢子,,大孢子,104.11.09,2017-07-24
3179555,magniacritarch,大型疑源類,,大型疑源类,104.11.09,2017-07-24
3179556,major element,主要元素,,大量元素,104.11.09,2017-07-24
3179557,malacophily,蝸媒,,蜗媒,104.11.09,2017-07-24
3179558,male cell,雄細胞,,雄细胞,104.11.09,2017-07-24
3179559,male cone,雄毬[花],,小孢子叶球；雄球花,104.11.09,2017-07-24
3179560,male gametophyte,雄配子體,,雄配子体,104.11.09,2017-07-24
3179561,male germ unit,雄性生殖單位,,雄性生殖单位,104.11.09,2017-07-24
3179562,male nucleus,精核；雄核,,精核；雄核,104.11.09,2017-07-24
3179563,male parthenogenesis,孤雄生殖,,孤雄生殖,104.11.09,2017-07-24
3179564,male sterile,雄不稔；雄不育,,雄性不育,104.11.09,2017-07-24
3179565,mangrove forest,紅樹林,,红树林,104.11.09,2017-07-24
3179566,manocyst,受精乳突,,受精突,104.11.09,2017-07-24
3179567,mantle,殼套,,壳套,104.11.09,2017-07-24
3179568,marginal initial,邊緣始原細胞,,边缘原始细胞,104.11.09,2017-07-24
3179569,marginal meristem,邊緣分生組織,,边缘分生组织,104.11.09,2017-07-24
3179570,marginal placentation,邊緣胎座型,,边缘胎座式,104.11.09,2017-07-24
3179571,marginal soralia,鑲邊粉芽堆,,镶边粉芽堆,104.11.09,2017-07-24
3179572,marginal vein,緣脈,,边脉,104.11.09,2017-07-24
3179573,margo,紋孔閥緣,,塞缘,104.11.09,2017-07-24
3179574,mass flow,質流,,集流,104.11.09,2017-07-24
3179575,massula,花粉小塊{單數}；孢子團塊{單數},,花粉小块,104.11.09,2017-07-24
3179576,massulae,花粉小塊{複數}；孢子團塊{複數},,花粉小块(复数),104.11.09,2017-07-24
3179577,mastigoneme,鞭茸,,鞭茸,104.11.09,2017-07-24
3179578,matric potential,基質勢,,衬质势；基质势,104.11.09,2017-07-24
3179579,maturation region,成熟區,,成熟区,104.11.09,2017-07-24
3179580,maturation zone,成熟區,,成熟区,104.11.09,2017-07-24
3179581,mature community,成熟群落,,成熟群落,104.11.09,2017-07-24
3179582,mechanical tissue,機械組織,,机械组织,104.11.09,2017-07-24
3179583,medulla,髓,,髓,104.11.09,2017-07-24
3179584,medullary ray,髓[射]線；木質線,,髓射线,104.11.09,2017-07-24
3179585,medullary sheath,髓鞘,,环髓带；环髓区,104.11.09,2017-07-24
3179586,megagamete,雌配子,,雌配子,104.11.09,2017-07-24
3179587,megagametophyte,雌配子體；大配子體,,雌配子体,104.11.09,2017-07-24
3179588,megaphanerophyte,大型地上植物{30公尺以上},,30m up,104.11.09,2017-07-24
3179589,megaspore,大孢子,,大孢子,104.11.09,2017-07-24
3179590,megaspore haustorium,大孢子吸器,,大孢子吸器,104.11.09,2017-07-24
3179591,megaspore mother cell,大胞子母細胞,,大孢子母细胞,104.11.09,2017-07-24
3179592,megasporogenesis,大孢子形成；大孢子發生,,大孢子发生,104.11.09,2017-07-24
3179593,megasporophyll,大孢子葉,,大孢子叶,104.11.09,2017-07-24
3179594,meiocyte,母細胞,,性母细胞,104.11.09,2017-07-24
3179595,meiosporangium,減數分裂孢子囊,,厚垣孢子囊；减数分裂孢子囊,104.11.09,2017-07-24
3179596,melissopalynology,蜂蜜孢粉學,,蜂蜜孢粉学,104.11.09,2017-07-24
3179597,melittopalynology,蜂蜜孢粉學,,蜂蜜孢粉学,104.11.09,2017-07-24
3179598,mentha-camphor,薄荷腦,,薄荷脑,104.11.09,2017-07-24
3179599,mericarp,分果瓣,,分果瓣,104.11.09,2017-07-24
3179600,meristem,分生組織,,分生组织,104.11.09,2017-07-24
3179601,meristem region,分生組織區,,分生组织区,104.11.09,2017-07-24
3179602,meristem zone,分生組織區,,分生组织区,104.11.09,2017-07-24
3179603,meristemoid,類分生組織,,拟分生组织,104.11.09,2017-07-24
3179604,mesarch,中始式,,中始式,104.11.09,2017-07-24
3179605,mesarch sere,中生演替序列,,中生演替系列,104.11.09,2017-07-24
3179606,mesocarp,中果皮,,中果皮,104.11.09,2017-07-24
3179607,mesocolpia,溝間區{複數},,沟间区(复数),104.11.09,2017-07-24
3179608,mesocolpium,溝間區{單數},,沟间区,104.11.09,2017-07-24
3179609,mesogamy,中部受精,,中部受精,104.11.09,2017-07-24
3179610,mesome,中枝,,中干,104.11.09,2017-07-24
3179611,mesonexine,孢粉外壁內中層,,外壁内中层,104.11.09,2017-07-24
3179612,mesophanerophyte,中型地上植物{8~30公尺},,8~30m,104.11.09,2017-07-24
3179613,mesophyll tissue,葉肉組織,,叶肉组织,104.11.09,2017-07-24
3179614,mesophyte,中生植物,,中生植物；中植代,104.11.09,2017-07-24
3179615,mesoporium,孔間區,,孔间区,104.11.09,2017-07-24
3179616,mesosere,中生演替序列,,中生演替系列,104.11.09,2017-07-24
3179617,metabolic control,代謝控制,,代谢控制,104.11.09,2017-07-24
3179618,metabolic pool,代謝庫,,代谢库,104.11.09,2017-07-24
3179619,metabolic regulation,代謝調節,,代谢调节,104.11.09,2017-07-24
3179620,metabolic type,代謝類型,,代谢类型,104.11.09,2017-07-24
3179621,metabolism,新陳代謝,,代谢,104.11.09,2017-07-24
3179622,metabolite,代謝物,,代谢物,104.11.09,2017-07-24
3179623,metaphloem,晚熟韌皮部,,后生韧皮部,104.11.09,2017-07-24
3179624,metaxenia,果實直感,,后生异粉性；果实直感,104.11.09,2017-07-24
3179625,metaxylem,晚熟木質部,,后生木质部,104.11.09,2017-07-24
3179626,metoecism,轉主寄生[现象],,转主寄生[现象],104.11.09,2017-07-24
3179627,MGU,雄性生殖單位,,雄性生殖单位,104.11.09,2017-07-24
3179628,microclimate,微氣候,,微气候,104.11.09,2017-07-24
3179629,microcoenosis,小群落,,小群落,104.11.09,2017-07-24
3179630,microcommunity,小群落,,小群落,104.11.09,2017-07-24
3179631,microconidium,小型分生孢子,,小[型]分生孢子,104.11.09,2017-07-24
3179632,microelement,微量元素,,微量元素,104.11.09,2017-07-24
3179633,microfibril,微纖絲,,微丝,104.11.09,2017-07-24
3179634,microgamete,雄配子,,雄配子,104.11.09,2017-07-24
3179635,microgametophyte,雄配子體；小配子體,,雄配子体,104.11.09,2017-07-24
3179636,microhabitat,微棲地,,小生境；小环境,104.11.09,2017-07-24
3179637,microlichen,微型地衣,,微型地衣,104.11.09,2017-07-24
3179638,microphyll,小葉{演化}；小型葉{生態},,小型叶,104.11.09,2017-07-24
3179639,microphytobenthos,底棲微藻,,微型水底植物,104.11.09,2017-07-24
3179640,micropylar chamber,珠孔室,,珠孔室,104.11.09,2017-07-24
3179641,micropylar end,珠孔端,,珠孔端,104.11.09,2017-07-24
3179642,micropylar haustorium,珠孔吸器,,珠孔吸器,104.11.09,2017-07-24
3179643,micropyle,珠孔,,珠孔,104.11.09,2017-07-24
3179644,microspore,小孢子,,小孢子,104.11.09,2017-07-24
3179645,microspore mother cell,小孢子母細胞,,小孢子母细胞,104.11.09,2017-07-24
3179646,microsporogenesis,小孢子發生,,小孢子发生,104.11.09,2017-07-24
3179647,microsporophyll,小孢子葉,,小孢子叶,104.11.09,2017-07-24
3179648,microtherm,低溫植物,,低温植物,104.11.09,2017-07-24
3179649,midday depression of photosynthesis,"光合""午休""",,光合“午休”,104.11.09,2017-07-24
3179650,middle lamella,中膠層,,胞间层；中层,104.11.09,2017-07-24
3179651,middle layer,中層,,中层；药壁中层,104.11.09,2017-07-24
3179652,middle teeth,中齒,,中齿,104.11.09,2017-07-24
3179653,midrib,中肋,,中脉；中肋,104.11.09,2017-07-24
3179654,migrant plant,遷移植物,,迁移植物,104.11.09,2017-07-24
3179655,migratory circle,遷移圈,,迁移圈,104.11.09,2017-07-24
3179656,migratory plant,遷移植物,,迁移植物,104.11.09,2017-07-24
3179657,mineral element,礦物元素,,矿质元素,104.11.09,2017-07-24
3179658,mineral nutrition,礦物營養,,矿质营养,104.11.09,2017-07-24
3179659,minimum quadrat area,最小樣方面積,,最小样方面积,104.11.09,2017-07-24
3179660,minor element,微量元素,,微量元素,104.11.09,2017-07-24
3179661,mircophanerophyte,小型地上植物{2~8公尺},,2~8 m,104.11.09,2017-07-24
3179662,mitosporangium,有絲分裂孢子囊,,游动孢子囊；有丝分裂孢子囊,104.11.09,2017-07-24
3179663,mixed bud,混合芽,,混合芽,104.11.09,2017-07-24
3179664,mixed inflorescence,混合花序,,混合花序,104.11.09,2017-07-24
3179665,molecular adaptation,分子適應,,分子适应,104.11.09,2017-07-24
3179666,molecular botany,分子植物學,,分子植物学,104.11.09,2017-07-24
3179667,monad,單粒花粉,,单花粉,104.11.09,2017-07-24
3179668,monadelphous stamen,單體雄蕊,,单体雄蕊,104.11.09,2017-07-24
3179669,monadoxanthin,藍隱藻黃素,,蓝隐藻黄素,104.11.09,2017-07-24
3179670,monarch,單原型,,单原型,104.11.09,2017-07-24
3179671,monochasium,單歧聚繖花序,,单歧聚伞花序,104.11.09,2017-07-24
3179672,monochogamy,雌雄同熟,,雌雄[蕊]同熟,104.11.09,2017-07-24
3179673,monoclimax,單極盛相,,单[元]顶极,104.11.09,2017-07-24
3179674,monocolpate,單溝,,单沟[的],104.11.09,2017-07-24
3179675,monodominant community,單優勢種群落,,单优种群落,104.11.09,2017-07-24
3179676,monoecism,雌雄同株,,雌雄同株,104.11.09,2017-07-24
3179677,monogenesis,單系的；單源的,,单元发生[论],104.11.09,2017-07-24
3179678,monogenetic reproduction,單親生殖,,单亲生殖,104.11.09,2017-07-24
3179679,monolete,單裂縫的,,单裂缝[的],104.11.09,2017-07-24
3179680,monophylesis,單系的；單源的,,单元发生[论],104.11.09,2017-07-24
3179681,monopodial branching,單軸分枝,,单轴分枝式,104.11.09,2017-07-24
3179682,monoporate,單孔的,,单孔[的],104.11.09,2017-07-24
3179683,monospermy,單精入卵,,单精入卵,104.11.09,2017-07-24
3179684,monosporic embryo sac,單孢子胚囊,,单孢子胚囊,104.11.09,2017-07-24
3179685,monostele,單體中柱,,单体中柱,104.11.09,2017-07-24
3179686,monotopic origin,單境起源,,单境起源,104.11.09,2017-07-24
3179687,monoxeny,單主寄生,,单主寄生,104.11.09,2017-07-24
3179688,monsoon forest,季風雨林,,季[风]雨林,104.11.09,2017-07-24
3179689,montane mossy forest,山地苔蘚林,,山地苔藓林,104.11.09,2017-07-24
3179690,morphogenesis,形態發生,,形态发生,104.11.09,2017-07-24
3179691,morphology of vascular plant,維管[束]植物形態學,,维管植物形态学,104.11.09,2017-07-24
3179692,moss,苔類,,藓类[植物],104.11.09,2017-07-24
3179693,mucilage canal,黏液道,,黏液道,104.11.09,2017-07-24
3179694,mucilage cavity,黏液腔,,黏液腔,104.11.09,2017-07-24
3179695,mucilage cell,黏液細胞,,黏液细胞,104.11.09,2017-07-24
3179696,multicellular hair,多細胞毛,,多细胞毛,104.11.09,2017-07-24
3179697,multiple epidermis,複表皮,,复表皮,104.11.09,2017-07-24
3179698,multiple fruit,多花果；複果,,聚合果,104.11.09,2017-07-24
3179699,multiple perforation,多孔穿孔,,复穿孔,104.11.09,2017-07-24
3179700,multiple pore,複管孔,,复管孔,104.11.09,2017-07-24
3179701,multiseriate ray,多列木質線,,多列射线,104.11.09,2017-07-24
3179702,murus,網脊,,网脊,104.11.09,2017-07-24
3179703,mustard oil,芥子油,,芥子油,104.11.09,2017-07-24
3179704,mycelium,菌絲體,,菌丝体,104.11.09,2017-07-24
3179705,mycology,真菌學,,真菌学,104.11.09,2017-07-24
3179706,mycorrhiza,菌根{單數},,菌丝,104.11.09,2017-07-24
3179707,mycorrhizae,菌根{複數},,菌丝,104.11.09,2017-07-24
3179708,mycorrhizas,菌根{複數},,菌丝,104.11.09,2017-07-24
3179709,myrmecophily,蟻媒,,蚁媒,104.11.09,2017-07-24
3179710,myrmecophyte,親蟻植物,,适蚁植物,104.11.09,2017-07-24
3179711,myxosporangium,黏孢子囊,,黏孢囊,104.11.09,2017-07-24
3179712,myxospore,黏孢子,,黏孢子,104.11.09,2017-07-24
3179713,myxoxanthin,藍藻黃素,,蓝藻黄素；粘藻黄素,104.11.09,2017-07-24
