ID,英文名稱,中文名稱,圖片,場所標示類別,備註,更新日期
1504586,Instructors’ Lounge,教官休息室,,休閒運動住宿,,2012-11-26
1504587,Teachers’ Lounge,教師休息室,,休閒運動住宿,,2012-11-26
1504588,Faculty and Staff Housing,教職員單身宿舍,,休閒運動住宿,,2012-11-26
1504589,Athletes Lounge,球員休息室,,休閒運動住宿,,2012-11-26
1504590,Finishing-line Camera(s),終點攝影室(體育場),,休閒運動住宿,,2012-11-26
1504591,Forest Trail,森林浴步道,,休閒運動住宿,,2012-11-26
1504592,Chess Club,棋藝社,,休閒運動住宿,,2012-11-26
1504593,Swimming Pool,游泳池,,休閒運動住宿,,2012-11-26
1504594,Children's Pool,游泳池(兒童),,休閒運動住宿,,2012-11-26
1504595,Referees Lounge,裁判休息室,,休閒運動住宿,,2012-11-26
1504596,Queen Bed Room,貴賓房(房型),,休閒運動住宿,,2012-11-26
1504597,Extreme Sports Ground(戶外) / Court(s),極限運動場,,休閒運動住宿,,2012-11-26
1504598,Playhouse,萬象屋(遊戲室),,休閒運動住宿,,2012-11-26
1504599,Recreation Area,運動休閒區,,休閒運動住宿,,2012-11-26
1504600,Sports Day,運動會,,休閒運動住宿,,2012-11-26
1504601,Computer Game Room,電腦遊戲室,,休閒運動住宿,,2012-11-26
1504602,Group Audiovisual Room,團體欣賞室,,休閒運動住宿,,2012-11-26
1504603,Sleeping Quarters,寢室(海岸巡防局),,休閒運動住宿,,2012-11-26
1504604,Croquet Court(s) / Field,槌球場,,休閒運動住宿,,2012-11-26
1504605,Fishermen's Lounge,漁民休閒室,,休閒運動住宿,,2012-11-26
1504606,Dance Room,舞蹈室,,休閒運動住宿,,2012-11-26
1504607,Chefs’ Lounge,廚師休息室,,休閒運動住宿,,2012-11-26
1504608,Mediation Committee Lounge,調解委員會聯誼室,,休閒運動住宿,,2012-11-26
1504609,Faculty Housing / Guest House,學人宿舍,,休閒運動住宿,,2012-11-26
1504610,Trainee Lounge,學員休息室,,休閒運動住宿,,2012-11-26
1504611,Student Dormitory,學員宿舍,,休閒運動住宿,,2012-11-26
1504612,Rugby Field,橄欖球場,,休閒運動住宿,,2012-11-26
1504613,Family Area,親子區,,休閒運動住宿,,2012-11-26
1504614,Puppetry Workshop,戲偶操作區,,休閒運動住宿,,2012-11-26
1504615,Lakeside Trail,環湖步道,,休閒運動住宿,,2012-11-26
1504616,Weightlifting Gym,舉重館,,休閒運動住宿,,2012-11-26
1504617,Instructors’ Lounge,講座休息室,,休閒運動住宿,,2012-11-26
1504618,Staff Dormitories,職務宿舍區,,休閒運動住宿,,2012-11-26
1504619,Artists Dormitory,藝師宿舍,,休閒運動住宿,,2012-11-26
1504620,Basketball Court(s),籃球場,,休閒運動住宿,,2012-11-26
1504621,Councilors’ Lounge,議員聯誼室,,休閒運動住宿,,2012-11-26
1504622,Camping Area,露營區,,休閒運動住宿,,2012-11-26
1504623,Bible Study,讀經班,,休閒運動住宿,,2012-11-26
1504624,Gym,體技館,,休閒運動住宿,,2012-11-26
1504625,Adventure Zone,體能探險區,,休閒運動住宿,,2012-11-26
1504626,Dormitory Supervisor,舍監室,,休閒運動住宿,,2012-11-26
1504627,Stress Relief Studio,紓壓室(供員工休息以紓解壓力),,休閒運動住宿,,2012-11-26
1504628,Food & Beverage,餐飲,,商店餐廳,,2012-11-26
1504629,Rehabilitation & Education,教化科,,商店餐廳,,2012-11-26
1504630,Snack Bar,小吃部,,商店餐廳,,2012-11-26
1504631,Cafeteria,小餐廳,,商店餐廳,,2012-11-26
1504632,Bookstore,文物供應部(書店),,商店餐廳,,2012-11-26
1504633,Telephone Sets for Sale,出售電話機,,商店餐廳,,2012-11-26
1504634,Shopping Arcade,地下街(商店街),,商店餐廳,,2012-11-26
1504635,Laundromat,自助洗衣房,,商店餐廳,,2012-11-26
1504636,Western Restaurant,西餐廳,,商店餐廳,,2012-11-26
1504637,Café,冷熱飲部,,商店餐廳,,2012-11-26
1504638,Coffee Shop,咖啡館,,商店餐廳,,2012-11-26
1504639,Form Sales Counter,表單販售處,,商店餐廳,,2012-11-26
1504640,Beauty Salon,美容院,,商店餐廳,,2012-11-26
1504641,Cooking Area,食物烹調區,,商店餐廳,,2012-11-26
1504642,Restaurant / Staff's Dining Room,員工餐廳,,商店餐廳,,2012-11-26
1504643,Banquet Hall,宴會廳,,商店餐廳,,2012-11-26
1504644,Application Form Sales,書表販售,,商店餐廳,,2012-11-26
1504645,Cooking Area (Vegetarian Food),素食烹調區,,商店餐廳,,2012-11-26
1504646,Sales Center / Gift Shop / Souvenirs,商店/紀念品,,商店餐廳,,2012-11-26
1504647,Barber,理髮室(廳),,商店餐廳,,2012-11-26
1504648,Gift Shop / Souvenirs / Kiosk(亭式),販賣部,,商店餐廳,,2012-11-26
1504649,Meats Processing Area,魚肉處理區,,商店餐廳,,2012-11-26
1504650,VIP Dining Room,貴賓餐廳,,商店餐廳,,2012-11-26
1504651,Kitchen,飲水室,,商店餐廳,,2012-11-26
1504652,Dish Washing Area,碗盤洗滌區,,商店餐廳,,2012-11-26
1504653,Cooking Area,葷食烹調區,,商店餐廳,,2012-11-26
1504654,Retail Business Center,零售服務中心,,商店餐廳,,2012-11-26
1504655,Lunch Box Steaming Room,蒸飯間,,商店餐廳,,2012-11-26
1504656,Vegetable Processing Area,蔬果處理區,,商店餐廳,,2012-11-26
1504657,Dietetic Kitchen,養護廚房,,商店餐廳,,2012-11-26
1504658,Student Restaurant / Dining Hall,學生餐廳,,商店餐廳,,2012-11-26
1504659,Restaurant,餐飲部,,商店餐廳,,2012-11-26
1504660,Sewing Room,縫紉室(修補),,商店餐廳,,2012-11-26
1504661,Convenient Store,購物中心,,商店餐廳,,2012-11-26
1504662,Gift Shop,禮品販賣部,,商店餐廳,,2012-11-26
1504663,Theme Restaurant,主題餐廳,,商店餐廳,,2012-11-26
1504664,Kitchen,中央廚房,,商店餐廳,,2012-11-26
1504665,Kitchenette,小廚房/小膳房,,商店餐廳,,2012-11-26
1504666,Chinese Restaurant,中餐廳,,商店餐廳,,2012-11-26
1504667,Publication Sales,出版品販售,,商店餐廳,,2012-11-26
1504668,Refrigerator (Raw Food),生食冷藏區,,商店餐廳,,2012-11-26
1504669,Groceries,百貨部,,商店餐廳,,2012-11-26
1504670,Restaurant / Cafeteria,自助餐廳,,商店餐廳,,2012-11-26
1504671,Drinks,冷飲部,,商店餐廳,,2012-11-26
1504672,Café,咖啡吧,,商店餐廳,,2012-11-26
1504673,Florist,花店,,商店餐廳,,2012-11-26
1504674,Convenient Store,便利商店,,商店餐廳,,2012-11-26
1504675,Beauty Salon,美髮部,,商店餐廳,,2012-11-26
1504676,Employee's Cooperative,員工消費合作社(辦公場所),,商店餐廳,,2012-11-26
1504677,Convenience Shop / Store,員生消費合作社(銷售場所),,商店餐廳,,2012-11-26
1504678,Sales Center / Gift Shop / Show Room (大型),展售中心,,商店餐廳,,2012-11-26
1504679,Seafood and Meat Processing Area,海鮮(生肉)處理區,,商店餐廳,,2012-11-26
1504680,Tea Lovers Restaurant,茶友餐廳,,商店餐廳,,2012-11-26
1504681,Phone Cards,售電話卡,,商店餐廳,,2012-11-26
1504682,Egg Processing Area,蛋品處理區,,商店餐廳,,2012-11-26
1504683,Calling Cards Sales,通話卡販售,,商店餐廳,,2012-11-26
1504684,Fish Food Vending Machine,魚餌販賣機,,商店餐廳,,2012-11-26
1504685,Supermarket,超市,,商店餐廳,,2012-11-26
1504686,Drinking Fountain,飲水機,,商店餐廳,,2012-11-26
1504687,Plateware,碗盤置放區,,商店餐廳,,2012-11-26
1504688,Flea Market,跳蚤市場,,商店餐廳,,2012-11-26
1504689,Convenience Shop / Store,福利社,,商店餐廳,,2012-11-26
1504690,Refrigerator (Cooked Food ),熟食冷藏區,,商店餐廳,,2012-11-26
1504691,Food Preparation Area,調配區,,商店餐廳,,2012-11-26
1504692,Dietetic Cafeteria,養護餐廳,,商店餐廳,,2012-11-26
1504693,Dishwashing Room,餐具洗滌室,,商店餐廳,,2012-11-26
1504694,Restaurant,餐廳,,商店餐廳,,2012-11-26
1504695,Tailor,縫紉部(製衣),,商店餐廳,,2012-11-26
1504696,Snack Bar,點心販賣部,,商店餐廳,,2012-11-26
1504697,Watches and Glasses,鐘錶眼鏡部,,商店餐廳,,2012-11-26
1504698,Children's Health Manual,兒童健康手冊,,社會福利及宗教,,2012-11-26
1504699,Eden Social Welfare Foundation,伊甸社會福利基金會,,社會福利及宗教,,2012-11-26
1504700,Social Welfare Building,社福館,,社會福利及宗教,,2012-11-26
1504701,Exemplary Massage Center ,示範按摩中心,,社會福利及宗教,,2012-11-26
1504702,Underprivileged Groups,弱勢族群,,社會福利及宗教,,2012-11-26
1504703,Ancestral Shrine,家祠堂,,社會福利及宗教,,2012-11-26
1504704,Development Center for the Mentally Challenged,啟能發展中心,,社會福利及宗教,,2012-11-26
1504705,Spiritual Center,宗教聚會所 / 宗教中心,,社會福利及宗教,,2012-11-26
1504706,Home Care Allowance,就養給與,,社會福利及宗教,,2012-11-26
1504707,Special Care Unit,養護組 (療養院),,社會福利及宗教,,2012-11-26
1504708,Women's Shelter,女性收容養護區,,社會福利及宗教,,2012-11-26
1504709,Catholic Chapel,天主堂,,社會福利及宗教,,2012-11-26
1504710,Protection Center for Elder,老人保護室,,社會福利及宗教,,2012-11-26
1504711,Autistic Children's Daycare Center,自閉兒日托中心,,社會福利及宗教,,2012-11-26
1504712,Shelter,庇護及關懷中心,,社會福利及宗教,,2012-11-26
1504713,Men's Shelter,男性收容養護區,,社會福利及宗教,,2012-11-26
1504714,Christian Prayers Room,宗教室,,社會福利及宗教,,2012-11-26
1504715,Long-term Care Demonstration Center,長期照護管理示範中心,,社會福利及宗教,,2012-11-26
1504716,Prayer Room,禱告室/祈禱室,,社會福利及宗教,,2012-11-26
1504717,Christian Chapel,基督教堂,,社會福利及宗教,,2012-11-26
1504718,Prefabricated Housing,組合屋,,社會福利及宗教,,2012-11-26
1504719,Homeless Asylum,遊民收容所,,社會福利及宗教,,2012-11-26
1504720,Government Employee Store,公教福利中心,,社會福利及宗教,,2012-11-26
1504721,Emergency Allowances,急難救助金,,社會福利及宗教,,2012-11-26
1504722,Pensions & Survivors' Benefits,退休撫卹 ,,社會福利及宗教,,2012-11-26
1504723,Retired Police Officers Association,退休警察人員協會,,社會福利及宗教,,2012-11-26
1504724,Compensation,待遇福利,,社會福利及宗教,,2012-11-26
1504725,Home care,就養,,社會福利及宗教,,2012-11-26
1504726,Support Service Center for the Disabled,身心障礙福利服務中心,,社會福利及宗教,,2012-11-26
1504727,Center for Torpidity,植物人安養院(中心),,社會福利及宗教,,2012-11-26
1504728,Care Area,養護區,,社會福利及宗教,,2012-11-26
1504729,Home for Visually Impaired Children,盲童育幼院,,社會福利及宗教,,2012-11-26
1504730,Day Care Center / Daycare Center(托兒),日托室,,社會福利及宗教,,2012-11-26
1504731,Daycare Center / Nursery,托兒所,,社會福利及宗教,,2012-11-26
1504732,Care Programs Management Center,老人照顧管理中心,,社會福利及宗教,,2012-11-26
1504733,Buddhist Chapel,佛堂,,社會福利及宗教,,2012-11-26
1504734,Disaster Victims,災民收容所,,社會福利及宗教,,2012-11-26
1504735,Child Development Center,兒童發展中心,,社會福利及宗教,,2012-11-26
1504736,Long-term Care Center,長期照護所,,社會福利及宗教,,2012-11-26
1504737,Long-term Care Counseling Room,長期照護諮詢室,,社會福利及宗教,,2012-11-26
1504738,Living Room,起居室,,社會福利及宗教,,2012-11-26
1504739,Chapel,教堂,,社會福利及宗教,,2012-11-26
1504740,accessible facilities,無障礙設施,,社會福利及宗教,,2019-05-29
1504741,Coke Storage Facility,石油焦儲運站,,儲存庫房,,2012-11-26
1504742,Sports Equipment,體育器材室,,儲存庫房,,2012-11-26
1504743,Softened-water Tank,軟化水貯水池,,儲存庫房,,2012-11-26
1504744,Underground Alcohol Station,地下酒精儲槽,,儲存庫房,,2012-11-26
1504745,Ethylene Glycol Tank,乙二醇儲存槽,,儲存庫房,,2012-11-26
1504746,Tool Storage,刀具儲存區,,儲存庫房,,2012-11-26
1504747,Machinery Warehouse,工程機械庫房,,儲存庫房,,2012-11-26
1504748,Hardware and Instrument Storage,五金庫房,,儲存庫房,,2012-11-26
1504749,Stationery Storeroom / Storage,文具倉庫,,儲存庫房,,2012-11-26
1504750,Electrical and Plumbing Equipment Warehouse,水電倉庫,,儲存庫房,,2012-11-26
1504751,Semi Finished Products Refrigerator,半製品冷藏室,,儲存庫房,,2012-11-26
1504752,Hazardous Material Warehouse,危險品倉庫,,儲存庫房,,2012-11-26
1504753,Products Warehouse,成品倉庫,,儲存庫房,,2012-11-26
1504754,Organic Solutions Storage,有機溶劑儲存區,,儲存庫房,,2012-11-26
1504755,Cold Storage,冷房,,儲存庫房,,2012-11-26
1504756,Walk-in Refrigerator,冷藏室(人可進入),,儲存庫房,,2012-11-26
1504757,Walk-in Refrigerator,冷藏庫(人可進入),,儲存庫房,,2012-11-26
1504758,Materials Room,材料室,,儲存庫房,,2012-11-26
1504759,Materials Storage,材料儲存室,,儲存庫房,,2012-11-26
1504760,Urine Sample Storage,毒品尿液保管室,,儲存庫房,,2012-11-26
1504761,Collection Storeroom,典藏庫房,,儲存庫房,,2012-11-26
1504762,Photographic Negative Storage,底片庫房,,儲存庫房,,2012-11-26
1504763,Articles Storage,物品倉庫,,儲存庫房,,2012-11-26
1504764,Supplies Room,物料室,,儲存庫房,,2012-11-26
1504765,Fertilizer Warehouse,肥料倉庫,,儲存庫房,,2012-11-26
1504766,Vault,金庫,,儲存庫房,,2012-11-26
1504767,Under Testing Product Refrigerator,待驗品冷藏庫,,儲存庫房,,2012-11-26
1504768,Camera Storage,相機儲存室,,儲存庫房,,2012-11-26
1504769,Sound Equipment Storeroom / Storage,音響儲藏室,,儲存庫房,,2012-11-26
1504770,Storeroom / Storage,庫房,,儲存庫房,,2012-11-26
1504771,Special Collection Room,特藏室,,儲存庫房,,2012-11-26
1504772,Parts Supply Warehouse,配件庫,,儲存庫房,,2012-11-26
1504773,Bottle Storage Shed,堆瓶棚,,儲存庫房,,2012-11-26
1504774,Janitorial Supplies Room,清潔工具室 / 清潔間,,儲存庫房,,2012-11-26
1504775,Spare Room,備用室,,儲存庫房,,2012-11-26
1504776,General Physics Storeroom / Storage,普物實驗準備室暨儲藏室,,儲存庫房,,2012-11-26
1504777,Warehouse No. 9-2,棧9-2庫,,儲存庫房,,2012-11-26
1504778,Tobacco Warehouse,菸倉庫,,儲存庫房,,2012-11-26
1504779,Agricultural Machine Warehouse,農機倉庫,,儲存庫房,,2012-11-26
1504780,Electronics Storage,電子庫房,,儲存庫房,,2012-11-26
1504781,Electronics Warehouse,電料倉庫,,儲存庫房,,2012-11-26
1504782,Bedding Storage,寢具倉庫,,儲存庫房,,2012-11-26
1504783,Tape Storage / Tape Storeroom,磁帶儲藏室,,儲存庫房,,2012-11-26
1504784,Armory,彈藥室,,儲存庫房,,2012-11-26
1504785,Sample Room,樣品室,,儲存庫房,,2012-11-26
1504786,Storeroom / Storage,儲藏室,,儲存庫房,,2012-11-26
1504787,Records Storage,檔案庫房,,儲存庫房,,2012-11-26
1504788,Miscellaneous Items Warehouse,雜品倉庫,,儲存庫房,,2012-11-26
1504789,Medicine Storeroom / Storage,藥品儲藏室,,儲存庫房,,2012-11-26
1504790,Nasal Gastrula Feeding Storage,灌食庫房,,儲存庫房,,2012-11-26
1504791,Product and Material Warehouse,成品及材料倉庫,,儲存庫房,,2012-11-26
1504792,Emergency Supplies & Equipment Storeroom,天然災害物資及設備儲藏室,,儲存庫房,,2012-11-26
1504793,Wine Cellar,紹興酒貯酒室,,儲存庫房,,2012-11-26
1504794,Transformer Warehouse,變電倉庫,,儲存庫房,,2012-11-26
1504795,Hand Tools Room,刀工具間,,儲存庫房,,2012-11-26
1504796,Tool Room,工具間,,儲存庫房,,2012-11-26
1504797,Rejected Products Area,不合格品區,,儲存庫房,,2012-11-26
1504798,Stationery,文具用品室,,儲存庫房,,2012-11-26
1504799,Stationery Storeroom / Storage,文具儲藏室,,儲存庫房,,2012-11-26
1504800,Film Storage,片庫,,儲存庫房,,2012-11-26
1504801,Civil Defense Supplies,民防用品供應室,,儲存庫房,,2012-11-26
1504802,Finished Products Refrigerator,成品冷藏庫,,儲存庫房,,2012-11-26
1504803,Final Products Warehouse,成品倉儲區,,儲存庫房,,2012-11-26
1504804,Ash Storage,灰渣儲存室,,儲存庫房,,2012-11-26
1504805,Freezer,冷涷庫,,儲存庫房,,2012-11-26
1504806,Refrigerator,冷藏庫,,儲存庫房,,2012-11-26
1504807,Material Storage,材料存放場,,儲存庫房,,2012-11-26
1504808,Material Warehouse,材料倉庫,,儲存庫房,,2012-11-26
1504809,Confiscated Fishing Boats and Machinery Warehouse,沒入違法及大陸漁船漁機儲存倉庫,,儲存庫房,,2012-11-26
1504810,Storeroom,事務倉庫,,儲存庫房,,2012-11-26
1504811,Loading Area,卸貨區,,儲存庫房,,2012-11-26
1504812,Photographic Negative Archive,底片儲存室,,儲存庫房,,2012-11-26
1504813,Storage Room,物品儲藏室,,儲存庫房,,2012-11-26
1504814,Materials Warehouse,物料倉庫,,儲存庫房,,2012-11-26
1504815,Fertilizer Storeroom,肥料儲放室,,儲存庫房,,2012-11-26
1504816,Storage Room,非消耗物品儲藏室,,儲存庫房,,2012-11-26
1504817,Temporary Storage,待驗倉庫,,儲存庫房,,2012-11-26
1504818,Music Instrument Storeroom / Storage,音樂儲藏室,,儲存庫房,,2012-11-26
1504819,Warehouse,倉庫,,儲存庫房,,2012-11-26
1504820,Book Storage,書庫,,儲存庫房,,2012-11-26
1504821,Liquor Warehouse,酒倉庫,,儲存庫房,,2012-11-26
1504822,National Archives Repository,國家檔案庫房,,儲存庫房,,2012-11-26
1504823,NaOH Solution Tank,氫氧化鈉槽,,儲存庫房,,2012-11-26
1504824,Loading Area(30 Minutes Only),貨車裝卸專用(30分鐘),,儲存庫房,,2012-11-26
1504825,Grain Silo,散裝倉庫,,儲存庫房,,2012-11-26
1504826,Banana Refrigerated Warehouse No. 31,棧31庫香蕉庫,,儲存庫房,,2012-11-26
1504827,Prop Storage,道具儲藏間,,儲存庫房,,2012-11-26
1504828,Clothes Storeroom,經理庫房,,儲存庫房,,2012-11-26
1504829,Filtering Facilities,過濾器機房,,儲存庫房,,2012-11-26
1504830,Electronics Warehouse,電子零件倉庫,,儲存庫房,,2012-11-26
1504831,Map Storage,圖庫,,儲存庫房,,2012-11-26
1504832,Armory,槍械裝備室,,儲存庫房,,2012-11-26
1504833,Waste Materials Warehouse,廢料庫,,儲存庫房,,2012-11-26
1504834,Temporary Storage Zone,暫存區,,儲存庫房,,2012-11-26
1504835,Dishware and Cutlery Storage,餐具庫房,,儲存庫房,,2012-11-26
1504836,Archives / Records Storage,檔案倉庫,,儲存庫房,,2012-11-26
1504837,Miscellaneous Storage,雜物間,,儲存庫房,,2012-11-26
1504838,Chemicals Storage,藥品室(化學),,儲存庫房,,2012-11-26
1504839,Photograph Equipment Room,攝影器材室,,儲存庫房,,2012-11-26
1504840,Loot Storage,贓物庫,,儲存庫房,,2012-11-26
1504841,Code Room,電訊室,,機房設備及維修,,2012-11-26
1504842,Police Radio RoomVentilation System,警用電訊受電室進風機房,,機房設備及維修,,2012-11-26
1504843,Wastewater Treatment,污水處理機房,,機房設備及維修,,2012-11-26
1504844,IBM Computer Facilities,IBM電腦機房,,機房設備及維修,,2012-11-26
1504845,UPS Facilities,不斷電設備室,,機房設備及維修,,2012-11-26
1504846,Central Control Room,中央控制室,,機房設備及維修,,2012-11-26
1504847,Medium-voltage Switching Facility(-y+ies),中壓開關室,,機房設備及維修,,2012-11-26
1504848,Hydraulic Generator,水力發電室,,機房設備及維修,,2012-11-26
1504849,Pump and Electricians,水電室,,機房設備及維修,,2012-11-26
1504850,Computer Facilities,主機房(室),,機房設備及維修,,2012-11-26
1504851,Investigation Equipment Room,刑事器材室,,機房設備及維修,,2012-11-26
1504852,Seismic Instrument Maintenance Room,地震儀修護室,,機房設備及維修,,2012-11-26
1504853,Ash Crane Motor Control Center,灰燼吊車電子設備室,,機房設備及維修,,2012-11-26
1504854,Low-voltage Switching Facility(-y+ies),低電壓開關設備室,,機房設備及維修,,2012-11-26
1504855,Air Conditioning Room,冷凍空調室,,機房設備及維修,,2012-11-26
1504856,Systems and Network Control Center,系統網路控制中心,,機房設備及維修,,2012-11-26
1504857,Office Equipment,事務機器室,,機房設備及維修,,2012-11-26
1504858,Water Pumping Station,抽水站,,機房設備及維修,,2012-11-26
1504859,Compressor Room,油壓機房,,機房設備及維修,,2012-11-26
1504860,Air Conditioning Facilities,空調機房,,機房設備及維修,,2012-11-26
1504861,Customer Equipment Center,客戶設備中心,,機房設備及維修,,2012-11-26
1504862,Meter Repair Room,計時器修理室,,機房設備及維修,,2012-11-26
1504863,Fan Room,風機室,,機房設備及維修,,2012-11-26
1504864,Diesel Generators,柴油發電機房,,機房設備及維修,,2012-11-26
1504865,Meteorological Instrument Maintenance Room,氣象儀器維修室,,機房設備及維修,,2012-11-26
1504866,Vacuum Maintenance Room,真空維修室,,機房設備及維修,,2012-11-26
1504867,Equipment Installation Room,起重工房,,機房設備及維修,,2012-11-26
1504868,Electricity Distribution Facilities,配電室(間),,機房設備及維修,,2012-11-26
1504869,Control Room,國際會議廳控制室,,機房設備及維修,,2012-11-26
1504870,Rawinsonde Facilities,探空器材室(氣象局),,機房設備及維修,,2012-11-26
1504871,Facility Room,設備室,,機房設備及維修,,2012-11-26
1504872,Telecommunications Maintenance Center,無線電交換修護中心,,機房設備及維修,,2012-11-26
1504873,Generators,發電機(房),,機房設備及維修,,2012-11-26
1504874,Audiovisual Equipment Room,視聽設備(器材)室,,機房設備及維修,,2012-11-26
1504875,Switch Shop,開關場,,機房設備及維修,,2012-11-26
1504876,Data Processing Mainframe,資訊室機房(大型主機房),,機房設備及維修,,2012-11-26
1504877,Electrical Supply Room,電力設備室,,機房設備及維修,,2012-11-26
1504878,Electrician Room,電工室,,機房設備及維修,,2012-11-26
1504879,Telecommunications Box,電信內線箱,,機房設備及維修,,2012-11-26
1504880,Telecommunications Cabinet,電信箱,,機房設備及維修,,2012-11-26
1504881,Electrical Control Room,電氣室,,機房設備及維修,,2012-11-26
1504882,Elevator Facilities,電梯機房,,機房設備及維修,,2012-11-26
1504883,Fax Room,電報機房,,機房設備及維修,,2012-11-26
1504884,Computer Operations Area,電腦作業區,,機房設備及維修,,2012-11-26
1504885,Software Room,電腦軟體室,,機房設備及維修,,2012-11-26
1504886,Computer Center / Information Systems Center,電腦中心,,機房設備及維修,,2012-11-26
1504887,Computer Room,電腦室,,機房設備及維修,,2012-11-26
1504888,Computer Internet Facilities,電腦網路室,,機房設備及維修,,2012-11-26
1504889,Computer Facilities,電腦機房,,機房設備及維修,,2012-11-26
1504890,Systems Maintenance Room,軟體維修室  ,,機房設備及維修,行政院文化建設委員會,2012-11-26
1504891,Electric Appliances Room,電器室,,機房設備及維修,,2012-11-26
1504892,Electrical Control Room,電機室,,機房設備及維修,,2012-11-26
1504893,Relay Panel Room,電驛盤室,,機房設備及維修,,2012-11-26
1504894,Control Room / Monitoring Room,監控室,,機房設備及維修,,2012-11-26
1504895,Network Maintenance Center ,網路維護中心,,機房設備及維修,,2012-11-26
1504896,Battery Room,蓄電池室,,機房設備及維修,,2012-11-26
1504897,Instrumentation Room,儀表電器修護室,,機房設備及維修,,2012-11-26
1504898,Dimmer Room,調光器機房,,機房設備及維修,,2012-11-26
1504899,Control Room,操控室,,機房設備及維修,,2012-11-26
1504900,Machinery Maintenance Room,機械修護室,,機房設備及維修,,2012-11-26
1504901,Electricity and Machine Room,機電室,,機房設備及維修,,2012-11-26
1504902,Pump Room,幫浦室(間),,機房設備及維修,,2012-11-26
1504903,Maintenance Room,檢修室,,機房設備及維修,,2012-11-26
1504904,Boiler Room,鍋爐室(機房),,機房設備及維修,,2012-11-26
1504905,Transformer Station,變電所(站),,機房設備及維修,,2012-11-26
1504906,Sunroom,日光室,,機房設備及維修,,2012-11-26
1504907,Telecommunications  Exhaust System,通訊機房排風機房,,機房設備及維修,,2012-11-26
1504908,2nd Level Maintenance,二級保養廠,,機房設備及維修,,2012-11-26
1504909,QC Equipment Room,QC儀器室,,機房設備及維修,,2012-11-26
1504910,Air Conditioning Facilities,中央空調室,,機房設備及維修,,2012-11-26
1504911,Central Dispatch Control Room,中央調度室,,機房設備及維修,,2012-11-26
1504912,Common Instruments,公共儀器室,,機房設備及維修,,2012-11-26
1504913,Heating Facilities,水溫加熱機房,,機房設備及維修,,2012-11-26
1504914,Central Control Room,主控室,,機房設備及維修,,2012-11-26
1504915,Volunteer Police Equipment Room,民防義警裝備室,,機房設備及維修,,2012-11-26
1504916,Printing Room,印刷機房,,機房設備及維修,,2012-11-26
1504917,Multimedia Control Room,多媒體主控室,,機房設備及維修,,2012-11-26
1504918,Internet Server Room,伺服器室,,機房設備及維修,,2012-11-26
1504919,Low Control Panel Room,低壓盤室,,機房設備及維修,,2012-11-26
1504920,Materials Room,材料控管室,,機房設備及維修,,2012-11-26
1504921,Civil Defence Communications Room,防情總機室,,機房設備及維修,,2012-11-26
1504922,Power Intake Room,受電室,,機房設備及維修,,2012-11-26
1504923,Pump Room,抽水機室,,機房設備及維修,,2012-11-26
1504924,Ventilation Cabinet,空調送風機室,,機房設備及維修,,2012-11-26
1504925,Special Police Equipment Room,保安裝備室,,機房設備及維修,,2012-11-26
1504926,Water Treatment Facilities,活水處理設備室,,機房設備及維修,,2012-11-26
1504927,Audio Control Room,音控室,,機房設備及維修,,2012-11-26
1504928,Maintenance Room,修護室/維修室/修理室,,機房設備及維修,,2012-11-26
1504929,Diesel Engine Room,柴油機室,,機房設備及維修,,2012-11-26
1504930,Firefighting Pump,消防幫浦機房,,機房設備及維修,,2012-11-26
1504931,Avionics Room,航空電子修護室,,機房設備及維修,,2012-11-26
1504932,Navigation Instruments Room,航海儀器室,,機房設備及維修,,2012-11-26
1504933,High-voltage Power Station,高壓電站,,機房設備及維修,,2012-11-26
1504934,Control Room,控制室,,機房設備及維修,,2012-11-26
1504935,Tank Room,桶槽設備室,,機房設備及維修,,2012-11-26
1504936,Power Substation,貨櫃69KV變壓站,,機房設備及維修,,2012-11-26
1504937,Telecommunication Room,無線電室,,機房設備及維修,,2012-11-26
1504938,Audiovisual Facilities,視聽器材室,,機房設備及維修,,2012-11-26
1504939,Intake,進水口,,機房設備及維修,,2012-11-26
1504940,Micro-wave Machine Room,微波機房,,機房設備及維修,,2012-11-26
1504941,Farm Implements Room,農具室,,機房設備及維修,,2012-11-26
1504942,Electronics Facilities Room,電子設備室,,機房設備及維修,,2012-11-26
1504943,Battery Room,電池間,,機房設備及維修,,2012-11-26
1504944,Telecommunications Room,電信室,,機房設備及維修,,2012-11-26
1504945,Telecommunication Facilities,電信機房,,機房設備及維修,,2012-11-26
1504946,Communications Maintenance Center,電訊修護中心,,機房設備及維修,,2012-11-26
1504947,Battery Charger Room,電瓶充電間,,機房設備及維修,,2012-11-26
1504948,Power Control Panel,電源箱,,機房設備及維修,,2012-11-26
1504949,Computer Maintenance Room,電腦維修室,,機房設備及維修,,2012-11-26
1504950,Switchboard Room,電話交換機房,,機房設備及維修,,2012-11-26
1504951,Electric Machine Room,電機房,,機房設備及維修,,2012-11-26
1504952,Electrical Relay Room,電驛室,,機房設備及維修,,2012-11-26
1504953,Used Cable Processing Room,電纜整理室,,機房設備及維修,,2012-11-26
1504954,Wiring and Piping Room,管線間,,機房設備及維修,,2012-11-26
1504955,Network Machine Room,網路機房,,機房設備及維修,,2012-11-26
1504956,Co-generation Facilities,蒸氣渦輪發電設備室,,機房設備及維修,,2012-11-26
