ID,英文名稱,中文名稱,圖片,學門,更新時間,更新日期
5458473,maltase,麥芽糖酶,,高中生物,,2022-07-15
5458474,Malthusian model,馬爾薩斯模型,,生態學,,2022-07-15
5458475,Malthusian overfishing,馬爾薩斯過漁,,生態學,,2022-07-15
5458476,maltose,麥芽糖,,高中生物,,2022-07-15
5458477,mammal,哺乳類,,高中生物,,2022-07-15
5458478,Mammalia,哺乳綱,,高中生物,,2022-07-15
5458479,mandible,下頷骨；大顎 {節肢動物},,大一普生,,2022-07-15
5458480,mangrove,紅樹林,,高中生物,,2022-07-15
5458481,Manis pentadactyla,穿山甲；中國鯪鯉,,高中生物,,2022-07-15
5458482,mannose,甘露糖,,高中生物,,2022-07-15
5458483,mannose 6-phosphate,甘露糖6-磷酸[鹽],,細胞生物,,2022-07-15
5458484,mantle,外套膜,,高中生物,,2022-07-15
5458485,MAP kinase {mitogen-activated protein kinase},促分裂原活化蛋白激酶,,細胞生物,,2022-07-15
5458486,map unit,圖譜單位,,高中生物,,2022-07-15
5458487,Maple Family; Aceraceae,槭樹科,,植物,,2022-07-15
5458488,Marchantiophyta,蘚門,,植物學,,2022-07-15
5458489,mariculture,海水養殖,,生態學,,2022-07-15
5458490,marine benthic zone,海洋底棲區,,大一普生,,2022-07-15
5458491,marine ecology,海洋生態學,,生態學,,2022-07-15
5458492,marine snow,海洋雪花；海雪,,生態學,,2022-07-15
5458493,mark-and-recapture method; capture-recapture method;  mark-and-recapture method;  mark-recapture method;  mark-and-release method,標識再捕法；捕捉-再捕捉法；標識放流法,,大一普生,,2022-07-15
5458494,mark-and-release method; capture-recapture method;  mark-and-recapture method; mark-recapture method,標識放流法；捕捉-再捕捉法；標識再捕法,,大一普生,,2022-07-15
5458495,marker,標記,,高中生物,,2022-07-15
5458496,mark-recapture method; capture-recapture method;  mark-and-recapture method;  mark-and-release method,標識再捕法；捕捉-再捕捉法；標識放流法,,大一普生,,2022-07-15
5458497,marsh,草沼,,生態學,,2022-07-15
5458498,marsupial,有袋類,,高中生物,,2022-07-15
5458499,mass extinction,大滅絕,,大一普生,,2022-07-15
5458500,mass spectrometry,質譜[分析]法,,細胞生物,,2022-07-15
5458501,mast cell,肥大細胞,,高中生物,,2022-07-15
5458502,mate choice,擇偶,,大一普生,,2022-07-15
5458503,material flow analysis,物質流分析,,生態學,,2022-07-15
5458504,maternal homologue,母系同源染色體,,,,2022-07-15
5458505,maternal imprinting,母系印記；母系銘印,,細胞生物,,2022-07-15
5458506,maternal inheritance,母系遺傳,,細胞生物,,2022-07-15
5458507,maternal-effect gene,母效基因,,細胞生物,,2022-07-15
5458508,mating,交配,,高中生物,,2022-07-15
5458509,mating bridge; conjugation bridge,交配橋；接合橋 {細菌},,細胞生物,,2022-07-15
5458510,mating type,交配型,,細胞生物,,2022-07-15
5458511,mating-type locus,交配型基因座,,細胞生物,,2022-07-15
5458512,matrices {sing. matrix},基質,,高中生物,,2022-07-15
5458513,matrix {pl. matrices},基質,,高中生物,,2022-07-15
5458514,matrix metalloprotease; matrix metalloproteinase,基質金屬蛋白酶,,細胞生物,,2022-07-15
5458515,matrix metalloproteinase; matrix metalloprotease,基質金屬蛋白酶,,細胞生物,,2022-07-15
5458516,maturation zone; zone of maturation,成熟區,,生命科學,,2022-07-15
5458517,maturation-promoting factor {= MPF},促成熟因子,,細胞生物,,2022-07-15
5458518,maturing face; trans face,成熟面 {高基氏體},,細胞生物,,2022-07-15
5458519,maximal velocity; maximum velocity {= Vmax},最大速率,,細胞生物,,2022-07-15
5458520,maximum likelihood,最大概似法,,大一普生,,2022-07-15
5458521,maximum parsimony,最大簡約法,,大一普生,,2022-07-15
5458522,maximum sustainable yield {=MSY},最大持續生產量,,生態學,,2022-07-15
5458523,maximum sustainable yield; maximum sustained yield {= MSY},最大持續生產量,,大一普生,,2022-07-15
5458524,maximum sustained yield {=MSY},最大持續生產量,,生態學,,2022-07-15
5458525,maximum sustained yield; maximum sustainable yield {= MSY},最大持續生產量,,大一普生,,2022-07-15
5458526,maximum velocity; maximal velocity {= Vmax},最大速率,,細胞生物,,2022-07-15
5458527,Mb {mega base pairs},百萬鹼基對,,細胞生物,,2022-07-15
5458528,MDR {multidrug resistance},多重抗藥性,,細胞生物,,2022-07-15
5458529,mean fitness,平均適[存]度；平均適[存] 性,,<p>細胞生物</p>,,2022-07-15
5458530,measles,麻疹,,高中生物,,2022-07-15
5458531,mechanical work,機械功,,細胞生物,,2022-07-15
5458532,mechanoenzyme,機械酶,,細胞生物,,2022-07-15
5458533,mechanoreceptor,機械性受器；機械性受體,,大一普生,,2022-07-15
5458534,mechanosensor,機械感應器；機械受器,,細胞生物,,2022-07-15
5458535,medial cisternae,扁囊中段處 {高基氏體},,細胞生物,,2022-07-15
5458536,median lethal dosage {= LD50},半數致死劑量,,生態學,,2022-07-15
5458537,mediator,媒介蛋白,,細胞生物,,2022-07-15
5458538,medulla,髓質,,高中生物,,2022-07-15
5458539,medulla oblongata,延腦,,高中生物,,2022-07-15
5458540,medusa,水母體,,大一普生,,2022-07-15
5458541,mega base pairs {= Mb},百萬鹼基對,,細胞生物,,2022-07-15
5458542,megagamete,雌配子,,植物學,,2022-07-15
5458543,megagametophyte,雌配子體；大配子體,,植物學,,2022-07-15
5458544,megakaryocyte,巨核細胞,,細胞生物,,2022-07-15
5458545,megalopa larva,大眼幼體,,生態學,,2022-07-15
5458546,megaphyll; macrophyll,大葉,,植物學,,2022-07-15
5458547,megasporangia {sing. megasporangium}; macrosporangia,大孢子囊,,生命科學,,2022-07-15
5458548,megasporangium {pl. megasporangia}; macrosporangium,大孢子囊,,生命科學,,2022-07-15
5458549,megaspore,大孢子,,高中生物,,2022-07-15
5458550,megasporophyll; macrosporophyll,大孢子葉,,高中生物,,2022-07-15
5458551,mother cell; parent cell,母細胞；親代細胞,,<p>植物學</p>,,2022-07-15
5458552,meiosis,減數分裂,,高中生物,,2022-07-15
5458553,meiosis I,減數分裂I；減數分裂第一階段,,高中生物,,2022-07-15
5458554,meiosis II,減數分裂II；減數分裂第二階段,,高中生物,,2022-07-15
5458555,meiospores,減數孢子,,植物學,,2022-07-15
5458556,melanin,黑色素,,高中生物,,2022-07-15
5458557,melanocyte,黑色素細胞,,細胞生物,,2022-07-15
5458558,melanocyte-stimulating hormone {= MSH},黑色素細胞刺激素,,大一普生,,2022-07-15
5458559,melatonin,褪黑激素,,高中生物,,2022-07-15
5458560,melting temperature,解構溫度,,細胞生物,,2022-07-15
5458561,membrane,膜,,細胞生物,,2022-07-15
5458562,membrane asymmetry,膜不對稱性,,細胞生物,,2022-07-15
5458563,membrane channel,膜通道,,細胞生物,,2022-07-15
5458564,membrane fluidity,膜流動性,,細胞生物,,2022-07-15
5458565,membrane permeability,膜通透性,,高中生物,,2022-07-15
5458566,membrane potential,膜電位,,高中生物,,2022-07-15
5458567,membrane protein,膜蛋白,,,,2022-07-15
5458568,membrane transport,膜運輸,,細胞生物,,2022-07-15
5458569,membrane transport protein,[跨]膜運輸蛋白,,細胞生物,,2022-07-15
5458570,membrane-bound ribosome; bound ribosome,膜連[型]核糖體,,細胞生物,,2022-07-15
5458571,memory cell,記憶細胞,,高中生物,,2022-07-15
5458572,Mendel's laws of inheritance,孟德爾遺傳定律,,細胞生物,,2022-07-15
5458573,meninges,腦膜,,高中生物,,2022-07-15
5458574,meningitis,腦膜炎,,高中生物,,2022-07-15
5458575,menopause,停經,,大一普生,,2022-07-15
5458576,menstrual cycle,月經週期,,<p>生命科學</p>,,2022-07-15
5458577,menstrual flow phase,行經期,,生命科學,,2022-07-15
5458578,menstruation,月經,,生命科學,,2022-07-15
5458579,meristem identity gene,分生組織本體基因,,大一普生,,2022-07-15
5458580,meristem; meristematic tissue,分生組織,,高中生物,,2022-07-15
5458581,meristematic tissue; meristem,分生組織,,高中生物,,2022-07-15
5458582,Meristic character,計數形質,,生態學,,2022-07-15
5458583,meristic trait,可計數表徵,,細胞生物,,2022-07-15
5458584,meroblastic cleavage,不完全卵裂,,大一普生,,2022-07-15
5458585,merozygote; partial diploid,局部合子；部分合子,,細胞生物,,2022-07-15
5458586,Merychippus,中新馬屬,,高中生物,,2022-07-15
5458587,mesenchymal stem cell,間葉系幹細胞,,細胞生物,,2022-07-15
5458588,mesenchyme,間葉組織,,細胞生物,,2022-07-15
5458589,mesocarp,中果皮,,植物學,,2022-07-15
5458590,mesoderm,中胚層,,高中生物,,2022-07-15
5458591,Mesohippus,漸新馬屬,,高中生物,,2022-07-15
5458592,mesohyl,中質層 {海綿動物},,生命科學,,2022-07-15
5458593,mesopelagic zone,中層洋帶,,生命科學,,2022-07-15
5458594,mesophyll,葉肉；中型葉,,高中生物,,2022-07-15
5458595,mesophyll cell,葉肉細胞,,細胞生物,,2022-07-15
5458596,mesophyte,中生植物,,植物學,,2022-07-15
5458597,Mesosaurus,中龍屬,,,,2022-07-15
5458598,Mesozoic era,中生代,,高中生物,,2022-07-15
5458599,messenger RNA {= mRNA},傳訊RNA,,高中生物,,2022-07-15
5458600,metabolic control,代謝控制,,細胞生物,,2022-07-15
5458601,Metabolic intermediate,代謝中間物,,細胞生物,,2022-07-15
5458602,metabolic pathway,代謝路徑,,大一普生,,2022-07-15
5458603,metabolic rate,代謝率,,大一普生,,2022-07-15
5458604,metabolic reaction,代謝反應,,,,2022-07-15
5458605,metabolic regulation,代謝調節,,細胞生物,,2022-07-15
5458606,metabolic syndrome,代謝症候群,,細胞生物,,2022-07-15
5458607,metabolism,代謝[作用],,高中生物,,2022-07-15
5458608,metabolite,代謝物,,高中生物,,2022-07-15
5458609,metabolome,代謝體,,細胞生物,,2022-07-15
5458610,metabolomics,代謝體學,,細胞生物,,2022-07-15
5458611,metabolon,代謝群組,,細胞生物,,2022-07-15
5458612,metagenomics,宏觀基因體學,,<p>細胞生物</p>,,2022-07-15
5458613,metalloprotein,[含]金屬蛋白,,細胞生物,,2022-07-15
5458614,metamerism,分節現象,,高中生物,,2022-07-15
5458615,metamorphosis,變態,,海洋生物,,2022-07-15
5458616,metanephridium,後腎管,,大一普生,,2022-07-15
5458617,metaphase,中期 {細胞週期},,<p>生命科學</p>,,2022-07-15
5458618,metaphase plate; equatorial plate,中期板；赤道板,,高中生物,,2022-07-15
5458619,metapopulation,關聯族群；複合族群,,大一普生,,2022-07-15
5458620,metasoma,後體,,,,2022-07-15
5458621,metastable state,亞穩態,,細胞生物,,2022-07-15
5458622,metastasis,腫瘤轉移,,大一普生,,2022-07-15
5458623,metazoan,後生動物,,細胞生物,,2022-07-15
5458624,methanogen; methanogenic bacteria,甲烷菌；產甲烷菌,,高中生物,,2022-07-15
5458625,methanogenic bacteria; methanogen,甲烷菌；產甲烷菌,,高中生物,,2022-07-15
5458626,methionine,甲硫胺酸,,高中生物,,2022-07-15
5458627,methotrexate; amethopterin,胺甲喋呤,,細胞生物,,2022-07-15
5458628,methylene blue,亞甲藍,,高中生物,,2022-07-15
5458629,MHC {major histocompatibility complex},主要組織相容性複體,,高中生物,,2022-07-15
5458630,micelle,微胞,,高中生物,,2022-07-15
5458631,Michaelis constant {= KM},米開勒斯[氏]常數；米氏常數,,細生,,2022-07-15
5458632,Michaelis-Menten equation,米開勒斯[氏]-曼登[氏]方程式,,細胞生物,,2022-07-15
5458633,Michaelis-Menten kinetics,米開勒斯[氏]-曼登[氏]動力學,,細胞生物,,2022-07-15
5458634,microarray,微陣列,,細胞生物,,2022-07-15
5458635,microautophagy,微自噬[作用],,細胞生物,,2022-07-15
5458636,microbe; microorganism,微生物,,高中生物,,2022-07-15
5458637,microbody,微[小]體,,高中生物,,2022-07-15
5458638,microclimate,微氣候,,大一普生,,2022-07-15
5458639,microcosm,微型生態池,,生態學,,2022-07-15
5458640,microevolution,微演化,,高中生物,,2022-07-15
5458641,microfibril,微纖絲,,高中生物,,2022-07-15
5458642,microfilament; actin filament,微絲；肌動蛋白絲,,細胞生物,,2022-07-15
5458643,microfilament-based movement,微絲依賴性運動,,細胞生物,,2022-07-15
5458644,microgametophyte,雄配子體；小配子體,,植物學,,2022-07-15
5458645,microglia,微神經膠細胞,,<p>高中生物</p>,,2022-07-15
5458646,microhabitat,微棲地,,生態學,,2022-07-15
5458647,microinjection,顯微注射,,高中生物,,2022-07-15
5458648,micronutrient,微量養分,,大一普生,,2022-07-15
5458649,microorganism; microbe,微生物,,生態學,,2022-07-15
5458650,microphagy,食微粒性,,細胞生物,,2022-07-15
5458651,microphyll,小葉,,植物學,,2022-07-15
5458652,micropyle,珠孔,,大一普生,,2022-07-15
5458653,microRNA {= miRNA},微小RNA,,細生,,2022-07-15
5458654,microsatellite DNA,微衛星DNA；微從屬DNA,,高中生物,,2022-07-15
5458655,microsatellite marker,微衛星標記,,細胞生物,,2022-07-15
5458656,microscope,顯微鏡,,,,2022-07-15
5458657,microscopy,顯微[鏡]術,,細胞生物,,2022-07-15
5458658,microsome,微粒體,,細胞生物,,2022-07-15
5458659,microsphere,微球,,高中生物,,2022-07-15
5458660,microsporangia {sing. microsporangium},小孢子囊,,生命科學,,2022-07-15
5458661,microsporangium {pl. microsporangia},小孢子囊,,生命科學,,2022-07-15
5458662,microspore,小孢子,,高中生物,,2022-07-15
5458663,microsporophyll,小孢子葉,,生命科學,,2022-07-15
5458664,microtome,切片機,,細胞生物,,2022-07-15
5458665,microtubule,微管,,高中生物,,2022-07-15
5458666,microtubule catastrophe,微管驟變,,生態學,,2022-07-15
5458667,microtubule nucleation,微管成核,,生態學,,2022-07-15
5458668,microtubule rescue,微管復原,,生態學,,2022-07-15
5458669,microtubule-associated motor protein {= motor MAP},微管相關馬達蛋白,,細胞生物,,2022-07-15
5458670,microtubule-associated nonmotor protein {= nonmotor MAP},微管相關非馬達蛋白,,細胞生物,,2022-07-15
5458671,microtubule-associated protein,微管相關蛋白,,細胞生物,,2022-07-15
5458672,microtubule-based movement,微管依賴性運動,,細胞生物,,2022-07-15
5458673,microtubule-organizing center {= MTOC},微管組織中心,,細胞生物,,2022-07-15
5458674,microvilli {sing. microvillus},微絨毛,,高中生物,,2022-07-15
5458675,microvillus {pl. microvilli},微絨毛,,高中生物,,2022-07-15
5458676,micturition reflex,排尿反射,,高中生物,,2022-07-15
5458677,midbody,中心顆粒體,,細胞生物,,2022-07-15
5458678,midbrain,中腦,,高中生物,,2022-07-15
5458679,middle ear,中耳,,高中生物,,2022-07-15
5458680,middle lamella,中膠層 {植物},,生命科學,,2022-07-15
5458681,midrib,中肋,,高中生物,,2022-07-15
5458682,migration,遷移；遷徙；洄游,,高中生物,,2022-07-15
5458683,millennium ecosystem assessment,千禧年生態系評估,,生態學,,2022-07-15
5458684,mimicry,擬態,,高中生物,,2022-07-15
5458685,Minamata disease,水俣病 {汞中毒},,生命科學,,2022-07-15
5458686,mineral,礦物質,,高中生物,,2022-07-15
5458687,mineral salt,礦物鹽類,,高中生物,,2022-07-15
5458688,mineralocorticoid; minerocorticoid,鹽皮質[激]素；礦物皮質[激]素,,高中生物,,2022-07-15
5458689,minerocorticoid; mineralocorticoid,鹽皮質[激]素；礦物皮質[激]素,,高中生物,,2022-07-15
5458690,minimal medium,基本培養基,,細胞生物,,2022-07-15
5458691,minimum viable population,最小存活族群,,大一普生,,2022-07-15
5458692,minisatellite marker,小衛星標記,,細胞生物,,2022-07-15
5458693,minus end,減去端 {微管},,細生(華),,2022-07-15
5458694,miRNA {microRNA},微小RNA,,細生,,2022-07-15
5458695,mismatch repair,誤配修補,,大一普生,,2022-07-15
5458696,missense mutation,誤義突變,,高中生物,,2022-07-15
5458697,missing sink,失匯,,生態學,,2022-07-15
5458698,mitochondria {sing. mitochondrion},粒線體,,高中生物,,2022-07-15
5458699,mitochondrial DNA {= mtDNA},粒線體DNA,,細胞生物,,2022-07-15
5458700,mitochondrial inner membrane,粒線體內膜,,,,2022-07-15
5458701,mitochondrial matrix,粒線體基質,,細胞生物,,2022-07-15
5458702,mitochondrial membrane,粒線體膜,,細胞生物,,2022-07-15
5458703,mitochondrial outer membrane,粒線體外膜,,,,2022-07-15
5458704,mitochondrion {pl. mitochondria},粒線體,,高中生物,,2022-07-15
5458705,mitogen,促分裂原,,細胞生物,,2022-07-15
5458706,mitogen-activated protein kinase {= MAP kinase},促分裂原活化蛋白激酶,,細胞生物,,2022-07-15
5458707,mitosis,有絲分裂,,高中生物,,2022-07-15
5458708,mitotic catastrophe,有絲分裂驟變,,生態學,,2022-07-15
5458709,mitotic index,有絲分裂指數,,細胞生物,,2022-07-15
5458710,mitotic phase {= M phase},[胞核]分裂期 {細胞週期},,<p>生命科學</p>,,2022-07-15
5458711,mitotic spindle,有絲分裂紡錘體,,大一普生,,2022-07-15
5458712,mitral valve; bicuspid valve,二尖瓣；僧帽瓣,,高中生物,,2022-07-15
5458713,mixed nerve,混合神經,,高中生物,,2022-07-15
5458714,mixotroph,混營生物,,大一普生,,2022-07-15
5458715,MLCK {myosin light-chain kinase},肌凝蛋白輕鏈激酶,,細胞生物,,2022-07-15
5458716,mobile genetic element,移動式遺傳元件,,細胞生物,,2022-07-15
5458717,model organism,模式生物,,大一普生,,2022-07-15
5458718,modified leaf,特化葉,,高中生物,,2022-07-15
5458719,modified root,特化根,,高中生物,,2022-07-15
5458720,modified stem,特化莖,,高中生物,,2022-07-15
5458721,modifier gene,微效基因,,細胞生物,,2022-07-15
5458722,modular organism,構件生物體,,生態學,,2022-07-15
5458723,modulator,調節物,,細胞生物,,2022-07-15
5458724,Moeritherium,始祖象,,,,2022-07-15
5458725,mold,黴菌,,高中生物,,2022-07-15
5458726,molecular biology,分子生物學,,,,2022-07-15
5458727,molecular chaperone,分子伴護蛋白,,細胞生物,,2022-07-15
5458728,molecular clock,分子[時]鐘,,大一普生,,2022-07-15
5458729,molecular complementarity,分子互補性,,細胞生物,,2022-07-15
5458730,molecular farming,分子養殖；分子農牧,,高中生物,,2022-07-15
5458731,molecular fossi; chemofossil,分子化石；化學化石,,生態學,,2022-07-15
5458732,molecular genetics,分子遺傳學,,細胞生物,,2022-07-15
5458733,molecular marker,分子標記,,細胞生物,,2022-07-15
5458734,molecular mass,分子質量,,細胞生物,,2022-07-15
5458735,molecular systematics,分子系統分類學,,大一普生,,2022-07-15
5458736,molecular targeting,分子靶向作用,,細胞生物,,2022-07-15
5458737,mollusc; mollusk,軟體動物,,高中生物,,2022-07-15
5458738,Mollusca,軟體動物門,,高中生物,,2022-07-15
5458739,mollusk; mollusc,軟體動物,,高中生物,,2022-07-15
5458740,Monera,原核生物界,,高中生物,,2022-07-15
5458741,monocistronic mRNA,單順反子mRNA,,高中生物,,2022-07-15
5458742,monoclonal antibody,單株抗體；單源抗體,,高中生物,,2022-07-15
5458743,monocot; monocotyledon; monocotyledonous plant,單子葉植物,,高中生物,,2022-07-15
5458744,monocotyledon; monocot; monocotyledonous plant,單子葉植物,,高中生物,,2022-07-15
5458745,Monocotyledoneae,單子葉植物綱 {舊名},,高中生物,,2022-07-15
5458746,monocotyledonous plan; monocot; monocotyledon,單子葉植物,,高中生物,,2022-07-15
5458747,monocyte,單核球,,高中生物,,2022-07-15
5458748,monocytosis,單核球增多症,,高中生物,,2022-07-15
5458749,monoecism,雌雄同株,,植物學,,2022-07-15
5458750,monogamous,單配式[的],,大一普生,,2022-07-15
5458751,monogamy,單配偶制,,生態學,,2022-07-15
5458752,monogenesis,單源演化說,,高中生物,,2022-07-15
5458753,monogony,無性繁殖；單性生殖,,高中生物,,2022-07-15
5458754,monohpyly,單系；單源,,,,2022-07-15
5458755,monohybrid,單性狀雜合體,,高中生物,,2022-07-15
5458756,monohybrid cross,單性狀雜合體互交,,高中生物,,2022-07-15
5458757,monolete,單裂縫的,,植物學,,2022-07-15
5458758,monomer,單體,,高中生物,,2022-07-15
5458759,monomeric protein,單體蛋白,,細胞生物,,2022-07-15
5458760,monomorphism,單型性,,植物學,,2022-07-15
5458761,monophyletic,單系[的]；單源[的],,大一普生,,2022-07-15
5458762,monoploid,單套[個]體,,細胞生物,,2022-07-15
5458763,monopolar neuron,單極神經元,,高中生物,,2022-07-15
5458764,monosaccharide,單醣,,高中生物,,2022-07-15
5458765,monosomic,單染色體[的],,高中生物,,2022-07-15
5458766,monosomy,單染色體[態],,高中生物,,2022-07-15
5458767,monospermy,單精入卵,,植物學,,2022-07-15
5458768,monosporic embryo sac,單孢子胚囊,,植物學,,2022-07-15
5458769,monotreme,單孔類,,高中生物,,2022-07-15
5458770,monsoon,季風；季雨,,生態學,,2022-07-15
5458771,moonlighting enzyme,兼職[功能]酵素,,細胞生物,,2022-07-15
5458772,morph,遺傳型態,,細胞生物,,2022-07-15
5458773,morphogen,形態決定因子,,大一普生,,2022-07-15
5458774,morphogenesis,形態發生,,植物學,,2022-07-15
5458775,morphological species concept,形態種概念,,大一普生,,2022-07-15
5458776,morphology,形態[學],,大一普生,,2022-07-15
5458777,mortality,死亡率,,高中生物,,2022-07-15
5458778,morula,桑椹胚,,高中生物,,2022-07-15
5458779,mosaic,鑲嵌[體],,細胞生物,,2022-07-15
5458780,moss,苔類,,高中生物,,2022-07-15
5458781,motif,模體,,細胞生物,,2022-07-15
5458782,motility,移動性,,細胞生物,,2022-07-15
5458783,motor area,運動區,,高中生物,,2022-07-15
5458784,motor association area,運動聯合區,,高中生物,,2022-07-15
5458785,motor end plate,運動終板,,高中生物,,2022-07-15
5458786,motor MAP {microtubule-associated motor protein},微管相關馬達蛋白,,細胞生物,,2022-07-15
5458787,motor neuron,運動神經元,,大一普生,,2022-07-15
5458788,motor protein,馬達蛋白,,大一普生,,2022-07-15
5458789,motor root,運動根,,高中生物,,2022-07-15
5458790,motor system,運動系統,,大一普生,,2022-07-15
5458791,motor unit,運動單位,,大一普生,,2022-07-15
5458792,mouth breeding; buccal incubation,口孵,,生態學,,2022-07-15
5458793,mouth part,口器,,高中生物,,2022-07-15
5458794,MPF {maturation-promoting factor},促成熟因子,,細胞生物,,2022-07-15
5458795,mRNA {messenger RNA},傳訊RNA,,高中生物,,2022-07-15
5458796,mRNP exporter,mRNP輸出蛋白,,細胞生物,,2022-07-15
5458797,MSH {melanocyte-stimulating hormone},黑色素細胞刺激素,,大一普生,,2022-07-15
5458798,MSY {maximum sustainable yield; maximum sustained yield},最大持續生產量,,大一普生,,2022-07-15
5458799,mtDNA {mitochondrial DNA},粒線體DNA,,細胞生物,,2022-07-15
5458800,MTOC {microtubule-organizing center},微管組織中心,,生命科學,,2022-07-15
5458801,mucin,黏蛋白,,高中生物,,2022-07-15
5458802,mucopolysaccharide,黏多醣,,細胞生物,,2022-07-15
5458803,mucosa,黏膜[層],,高中生物,,2022-07-15
5458804,mucosal-associated lymphoid tissue {= MALT},黏膜[層]淋巴組織,,高中生物,,2022-07-15
5458805,mucus,黏液,,大一普生,,2022-07-15
5458806,mud flat,泥灘；泥岸,,高中生物,,2022-07-15
5458807,mud-flow,泥流,,生態學,,2022-07-15
5458808,Müllerian mimicry,穆氏擬態,,大一普生,,2022-07-15
5458809,multicellular organism,多細胞生物,,,,2022-07-15
5458810,multidrug resistance {= MDR},多重抗藥性,,細胞生物,,2022-07-15
5458811,multidrug transporter,多[種]藥[物]運輸蛋白,,細胞生物,,2022-07-15
5458812,multienzyme system,複酶系統,,細胞生物,,2022-07-15
5458813,multifactorial,多因[子]性[的],,細胞生物,,2022-07-15
5458814,multifactorial hypothesis,多因[子]性假說,,細胞生物,,2022-07-15
5458815,multigene family,多基因家族,,大一普生,,2022-07-15
5458816,multigenic deletion,[相鄰]多基因缺失,,細胞生物,,2022-07-15
5458817,multimeric protein,多聚體蛋白,,細胞生物,,2022-07-15
5458818,multipass transmembrane protein,多重穿膜蛋白,,細胞生物,,2022-07-15
5458819,multiphoton excitation microscopy,多光子激發顯微鏡術,,細胞生物,,2022-07-15
5458820,multiple alleles,複等位基因,,高中生物,,2022-07-15
5458821,multiple cloning site; polylinker,多重選殖位,,細胞生物,,2022-07-15
5458822,multiple fruit,多花果,,高中生物,,2022-07-15
5458823,multiplication,增殖,,高中生物,,2022-07-15
5458824,multipolar neuron,多極神經元,,高中生物,,2022-07-15
5458825,multipotent stem cell,多潛能幹細胞,,,,2022-07-15
5458826,multiprotein complex,多蛋白複合體,,細胞生物,,2022-07-15
5458827,multiregional hypothesis,多區域說,,高中生物,,2022-07-15
5458828,muscle cell; myocyte,肌細胞,,,,2022-07-15
5458829,muscle fiber,肌纖維,,細胞生物,,2022-07-15
5458830,muscle spindle,肌梭,,高中生物,,2022-07-15
5458831,muscle tissue,肌肉組織,,大一普生,,2022-07-15
5458832,muscular dystrophy,肌肉萎縮症,,高中生物,,2022-07-15
5458833,muscularis externae,肌膜層,,高中生物,,2022-07-15
5458834,muscularis mucosae,黏膜肌層,,高中生物,,2022-07-15
5458835,mutagen,致突變原,,高中生物,,2022-07-15
5458836,mutagenesis,誘[發突]變,,細胞生物,,2022-07-15
5458837,mutant,突變體；突變型；突變株,,細胞生物,,2022-07-15
5458838,mutarotation,變旋,,細胞生物,,2022-07-15
5458839,mutase,變位酶,,細胞生物,,2022-07-15
5458840,mutation,突變,,高中生物,,2022-07-15
5458841,mutation rate,突變率,,細胞生物,,2022-07-15
5458842,mutualism,互利共生,,高中生物,,2022-07-15
5458843,myasthenia gravis,重症肌無力,,高中生物,,2022-07-15
5458844,mycelium,菌絲體,,高中生物,,2022-07-15
5458845,Mycetae,真菌界 {舊名},,高中生物,,2022-07-15
5458846,mycology,真菌學,,植物學,,2022-07-15
5458847,mycoplasma,黴漿菌,,高中生物,,2022-07-15
5458848,mycorrhiza {pl. mycorrhizae; mycorrhizas},菌根,,高中生物,,2022-07-15
5458849,mycorrhizae; mycorrhizas {sing. mycorrhiza},菌根,,高中生物,,2022-07-15
5458850,mycorrhizas; mycorrhizae {sing. mycorrhiza},菌根,,高中生物,,2022-07-15
5458851,myelin sheath,髓鞘,,高中生物,,2022-07-15
5458852,myeloid cell,非淋巴球白血球,,細胞生物,,2022-07-15
5458853,myoblast,肌原細胞；成肌細胞,,細胞生物,,2022-07-15
5458854,myocardium; cardiac muscle,心肌,,高中生物,,2022-07-15
5458855,myocyte; muscle cell,肌細胞,,細胞生物,,2022-07-15
5458856,myoepithelial cell,肌上皮細胞,,細胞生物,,2022-07-15
5458857,myofibril,肌原纖維,,高中生物,,2022-07-15
5458858,myofilament,肌絲,,高中生物,,2022-07-15
5458859,myoglobin,肌紅素；肌紅蛋白,,高中生物,,2022-07-15
5458860,myopia,近視,,高中生物,,2022-07-15
5458861,myosin,肌凝蛋白,,高中生物,,2022-07-15
5458862,myosin light-chain kinase {= MLCK},肌凝蛋白輕鏈激酶,,細胞生物,,2022-07-15
5458863,myotonia,肌肉強直,,大一普生,,2022-07-15
5458864,myriapod,多足動物,,大一普生,,2022-07-15
5458865,mysis,糠蝦[期]幼蟲,,生態學,,2022-07-15
5458866,myxedema,黏液性水腫,,高中生物,,2022-07-15
5458867,Na+/K+ ATPase; Na+-K+ ATPase,鈉鉀ATP酶,,細胞生物,,2022-07-15
5458868,Na+-K+ ATPase; Na+/K+ ATPase,鈉鉀ATP酶,,細胞生物,,2022-07-15
5458869,Na+-K+ pump; sodium-potassium pump,鈉鉀幫浦；鈉鉀泵,,高中生物,,2022-07-15
5458870,NAA {naphthalene acetic acid},萘乙酸,,高中生物,,2022-07-15
5458871,NAD+ {nicotinamide adenine dinucleotide},菸鹼醯胺腺嘌呤二核苷酸 {氧化態},,高中生物,,2022-07-15
5458872,NADH {nicotinamide adenine dinucleotide},菸鹼醯胺腺嘌呤二核苷酸 {還原態},,高中生物,,2022-07-15
5458873,NADP+ {nicotinamide adenine dinucleotide phosphate},菸鹼醯胺腺嘌呤二核苷酸磷酸 {氧化態},,高中生物,,2022-07-15
