ID,英文名稱,中文名稱,圖片,中國大陸譯名,公告日期,更新日期
2698560,food niche,攝食生態位,,摄食生态位,104.11.09,2016-09-13
2698561,food plant,食用植物,,食用植物,104.11.09,2016-09-13
2698562,food relationship,攝食關係,,食物关系,104.11.09,2016-09-13
2698563,food selection,食物選擇,,食物选择,104.11.09,2016-09-13
2698564,food web,食物網,,食物网,104.11.09,2016-09-13
2698565,food-seeking behavio(u)r,覓食行為,,觅食行为,104.11.09,2016-09-13
2698566,food-to-microorganism ratio{=F/M},食微比{環工},,"食料微生物比,污泥负荷(sludge load)",104.11.09,2016-09-13
2698567,forage,糧草；飼草,,饲草,104.11.09,2016-09-13
2698568,forage factor,糧草係數,,饲草系数,104.11.09,2016-09-13
2698569,foraging,覓食,,觅食行为,104.11.09,2016-09-13
2698570,foraging behavio(u)r,覓食行為,,觅食行为,104.11.09,2016-09-13
2698571,foraminiferan ooze,有孔蟲軟泥,,有孔虫软泥,104.11.09,2016-09-13
2698572,forb,牧〔野雜〕草,,牧〔野杂〕草,104.11.09,2016-09-13
2698573,forb steppe,雜草乾草原,,杂草干草原,104.11.09,2021-03-22
2698574,forbs,闊葉草類,,非禾本草本植物,104.11.09,2016-09-13
2698575,foredune community,岸前沙丘,,水边低沙丘群落,104.11.09,2016-09-13
2698576,foreshore,前濱{潮間帶},,冲滩,104.11.09,2016-09-13
2698577,forest canopy,林冠,,林冠层,104.11.09,2016-09-13
2698578,forest ecology,森林生態學,,森林生态学,104.11.09,2016-09-13
2698579,forest ecosystem,森林生態系,,森林生态系统,104.11.09,2016-09-13
2698580,forest edge,林緣,,林缘,104.11.09,2016-09-13
2698581,forest fertilization,林地施肥作業,,林地施肥,104.11.09,2016-09-13
2698582,forest fire,林火,,林火,104.11.09,2016-09-13
2698583,forest floor,地表有機層；枯枝落葉層；林床,,林地表层,104.11.09,2016-09-13
2698584,forest grazing,林內放牧,,林内放牧,104.11.09,2016-09-13
2698585,forest indicator,森林指標植物,,森林指示植物,104.11.09,2016-09-13
2698586,forest influences,森林影響學,,森林影响,104.11.09,2016-09-13
2698587,forest limit,森林限界,,森林界限；林线,104.11.09,2016-09-13
2698588,forest margin,林緣,,林缘,104.11.09,2016-09-13
2698589,forest meteorology,森林氣象學,,森林气象学,104.11.09,2016-09-13
2698590,forest recreation,森林遊樂,,森林游憩,104.11.09,2016-09-13
2698591,forest road,林道,,林道,104.11.09,2016-09-13
2698592,forest site type,森林立地型,,森林立地型,104.11.09,2016-09-13
2698593,forest stand,林分,,林分,104.11.09,2016-09-13
2698594,forest structure,森林結構,,林分结构,104.11.09,2016-09-13
2698595,forest type,林型,,林型,104.11.09,2016-09-13
2698596,forest zone,森林帶,,森林带,104.11.09,2016-09-13
2698597,forestry,林業,,林业,104.11.09,2016-09-13
2698598,formation,1.群系{植物學}；2.岩層{地質學}；3.化育；形成{土壤學},,群系,104.11.09,2016-09-13
2698599,form-function relationship,形態-功能關係,,形态-功能关系,104.11.09,2016-09-13
2698600,fossil biocoenosis,化石群聚,,化石生物群落,104.11.09,2016-09-13
2698601,fossil fuel,化石燃料,,化石燃料,104.11.09,2016-09-13
2698602,fossil species,化石種,,化石种,104.11.09,2016-09-13
2698603,fossilization,化石化作用,,化石化作用,104.11.09,2016-09-13
2698604,fouling community,汙損生物群落,,污着群落,104.11.09,2016-09-13
2698605,fouling organism(s),汙損生物；附著生物,,附着性动物；污垢生物,104.11.09,2016-09-13
2698606,founder effect,創始者效應；奠基者效應,,奠基者效应,104.11.09,2016-09-13
2698607,founder event,奠基者事件,,奠基者事件,104.11.09,2016-09-13
2698608,founder principle,奠基者原理,,建立者原则,104.11.09,2016-09-13
2698609,fractal,碎形；分形；殘形,,分形,104.11.09,2016-09-13
2698610,fractal dimension,碎形維度,,分数维,104.11.09,2016-09-13
2698611,fragipan,脆盤{土壤},,脆盘,104.11.09,2016-09-13
2698612,fragmentation index,破碎化指數,,破碎化指数,104.11.09,2016-09-13
2698613,free floating hydrophyte community,流藻群落；自由飄浮水生植物群落,,自由飘浮水生植物群落,104.11.09,2016-09-13
2698614,free floating water plant,自由漂浮水生植物,,自由飘浮水生植物,104.11.09,2016-09-13
2698615,free-air carbon dioxide enrichment experiment{=FACE experiment},自由大氣二氧化碳濃度增加實驗,,自由大气二氧化碳浓度增加实验,104.11.09,2016-09-13
2698616,free-running rhythm,自運節律,,自运节律；定避周律,104.11.09,2016-09-13
2698617,freezing injury,凍害；凍傷,,冻害,104.11.09,2016-09-13
2698618,freezing resistance,抗凍性,,抗冻性,104.11.09,2016-09-13
2698619,freezing tolerance,耐凍性,,耐冻性,104.11.09,2016-09-13
2698620,freezing-sensitive plant,凍敏感植物,,冻敏感植物,104.11.09,2016-09-13
2698621,freezing-tolerant plant,耐凍植物,,耐冻植物,104.11.09,2016-09-13
2698622,frequency dependent,頻率依存,,频率制约,104.11.09,2016-09-13
2698623,frequency distribution,頻率分佈,,频率分布,104.11.09,2016-09-13
2698624,frequency law,頻率[定]律,,频率[定]律,104.11.09,2016-09-13
2698625,frequency percentage,頻率百分比,,频率百分比,104.11.09,2016-09-13
2698626,frequency spectrum,頻率圖譜,,频谱,104.11.09,2016-09-13
2698627,frequency table,頻率表,,频率表,104.11.09,2016-09-13
2698628,frequency{frequence},頻率；頻度,,频度,104.11.09,2016-09-13
2698629,frequency-dependent selection,頻率依存[型]天擇,,频率制约性选择,104.11.09,2016-09-13
2698630,fresh weight,鮮重,,鲜重,104.11.09,2016-09-13
2698631,freshwater ecology,淡水生態學,,淡水生态学,104.11.09,2016-09-13
2698632,freshwater ecosystem,淡水生態系,,淡水生态系统,104.11.09,2016-09-13
2698633,friendly behavio(u)r,友善行為,,友善行为,104.11.09,2016-09-13
2698634,frigid zone,寒帶,,寒带,104.11.09,2016-09-13
2698635,frigorideserta,寒漠群落,,寒荒漠群落,104.11.09,2016-09-13
2698636,fringe area,分佈邊緣地域,,分布边缘地区,104.11.09,2016-09-13
2698637,fringe population,邊緣族群,,边缘种群,104.11.09,2016-09-13
2698638,fringe wetland,邊緣濕地,,水边湿地,104.11.09,2016-09-13
2698639,fringing forest,邊緣林,,边缘林,104.11.09,2016-09-13
2698640,fringing reef,裙礁,,缘礁,104.11.09,2016-09-13
2698641,frost damage,霜害,,冻害,104.11.09,2016-09-13
2698642,frost erosion,霜蝕,,冻蚀；霜蚀,104.11.09,2016-09-13
2698643,frost hardiness,抗寒性,,耐寒性,104.11.09,2016-09-13
2698644,frost heaving,霜拔,,冻拔,104.11.09,2016-09-13
2698645,frost injury,霜害,,霜害,104.11.09,2016-09-13
2698646,frost line,霜線,,霜线,104.11.09,2016-09-13
2698647,frost resistance,抗霜性；抗寒性,,抗霜性,104.11.09,2016-09-13
2698648,frostless belt,無霜帶,,无霜地带,104.11.09,2016-09-13
2698649,frostless season,無霜期,,无霜季,104.11.09,2016-09-13
2698650,frugivorous,果食性,,食果性,104.11.09,2016-09-13
2698651,frugivorous animal,果食性動物,,食果动物,104.11.09,2016-09-13
2698652,frutescence,灌木,,灌木,104.11.09,2016-09-13
2698653,fruticose lichen,枝狀地衣,,枝状地衣,104.11.09,2016-09-13
2698654,fry,魚苗,,鱼苗,104.11.09,2016-09-13
2698655,F-statistics,F統計量,,F统计量,104.11.09,2016-09-13
2698656,fugitive coexistence,逃命共存,,逃命共存,104.11.09,2016-09-13
2698657,fugitive species,機會種；避難種,,机会种,104.11.09,2016-09-13
2698658,fumigant,薰蒸劑,,熏蒸剂,104.11.09,2016-09-13
2698659,fumigation,薰蒸,,熏蒸法,104.11.09,2016-09-13
2698660,functional convergence hypothesis,功能收斂假說,,功能收敛假说,104.11.09,2016-09-13
2698661,functional food web,功能性食物網,,功能食物网,104.11.09,2016-09-13
2698662,functional group,官能基；功能群 {生態}；同功群 {生態},,功能群；同资源种团(guild),104.11.09,2016-09-13
2698663,functional niche,功能生態位,,基础生态位,104.11.09,2016-09-13
2698664,functional response,機能反應；功能反應,,机能反应；功能反应,104.11.09,2016-09-13
2698665,fundamental niche,基本生態位,,基础生态区位；基本生态席位,104.11.09,2016-09-13
2698666,fungicide,殺真菌劑,,杀菌剂,104.11.09,2016-09-13
2698667,fungivore,菌食性,,食菌性,104.11.09,2016-09-13
2698668,Gaia hypothesis,蓋婭假說,,盖娅假说,104.11.09,2016-09-13
2698669,gall,癭；蟲癭,,瘿瘤；虫瘿,104.11.09,2016-09-13
2698670,gallery forest,濱岸林,,河岸带状林,104.11.09,2016-09-13
2698671,game animal,狩獵動物；狩獵用鳥獸,,狩猎动物；狩猎用鸟兽,104.11.09,2016-09-13
2698672,game management,狩獵管理；狩獵經營,,狩猎管理；狩猎经营,104.11.09,2016-09-13
2698673,game pasture,狩獵牧場；供獵牧場,,狩猎牧场；供猎牧场,104.11.09,2016-09-13
2698674,game theory,博弈理論；賽局理論,,博弈论；对策论,104.11.09,2016-09-13
2698675,gamete,配子,,配子,104.11.09,2016-09-13
2698676,gamma diversity,γ多樣性,,γ多样性；γ丰富度(gamma richness),104.11.09,2016-09-13
2698677,gamma richness,γ豐富度,,γ丰富度,104.11.09,2016-09-13
2698678,gamodeme,交配亞族群,,交配同类群,104.11.09,2016-09-13
2698679,gap analysis,間隙分析,,缺口分析；间隙分析；落差分析,104.11.09,2016-09-13
2698680,gap model,間隙模型[式],,林窗模型,104.11.09,2016-09-13
2698681,gar(r)igue,加里格灌叢,,加里格群落,104.11.09,2016-09-13
2698682,gas permeability,透氣性,,透气性,104.11.09,2016-09-13
2698683,gaseous type cycle,氣態型循環,,气态物循环；气体型循环,104.11.09,2016-09-13
2698684,Gause's rule,高斯法則,,高斯法则,104.11.09,2016-09-13
2698685,gemmule,芽球{海綿}；小芽{植物},,芽球,104.11.09,2016-09-13
2698686,gene dispersal,基因擴散,,基因扩散,104.11.09,2016-09-13
2698687,gene diversity index,基因多樣性指數,,基因多样性指数,104.11.09,2016-09-13
2698688,gene drift,基因漂變,,基因漂变,104.11.09,2016-09-13
2698689,gene flow,基因流[動],,基因流动,104.11.09,2016-09-13
2698690,gene frequency,基因頻率,,基因频率,104.11.09,2016-09-13
2698691,gene pool,基因池,,基因库,104.11.09,2016-09-13
2698692,genecology,基因生態學；遺傳生態學,,遗传生态学；物种生态学； 种群生态学,104.11.09,2016-09-13
2698693,General Circulation Model{=GCM},大氣環流模型[式],,大气环流模型,104.11.09,2016-09-13
2698694,generalist,廣適者,,泛化种；广幅种,104.11.09,2016-09-13
2698695,generation,世代,,世代,104.11.09,2016-09-13
2698696,generation time,世代時間,,世代时间,104.11.09,2016-09-13
2698697,genet,基株,,"基元,基株；无性单株",104.11.09,2016-09-13
2698698,genetic code,遺傳密碼,,遗传密码,104.11.09,2016-09-13
2698699,genetic control,遺傳控制,,遗传防治,104.11.09,2016-09-13
2698700,genetic differentiation coefficient,遺傳分化係數,,遗传分化系数,104.11.09,2016-09-13
2698701,genetic dimorphism,遺傳雙型,,遗传二态性,104.11.09,2016-09-13
2698702,genetic distance,遺傳距離,,遗传距离,104.11.09,2016-09-13
2698703,genetic diversity,基因多樣性；遺傳多樣性,,遗传多样性；基因多样性,104.11.09,2016-09-13
2698704,genetic diversity index,遺傳多樣性指數,,遗传多样性指数,104.11.09,2016-09-13
2698705,genetic drift,基因漂變；遺傳漂變,,遗传漂变；基因漂变；遗传漂浮；遗传播迁,104.11.09,2016-09-13
2698706,genetic ecology,遺傳生態學,,遗传生态学；基因生态学(genecology),104.11.09,2016-09-13
2698707,genetic erosion,遺傳侵蝕,,"遗传冲刷,遗传侵蚀",104.11.09,2016-09-13
2698708,genetic feedback mechanism,遺傳回饋機制,,遗传回馈机制,104.11.09,2016-09-13
2698709,genetic homoeostasis,遺傳恆定,,遗传稳态,104.11.09,2016-09-13
2698710,genetic identity,遺傳身份,,遗传一致度,104.11.09,2016-09-13
2698711,genetic load,遺傳負載,,遗传负荷,104.11.09,2016-09-13
2698712,genetic marker,遺傳標記,,遗传标记,104.11.09,2016-09-13
2698713,genetic mosaic,遺傳鑲嵌,,遗传镶嵌,104.11.09,2016-09-13
2698714,genetic polymorphism,遺傳多態型,,遗传多态性,104.11.09,2016-09-13
2698715,genetic predisposition,遺傳預先[設]傾向性,,遗传预先倾向性,104.11.09,2016-09-13
2698716,genetic structure,遺傳結構,,遗传结构,104.11.09,2016-09-13
2698717,genetic swamping,遺傳淹沒,,遗传湮没,104.11.09,2016-09-13
2698718,genetic transmission,遺傳傳遞,,遗传传递,104.11.09,2016-09-13
2698719,genetic variation,遺傳變異,,遗传变异,104.11.09,2016-09-13
2698720,genetically modified organism{=GMO},基改生物,,遗传修饰生物体,104.11.09,2016-09-13
2698721,genodeme,遺傳亞族群；基因亞族群,,遗传同类群,104.11.09,2016-09-13
2698722,genoecodeme,基因生態同類群,,基因生态同类群,104.11.09,2016-09-13
2698723,genotoxicity,遺傳毒性,,"生殖毒性,遗传毒性",104.11.09,2016-09-13
2698724,genotype,基因型,,基因型,104.11.09,2016-09-13
2698725,genotypic adaptation,基因型適應,,基因型适应,104.11.09,2016-09-13
2698726,geobiont,土壤生物,,土壤生物,104.11.09,2016-09-13
2698727,geobotanical zone,地植物學帶,,地植物学带,104.11.09,2016-09-13
2698728,geobotany,地植物學,,植物群落学；地植物学,104.11.09,2016-09-13
2698729,geochemical cycle,地球化學循環,,地球化学循环,104.11.09,2016-09-13
2698730,geochronology,地質年代學,,地质年代学,104.11.09,2016-09-13
2698731,geoecotype,地理生態型,,地理生态型,104.11.09,2016-09-13
2698732,geographic area,地理區域,,地理区域,104.11.09,2016-09-13
2698733,geographic isolation,地理隔離,,地理隔离,104.11.09,2016-09-13
2698734,geographic race,地理[種]族,,地理宗,104.11.09,2016-09-13
2698735,geographic range,地理分佈範圍,,地理分布区,104.11.09,2016-09-13
2698736,geographic succession,地理性演替；地理性消長,,地理演替,104.11.09,2016-09-13
2698737,geographical approach process analysis{=GAP analysis},GAP分析；地理取向過程分析,,空隙分析,104.11.09,2016-09-13
2698738,geographical distribution,地理分佈,,地理分布,104.11.09,2016-09-13
2698739,geographical variant of association,群叢地理變異,,群丛地理变异,104.11.09,2016-09-13
2698740,geographical variation,地理性變異,,地理变异,104.11.09,2016-09-13
2698741,geological cycle,地質循環,,地质循环,104.11.09,2016-09-13
2698742,geological process,地質過程,,地质过程,104.11.09,2016-09-13
2698743,geological succession,岩層演育{地質學}；地質演替{達爾文},,地质性演替,104.11.09,2016-09-13
2698744,geometric distribution,幾何分佈,,几何分布,104.11.09,2016-09-13
2698745,geometric growth,幾何級數增長,,几何级数增长,104.11.09,2016-09-13
2698746,geometric mean,幾何平均,,几何平均,104.11.09,2016-09-13
2698747,geometric rate of increase,幾何增加率；幾何增長率,,几何增长率,104.11.09,2016-09-13
2698748,geopark,地質公園,,地质公园,104.11.09,2016-09-13
2698749,geophyta bulbosa,鱗莖地下芽植物,,鳞茎地下芽植物,104.11.09,2016-09-13
2698750,geophyta rhyzomatosa,根莖地下芽植物,,根茎地下芽植物,104.11.09,2016-09-13
2698751,geophyte,地下芽植物,,地下芽植物,104.11.09,2016-09-13
2698752,germination,萌芽；萌發；發芽,,萌发；发芽,104.11.09,2016-09-13
2698753,girdling,環剝：環狀剝皮,,环割,104.11.09,2016-09-13
2698754,glacial deposit,冰磧物,,冰川沉积物,104.11.09,2016-09-13
2698755,glacial erosion,冰河侵蝕,,冰蚀作用,104.11.09,2016-09-13
2698756,glacial flora,冰河植物相,,冰川植物区系,104.11.09,2016-09-13
2698757,glacial lake,冰蝕湖,,冰川湖,104.11.09,2016-09-13
2698758,glacial landform,冰河地貌,,冰川地貌,104.11.09,2016-09-13
2698759,glacial moraine,冰磧石,,冰期,104.11.09,2016-09-13
2698760,glacial period,冰期,,冰期孑遗植物区系；冰期残存植物区系,104.11.09,2016-09-13
2698761,glacial relic flora,冰期孑遺植物相,,冰期孑遗；冰期残遗,104.11.09,2016-09-13
2698762,glacial stage,冰期之時段,,冰期,104.11.09,2016-09-13
2698763,glaciation,冰河作用,,冰川作用,104.11.09,2016-09-13
2698764,glacier,冰河,,冰川,104.11.09,2016-09-13
2698765,glaze,雨淞,,雨凇,104.11.09,2016-09-13
2698766,gleization,灰黏化作用；潛育作用,,潜育作用,104.11.09,2016-09-13
2698767,Global Biodiversity Information Facility{=GBIF},全球生物多樣性資訊機構,,全球生物多样性信息机构,104.11.09,2016-09-13
2698768,global ecology,全球生態學,,"全球生态学,生物圈生态学(biosphere ecology)",104.11.09,2016-09-13
2698769,Global Environmental Facilities{=GEF},全球環境機構,,全球环境机构,104.11.09,2016-09-13
2698770,global stability,全球穩定性,,全局稳定性,104.11.09,2016-09-13
2698771,global warming,全球暖化,,全球变暖,104.11.09,2016-09-13
2698772,Gloger's rule,格婁傑定則；哥勞傑規則,,格娄杰定则；哥劳杰规则,104.11.09,2016-09-13
2698773,Gompertz curve,岡波茨曲線,,冈泊茨曲线,104.11.09,2016-09-13
2698774,gonad,性腺；生殖腺,,生殖器官,104.11.09,2016-09-13
2698775,Gondwana,岡瓦納古陸,,冈瓦讷古陆,104.11.09,2016-09-13
2698776,gradient,梯度,,梯度,104.11.09,2016-09-13
2698777,gradient analysis,梯度分析,,梯度分析,104.11.09,2016-09-13
2698778,grain,細微性；顆粒；粒,,粒度,104.11.09,2016-09-13
2698779,graminivorous,食禾草性,,食禾草性,104.11.09,2016-09-13
2698780,grandlure,棉象甲性誘劑,,棉象甲性诱剂,104.11.09,2016-09-13
2698781,grass fen,非酸沼；蘆葦沼,,湿草原,104.11.09,2016-09-13
2698782,grass moor,禾草沼,,禾草沼泽,104.11.09,2016-09-13
2698783,grass savanna,疏林草原；禾草草原,,禾草草原,104.11.09,2016-09-13
2698784,grass tundra,禾草凍原,,禾草冻原,104.11.09,2016-09-13
2698785,grassland climate,草原氣候,,草原气候,104.11.09,2016-09-13
2698786,grassland ecology,草原生態學,,草地生态学,104.11.09,2016-09-13
2698787,grassland ecosystem,草原生態系,,草原生态系统,104.11.09,2016-09-13
2698788,grassland improvement,草原改良,,草原改良,104.11.09,2016-09-13
2698789,grassland indicator,草原指標植物,,草原指示植物,104.11.09,2016-09-13
2698790,grassland management,草原管理；草原經營,,草原管理,104.11.09,2016-09-13
2698791,grasslike plant,似禾草植物,,似禾草植物,104.11.09,2016-09-13
2698792,gravel,礫石,,砾石,104.11.09,2016-09-13
2698793,gravel culture,礫耕栽培,,砂砾培养,104.11.09,2016-09-13
2698794,gravitational water,重力水,,重力水,104.11.09,2016-09-13
2698795,gravity dam,重力壩,,重力坝,104.11.09,2016-09-13
2698796,gray-brown podzolic soil,灰棕〔灰〕壤,,灰棕色灰化土,104.11.09,2016-09-13
2698797,grazers,刮食者；草食性動物,,刮食者；草食性动物,104.11.09,2016-09-13
2698798,grazing,啃食；刮食{海洋}；放牧,,食草(放牧),104.11.09,2016-09-13
2698799,grazing animal,食草動物,,放牧牲畜；食草动物,104.11.09,2016-09-13
2698800,grazing capacity,牧養量；啃養量,,放牧容量,104.11.09,2016-09-13
2698801,grazing ecology,放牧生態學{畜牧學},,放牧生态学,104.11.09,2016-09-13
2698802,grazing facilitation,啃食促進,,放牧促进,104.11.09,2016-09-13
2698803,grazing food chain,刮食食物鏈；啃食食物鏈,,牧食食物链；捕食食物链(predatory food chain),104.11.09,2016-09-13
2698804,grazing forest,放牧林{畜牧學},,放牧林,104.11.09,2016-09-13
2698805,grazing height,啃食高度,,摄食高度,104.11.09,2016-09-13
2698806,grazing herbivore,啃食性草食動物,,放牧食草动物,104.11.09,2016-09-13
2698807,grazing indicator,放牧地指標生物,,放牧地指示生物,104.11.09,2016-09-13
2698808,grazing preference,啃食偏好性,,草食偏好性,104.11.09,2016-09-13
2698809,grazing rate,啃食率,,摄食率,104.11.09,2016-09-13
2698810,grazing system,啃食系統；放牧系統{畜牧學},,放牧系统,104.11.09,2016-09-13
2698811,great ice age,大冰河期,,大冰河期,104.11.09,2016-09-13
2698812,green beard effect,綠鬍鬚效應,,绿胡须效应,104.11.09,2016-09-13
2698813,green chemical industry,綠色化工產業,,绿色化工；环境友好化工(environmental friendly chemical industry),104.11.09,2016-09-13
2698814,green civilization,綠色文明,,绿色文明,104.11.09,2016-09-13
2698815,green energy,綠色能源,,绿色能源,104.11.09,2016-09-13
2698816,green fodder,青秣料,,青饲料,104.11.09,2016-09-13
2698817,green food,綠色食品,,绿色食品,104.11.09,2016-09-13
2698818,green gross domestic product{=green GDP},綠色國內生產毛額；綠色GDP,,绿色国内生产总值；绿色GDP,104.11.09,2016-09-13
2698819,green manure,綠肥,,绿肥,104.11.09,2016-09-13
2698820,green manure crop,綠肥作物,,绿肥作物,104.11.09,2016-09-13
2698821,green revolution,綠色革命,,绿色革命,104.11.09,2016-09-13
2698822,greenhouse ecosystem,溫室生態系,,温室生态系统,104.11.09,2016-09-13
2698823,greenhouse effect,溫室效應,,温室效应,104.11.09,2016-09-13
2698824,greenhouse gas{=GHG},溫室氣體,,温室气体,104.11.09,2016-09-13
2698825,Greenland ice core,格陵蘭冰芯,,格陵兰冰芯,104.11.09,2016-09-13
2698826,gregaria phase,群居相,,群居相,104.11.09,2016-09-13
2698827,gregarious parasitism,群聚寄生,,群居寄生,104.11.09,2016-09-13
2698828,grid cell,網格單元；網格單位,,栅格像元,104.11.09,2016-09-13
2698829,grid sampling,圖點取樣；方格取樣,,方格取样,104.11.09,2016-09-13
2698830,grid system,網格[圖]系統,,网格系统,104.11.09,2016-09-13
2698831,grooming,梳理,,梳理,104.11.09,2016-09-13
2698832,gross photosynthesis,總光合作用量,,总光能合成；总光合作用量,104.11.09,2016-09-13
2698833,gross primary production{=GPP},總初級生產量,,"总基础生产量；基础生产总量,总初级生产力",104.11.09,2016-09-13
2698834,gross primary productivity,總初級生產力；總基礎生產力,,总初级总产量；总(组)初级生产力,104.11.09,2016-09-13
2698835,gross production,總生產量,,总生产量,104.11.09,2016-09-13
2698836,gross production efficiency,總生產效率,,总生产效率,104.11.09,2016-09-13
2698837,gross production rate,總生產率,,总产率,104.11.09,2016-09-13
2698838,gross reproductive rate,總生殖率,,总生殖率,104.11.09,2016-09-13
2698839,gross secondary production,總次級生產量,,总次级生产量；总第二性生产量,104.11.09,2016-09-13
2698840,ground cover,地被植物,,地被物,104.11.09,2016-09-13
2698841,ground state; base state,基態,,基[础]态,104.11.09,2016-09-13
2698842,ground vegetation,地表植被,,地面植被；活地被物层,104.11.09,2016-09-13
2698843,ground water,地下水,,地下水,104.11.09,2016-09-13
2698844,ground water podsol soil,潛水灰壤,,潜水灰壤,104.11.09,2016-09-13
2698845,ground water runoff,地下逕流,,地下水径流,104.11.09,2016-09-13
2698846,ground water table,地下水位,,地下水位,104.11.09,2016-09-13
2698847,groundwater pollution,地下水汙染,,地下水污染,104.11.09,2016-09-13
2698848,group defense,集體防禦,,集体防御；结群防卫,104.11.09,2016-09-13
2698849,group hunting,團體狩獵,,群体狩猎,104.11.09,2016-09-13
2698850,group recruitment,群體補充,,群体征召,104.11.09,2016-09-13
2698851,group selection,群擇；群體選擇,,群择；群体选择,104.11.09,2016-09-13
2698852,growing period,生長期,,生长期,104.11.09,2016-09-13
2698853,growing season,生長季,,生长季,104.11.09,2016-09-13
2698854,growing stock,立木蓄積,,立木蓄积量,104.11.09,2016-09-13
2698855,growth analysis,生長分析,,生长分析,104.11.09,2016-09-13
2698856,growth cabinet,人工生長箱,,人工生长箱,104.11.09,2016-09-13
2698857,growth chamber,人工生長箱,,人工生长箱,104.11.09,2016-09-13
2698858,growth curve,生長曲線；成長曲線,,生长曲线,104.11.09,2016-09-13
2698859,growth efficiency,生長效率,,生长效率；生产效率(production efficiency),104.11.09,2016-09-13
2698860,growth factor,生長因數,,生长因子,104.11.09,2016-09-13
2698861,growth form,生長型,,生长型,104.11.09,2016-09-13
2698862,growth habit,生長習性,,生长习性,104.11.09,2016-09-13
2698863,growth period,生長期,,生长期,104.11.09,2016-09-13
2698864,growth rate,生長率；成長率,,生长率,104.11.09,2016-09-13
2698865,growth ring,生長輪,,生长轮,104.11.09,2016-09-13
2698866,guano,鳥糞,,海鸟粪；海鸟粉,104.11.09,2016-09-13
2698867,guild,同功群,,依赖植物集团；社团,104.11.09,2016-09-13
2698868,gully erosion,溝蝕,,切沟侵蚀,104.11.09,2016-09-13
2698869,guttation,泌溢[現象],,泌水作用；吐水现象；泌溢[现象],104.11.09,2016-09-13
2698870,gyre,環流；渦流；大洋環流,,涡流,104.11.09,2016-09-13
2698871,habit,習性,,习性,104.11.09,2016-09-13
2698872,habitat,棲地,,栖地；栖所；生育地,104.11.09,2016-09-13
2698873,habitat diversity,棲地多樣性；生境多樣性,,栖所多样性；生境多样性,104.11.09,2016-09-13
2698874,habitat fragmentation,棲地碎裂,,生境破碎,104.11.09,2016-09-13
2698875,habitat island,孤立棲地；棲地島,,孤立栖所,104.11.09,2016-09-13
2698876,habitat isolation,棲地隔離,,栖所隔离；栖地隔离,104.11.09,2016-09-13
2698877,habitat matrix,棲地基質；棲地基底,,栖息地基质,104.11.09,2016-09-13
2698878,habitat niche,棲地生態[區]位,,生境生态位,104.11.09,2016-09-13
2698879,habitat patch,棲地嵌塊；棲地區塊,,栖息地斑块,104.11.09,2016-09-13
2698880,habitat preference,棲地偏好,,生境偏爱；生境适应性,104.11.09,2016-09-13
2698881,habitat segregation,棲地分離,,生境分离,104.11.09,2016-09-13
2698882,habitat selection,棲地選擇,,栖所选择；生境选择,104.11.09,2016-09-13
2698883,habitat suitability index{=HIS},棲地適宜性指數,,生境适宜度指数,104.11.09,2016-09-13
2698884,habituation,習慣化,,"习惯性；习惯化;驯化,适应",104.11.09,2016-09-13
2698885,hadal fauna,超深淵動物相,,超深渊动物相,104.11.09,2016-09-13
2698886,hadal zone,超深淵區,,深海带(5999米以下)；深渊区；深渊带,104.11.09,2016-09-13
2698887,hadalpelagic,超深淵帶,,超深渊带,104.11.09,2016-09-13
2698888,hadopelagic zone,超深淵水層帶,,超深渊水层带,104.11.09,2016-09-13
2698889,half-desert,半沙漠,,半沙漠,104.11.09,2016-09-13
2698890,half-shrub,半灌木,,半灌木,104.11.09,2016-09-13
2698891,Haloarchaea; Halobacteria,嗜鹽菌綱,,嗜盐细菌；盐生性细菌,104.11.09,2016-09-13
2698892,Halobacteria; Halobacteria,嗜鹽菌綱,,嗜盐细菌；盐生性细菌,104.11.09,2016-09-13
2698893,halobion,鹽生生物,,海洋植物群落,104.11.09,2016-09-13
2698894,halobiont,鹽生生物,,盐生生物,104.11.09,2016-09-13
2698895,halobios,鹽生生物相,,盐生生物,104.11.09,2016-09-13
2698896,halocline layer,鹽躍層,,"盐跃层,盐变层",104.11.09,2016-09-13
2698897,haloplankton,鹹水浮游生物；鹽水浮游生物,,盐水浮游生物,104.11.09,2016-09-13
2698898,halosere,鹽生演替系列；鹽生消長系列,,盐生演替系列,104.11.09,2016-09-13
2698899,Hamilton's rule,漢彌頓[氏]法則,,汉米尔顿法则,104.11.09,2016-09-13
2698900,hammock forest,哈莫克林,,中生森林,104.11.09,2016-09-13
2698901,handicap principle,缺陷原則,,让步赛理论,104.11.09,2016-09-13
2698902,handling time,處理時間,,处理时间,104.11.09,2016-09-13
2698903,haplodiploidy,單倍兩倍性,,单倍两倍性,104.11.09,2016-09-13
2698904,haploid,單倍體,,单倍体,104.11.09,2016-09-13
2698905,haplotype,單倍[數][基因]型,,单倍型,104.11.09,2016-09-13
2698906,hard grass,硬性禾本科植物,,硬性禾本科植物,104.11.09,2016-09-13
2698907,hard release,硬釋放；硬式野放,,硬释放,104.11.09,2016-09-13
2698908,hard water,硬水,,硬水,104.11.09,2016-09-13
2698909,hard-cushion formation,硬墊群系,,硬垫群系,104.11.09,2016-09-13
