ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3249481,"Azesberger, Kurt    ",阿傑斯貝格,,1960-,奧地利,聲樂,男高音,2017-08-08
3249482,"Azevedo, Sérgio",阿傑維多,,1968-,葡萄牙,作曲,,2017-08-08
3249483,"Azopardi, Francesco",阿佐帕爾第,,1748-1809,馬爾他,作曲,,2017-08-08
3249484,"Babbitt, Milton",巴比特,,1916-2011,美國,作曲；薩克斯管,,2017-08-08
3249485,"Babell, William",巴貝爾,,1690-1723,英國,古鋼琴；小提琴,,2017-08-08
3249486,"Babin, Victor",巴賓,,1908-1972,美國,鋼琴,,2017-08-08
3249487,"Baca, Daniel Anthony",巴卡,,1977-,美國,作曲,,2017-08-08
3249488,"Baccaloni, Salvatore",巴卡洛尼,,1900-1969,義大利,聲樂,男低音,2017-08-08
3249489,"Bacewicz, Grazyna",巴采維琪,,1909-1969,波蘭,小提琴；作曲,,2017-08-08
3249490,"Bach, Carl Philipp Emanuel","巴赫,卡爾‧菲利普‧艾曼紐",,1714-1788,德國,作曲,,2017-08-08
3249491,"Bach, Jan","巴赫,楊",,1937-,美國,作曲,,2017-08-08
3249492,"Bach, Johann Christian","巴赫,約翰‧克里斯提安",,1735-1782,德國,作曲,,2017-08-08
3249493,"Bach, Johann Christoph Friedrich","巴赫,約翰‧克利斯托夫‧弗里德利希",,1732-1795,德國,作曲,,2017-08-08
3249494,"Bach, Johann Jakob","巴赫,約翰‧雅科伯",,1682-1722,德國,雙簧管,,2017-08-08
3249495,"Bach, Johann Sebastian","巴赫,約翰‧瑟巴斯提安",,1685-1750,德國,管風琴,,2017-08-08
3249496,"Bach, P.D.Q.","巴赫,P.D.Q.",,1742-1807,德國,作曲,,2017-08-08
3249497,"Bach, Vincent","巴赫,文森",,1890-1976,美國,小號；銅管樂器製造,,2017-08-08
3249498,"Bach, Wilhelm Friedemann","巴赫,威廉‧弗利德曼",,1710-1784,德國,作曲,,2017-08-08
3249499,"Bachauer, Gina",巴考爾,,1913-1976,希臘,鋼琴,,2017-08-08
3249500,"Bache, Walter",巴奇,,1842-1888,英國,鋼琴,,2017-08-08
3249501,"Bachelet, Alfred",巴許列,,1864-1944,法國,作曲,,2017-08-08
3249502,"Back(h)ofen, Johann Georg Heinrich",巴科芬,,1768-1839,德國,作曲,,2017-08-08
3249503,"Bäck, Sven-Erik",貝克,,1919-1994,瑞典,作曲,,2017-08-08
3249504,"Backer-Grøndahl, Agathe",巴克－葛倫達爾,,1847-1907,挪威,作曲,,2017-08-08
3249505,"Backhaus, Wilhelm",巴克豪斯,,1884-1969,德國,鋼琴,,2017-08-08
3249506,"Bacon, Ernst",貝肯,,1898-1990,美國,作曲；鋼琴；指揮,,2017-08-08
3249507,"Bacquier, Gabriel",巴基耶,,1924-,法國,男中音,,2017-08-08
3249508,"Badarczewska, Tekla",巴達婕芙絲卡,,1834-1861,波蘭,作曲,,2017-08-08
3249509,"Badia, Carlo Agostino",巴迪亞,,1672-1738,義大利,作曲,,2017-08-08
3249510,"Badings, Henk",巴定思,,1907-1987,荷蘭,作曲,,2017-08-08
3249511,"Badura-Skoda, Paul",巴杜拉－司科達,,1927-,奧地利,鋼琴,,2017-08-08
3249512,"Baer, Morris",巴爾莫里斯,,1868-1938,美國,作曲,,2017-08-08
3249513,"Bahr-Mildenburg[Mildenburgvon Bellschau], Anna",巴爾－米爾登伯格,,1872-1947,美國,聲樂,女高音,2017-08-08
3249514,"Bailey, Lilian","白利,麗蓮",,1860-1901,美國,聲樂,女高音,2017-08-08
3249515,"Bailey, Norman","白利,諾曼",,1933-,英國,聲樂,男中音,2017-08-08
3249516,"Baillie, Isobel","白莉,伊索貝爾",,1895-1983,英國（蘇格蘭）,聲樂,女高音,2017-08-08
3249517,"Baillot, Pierre",拜悠,,1771-1842,法國,小提琴；作曲,,2017-08-08
3249518,"Bailly, Louis",拜伊,,1882-1974,法國,中提琴,,2017-08-08
3249519,"Bainbridge, Simon",班布里奇,,1952-,英國,單簧管；作曲,,2017-08-08
3249520,"Baines, Anthony Cuthbert","貝恩斯,安東尼",,1912-1997,英國,音樂學,,2017-08-08
3249521,"Baines, William","貝恩斯,威廉",,1899-1922,英國,作曲,,2017-08-08
3249522,"Bainton, Edgar Leslie",貝恩頓,,1880-1956,英國,作曲,,2017-08-08
3249523,"Baird, Tadeusz",貝爾德,,1928-1981,波蘭,作曲,,2017-08-08
3249524,"Bairstow, Edward",貝爾斯妥,,1874-1946,英國,作曲,,2017-08-08
3249525,"Bajer, Jiri",巴耶爾,,1925-,捷克,雙簧管；音樂學,,2017-08-08
3249526,"Bakaleinikov, Vladimir","巴卡雷尼科夫,弗拉迪米爾",,1885-1953,美國,指揮；中提琴,俄國裔,2017-08-08
3249527,"Baker, Janet","貝克,珍妮特",,1933-,英國,聲樂,次女高音,2017-08-08
3249528,"Baker, Julius","貝克,朱利斯",,1915-2003,美國,長笛,,2017-08-08
3249529,"Baker, Theodore","貝克,狄奧多爾",,1851-1934,美國,音樂學,,2017-08-08
3249530,"Baksa, Robert",巴克薩,,1938-,美國,作曲,,2017-08-08
3249531,"Bakst, Ryszard",巴克斯特,,1926-1999,波蘭,鋼琴,,2017-08-08
3249532,"Balada, Leonardo",巴拉達,,1933-,西班牙,作曲,,2017-08-08
3249533,"Balakirev, Mily Alexeyevich",巴拉基列夫,,1837-1910,俄國,鋼琴；作曲,,2017-08-08
3249534,"Balanchivadze, Andry",巴蘭奇瓦茲,,1906-1992,俄國,作曲,,2017-08-08
3249535,"Balart, Gabriel",巴拉爾,,1824-1893,西班牙,小提琴；作曲,,2017-08-08
3249536,"Balbastre, Claude-Benigne",巴巴斯特爾,,1727-1799,法國,作曲,,2017-08-08
3249537,"Balbulus, Notker",巴布魯斯　,,840-912,瑞士,作曲,,2017-08-08
3249538,"Baldissera, Livio",巴爾迪瑟拉,,1947-,義大利,作曲,,2017-08-08
3249539,"Baldwin, Dalton",包德溫,,1931-,美國,鋼琴,,2017-08-08
3249540,"Balfe, Michael William",巴爾佛,,1808-1870,愛爾蘭,作曲,伴奏,2017-08-08
3249541,"Balkwill, Bryan",巴克威爾,,1922-2007,英國,指揮,歌劇,2017-08-08
3249542,"Ball, Derek","波爾,德瑞克",,1949-,英國,作曲,,2017-08-08
3249543,"Ball, Eric","波爾,艾瑞克",,1903-1989,英國,作曲；指揮,,2017-08-08
3249544,"Ball, Ernest R.","波爾,厄內斯特",,1878-1927,美國,通俗音樂,,2017-08-08
3249545,"Ball, Michael","波爾,麥可",,1946-,英國,作曲,,2017-08-08
3249546,"Ballif, Claude",巴利夫,,1924-2004,法國,作曲,,2017-08-08
3249547,"Balling, Michael",巴林,,1866-1925,德國,指揮,,2017-08-08
3249548,"Balmer, Luc",巴爾梅,,1898-1996,俄國,指揮；作曲,,2017-08-08
3249549,"Balsam, Artur",巴爾薩姆,,1906-1994,波蘭,鋼琴,,2017-08-08
3249550,"Bamberger, Carl",班貝格爾,,1902-1987,美國,指揮；教育,奧地利裔,2017-08-08
3249551,"Bamboschek, Giuseppe",班伯斯凱克,,1890-1969,義大利,指揮,,2017-08-08
3249552,"Bampton, Rose",班普頓,,1908-2007,美國,聲樂,女高音,2017-08-08
3249553,"Banchieri, Adriano",班凱利,,1568-1634,義大利,作曲,,2017-08-08
3249554,"Banfield, Raffaello de",班費爾德,,1922-2008,義大利,作曲,,2017-08-08
3249555,"Banjamin, George","班傑民,喬治",,1960-,英國,作曲,,2017-08-08
3249556,"Bank, Jacques",班克,,1943-,荷蘭,作曲,,2017-08-08
3249557,"Banks, Don",班克斯,,1923-1980,澳大利亞,長號；作曲,,2017-08-08
3249558,"Banshchikov, Gennady",班希奇科夫,,1943-,俄國,作曲,,2017-08-08
3249559,"Banti-Giorgi, Brigida",班蒂,,1757-1806,義大利,聲樂,女高音,2017-08-08
3249560,"Bantock, Granville",班托克,,1868-1946,英國,作曲,,2017-08-08
3249561,"Barati, George",巴拉悌,,1913-1996,匈牙利,作曲,,2017-08-08
3249562,"Baratta, María de",巴拉達,,1890-1978,薩爾瓦多,作曲,,2017-08-08
3249563,"Barber, Chris","巴伯,克里斯",,1930-,英國,爵士樂長號,,2017-08-08
3249564,"Barber, Samuel","巴伯,撒姆爾",,1910-1981,美國,作曲,,2017-08-08
3249565,"Barbieri, Fedora","巴爾別里,費朵拉",,1919-2003,義大利,聲樂,次女高音,2017-08-08
3249566,"Barbieri, Francisco","巴爾別里,弗朗西斯科",,1823-1894,西班牙,作曲,,2017-08-08
3249567,"Barbieri-Nini, Marianna",巴爾別里－妮妮,,1820-1887,義大利,聲樂,女高音,2017-08-08
3249568,"Barbirolli, Evelyn","巴比羅利,艾維林",,1911-2008,英國,雙簧管,,2017-08-08
3249569,"Barbirolli, John","巴比羅利,約翰",,1899-1970,英國,大提琴；指揮,,2017-08-08
3249570,"Barbosa, Antonio",巴爾伯薩,,1943-,巴西,鋼琴,,2017-08-08
3249571,"Barboteu, Georges",巴伯特,,1924-2006,法國,法國號,,2017-08-08
3249572,"Barce, Ramon",巴爾塞,,1928-2008,西班牙,作曲,,2017-08-08
3249573,"Barchan, Stephen Mark",巴成,,1982-,英國,作曲,,2017-08-08
3249574,"Bardi, Giovanni de'",巴爾迪,,1534-1612,義大利,作曲,,2017-08-08
3249575,"Bárdos, Lajos",巴多斯,,1899-1986,匈牙利,作曲,,2017-08-08
3249576,"Bardwell, William",巴德威爾,,1915-1994,英國,作曲,,2017-08-08
3249577,"Barenboim, Daniel",巴倫波因,,1942-,以色列,鋼琴；指揮,,2017-08-08
3249578,"Bargiel, Woldemar",巴爾基,,1828-1897,德國,作曲,,2017-08-08
3249579,"Bargielski, Zbigniew",巴格耶斯基,,1937-,波蘭,作曲,,2017-08-08
3249580,"Barie, Augustin",巴利,,1883-1915,法國,作曲,,2017-08-08
3249581,"Barker, John","巴克爾,約翰",,1931-,英國,指揮,,2017-08-08
3249582,"Barker, Warren","巴克爾,華倫",,1923-2006,美國,作曲,,2017-08-08
3249583,"Barletta, Alejandro",巴爾列達,,1925-2008,阿根廷,作曲,,2017-08-08
3249584,"Barlow, Alan","巴洛,艾倫",,1927-,美國,指揮,,2017-08-08
3249585,"Barlow, Clarence","巴洛,克拉倫斯",,1945-,印度,作曲,,2017-08-08
3249586,"Barlow, David","巴洛,大衛",,1927-1975,美國,作曲,,2017-08-08
3249587,"Barlow, Fred","巴洛,弗萊德",,1881-1951,法國,作曲,,2017-08-08
3249588,"Barlow, Howard","巴洛,霍華德",,1912-1972,美國,指揮,,2017-08-08
3249589,"Barlow, Samuel L.M.","巴洛,撒姆爾",,1892-1982,美國,作曲；鋼琴,,2017-08-08
3249590,"Barlow, Wayne","巴洛,韋恩",,1912-1996,美國,作曲,,2017-08-08
3249591,"Barmann, Carl","巴爾曼,卡爾",,1811-1885,德國,單簧管；作曲,,2017-08-08
3249592,"Bärmann, Heinrich","貝爾曼,海因利希",,1784-1847,德國,單簧管,,2017-08-08
3249593,"Barnabé, Arrigo",巴納貝,,1951-,巴西,作曲,,2017-08-08
3249594,"Barnard, Keith",巴納德,,1950-,英國,作曲,,2017-08-08
3249595,"Barnby, Joseph",班比,,1838-1896,英國,作曲；指揮；管風琴,,2017-08-08
3249596,"Barnett, John Francis","巴內特,約翰‧弗朗西斯",,1837-1916,英國,作曲；鋼琴,,2017-08-08
3249597,"Barnett, John Manley","巴內特,約翰,曼利",,1917-2013,美國,指揮,,2017-08-08
3249598,"Barns, Ethel",班絲,,1880-1948,英國,作曲；小提琴,,2017-08-08
3249599,"Baron, Samuel",巴倫,,1925-1997,美國,長笛；指揮,,2017-08-08
3249600,"Barraine, Elsa",巴瑞內,,1910-1999,法國,作曲,,2017-08-08
3249601,"Barraqué, Jean",巴拉凱,,1928-1973,法國,作曲,,2017-08-08
3249602,"Barraud, Henry",巴洛,,1900-1997,法國,作曲,,2017-08-08
3249603,"Barrere, Georges",巴瑞爾,,1876-1944,美國,長笛,法裔,2017-08-08
3249604,"Barrientos, Maria",巴蓮多絲,,1883-1946,西班牙,聲樂,花腔女高音,2017-08-08
3249605,"Barrington, Rutland",巴林頓,,1853-1922,英國,聲樂,男低音,2017-08-08
3249606,"Barrios Mangoré, Augustín","巴里歐斯,奧古斯丁",,1885-1944,巴拉圭,吉他；作曲,,2017-08-08
3249607,"Barrios, Angel","巴里歐斯,安赫爾",,1882-1964,西班牙,作曲；吉它；小提琴,,2017-08-08
3249608,"Barry, Gerald","白瑞,傑拉德",,1952-,愛爾蘭,作曲,,2017-08-08
3249609,"Barry, John","白瑞,約翰",,1933-2011,英國,作曲,,2017-08-08
3249610,"Barsanti, Francesco",巴爾桑悌,,1690-1760,義大利,長笛；雙簧管,,2017-08-08
3249611,"Barshai, Rudolf Borisovich",巴夏,,1924-2010,俄國,小提琴；指揮,,2017-08-08
3249612,"Barsova, Valeriya Vladimirovna",巴爾索娃,,1892-1967,俄國,聲樂,女高音,2017-08-08
3249613,"Barstow, Josephine",巴絲桃,,1940-,英國,聲樂,女高音,2017-08-08
3249614,"Barth, Christian Samuel","巴爾特,克里斯坦薩姆爾",,1735-1809,德國,雙簧管,,2017-08-08
3249615,"Barth, Hans","巴爾特,漢斯",,1897-1956,德國,鋼琴；作曲,,2017-08-08
3249616,"Barth, Richard","巴爾特,理查",,1850-1923,德國,小提琴,,2017-08-08
3249617,"Barthelemon, Francois-Hippolyte",巴特勒蒙,,1741-1808,法國,小提琴；作曲,,2017-08-08
3249618,"Bartlett, Ethel",巴特莉特,,1896-1978,英國,鋼琴,,2017-08-08
3249619,"Bartók, Béla",巴爾托克,,1881-1945,匈牙利,作曲；鋼琴,,2017-08-08
3249620,"Bartoletti, Bruno",巴爾托雷第,,1926-2013,義大利,指揮,,2017-08-08
3249621,"Bartolomeo, Campagnoli",康帕紐利,,1751-1827,義大利,小提琴；指揮；作曲,,2017-08-08
3249622,"Bartolozzi, Bruno",巴爾托洛齊,,1911-1980,義大利,小提琴；作曲,,2017-08-08
3249623,"Barwahser, Hubert",巴爾瓦瑟,,1906-2005,荷蘭,長笛,,2017-08-08
3249624,"Barylli, Walter",巴瑞利,,1921-,奧地利,小提琴,,2017-08-08
3249625,"Barzin, Leon",巴爾贊,,1900-1999,美國,指揮,比利時裔,2017-08-08
3249626,"Barzun, Jacques",巴爾贊,,1907-2012,美國,音樂史,,2017-08-08
3249627,"Basegmezler, Nejat",巴瑟梅茲勒,,1950-,土耳其,作曲,法裔,2017-08-08
3249628,"Bass, Randol Alan",巴斯,,1953-,美國,作曲,,2017-08-08
3249629,"Bassani, Giovanni Battista",巴薩尼,,1657-1716,義大利,小提琴；作曲,,2017-08-08
3249630,"Bassi, Carolina","巴錫,卡洛琳娜",,1781-1862,義大利,聲樂,女低音,2017-08-08
3249631,"Bassi, Luigi","巴錫,路易吉",,1766-1825,義大利,聲樂,男中音,2017-08-08
3249632,"Bastianini, Ettore",巴斯提阿尼尼,,1922-1967,義大利,聲樂,男中音,2017-08-08
3249633,"Bate, Stanley",貝特,,1913-1959,英國,作曲；鋼琴,,2017-08-08
3249634,"Bath, Hubert",巴茲,,1883-1945,英國,作曲,,2017-08-08
3249635,"Báthory-Kitsz, Dennis",巴托利奇茲,,1949-,美國,作曲,,2017-08-08
3249636,"Batiste, Antoine",巴悌斯特,,1820-1876,法國,管風琴；作曲,,2017-08-08
3249637,"Batka, Richard",巴特卡,,1868-1922,捷克,音樂學,,2017-08-08
3249638,"Batterham, Andrew",巴特罕,,1968-,澳大利亞,作曲,,2017-08-08
3249639,"Battishill, Jonathan",巴替希爾,,1738-1801,英國,管風琴,,2017-08-08
3249640,"Battistini, Mattia",巴提斯替尼,,1856-1928,義大利,聲樂,男中音,2017-08-08
3249641,"Batton, Desire-Alexandre",巴通,,1798-1855,法國,作曲,,2017-08-08
3249642,"Baudo, Serge",玻多,,1927-,法國,指揮,,2017-08-08
3249643,"Baudrier, Yves",玻德里耶,,1906-1988,法國,作曲,,2017-08-08
3249644,"Bauer, Harold","包爾,哈洛德",,1873-1951,英國,鋼琴,,2017-08-08
3249645,"Bauer, Marion","包爾,瑪蓉",,1887-1955,美國,作曲；著作,,2017-08-08
3249646,"Bauld, Alison",包爾德,,1944-,澳大利亞,作曲,,2017-08-08
3249647,"Baumann, Herman",包曼,,1934-,德國,圓號；法國號,,2017-08-08
3249648,"Baur, Jurg",鮑爾,,1918-2010,德國,作曲,,2017-08-08
3249649,"Bautista, Julian",包迪斯達,,1901-1961,西班牙,作曲,,2017-08-08
3249650,"Bax, Arnold",巴克斯,,1883-1953,英國,作曲,,2017-08-08
3249651,"Bayle, François",貝勒,,1932-,法國,作曲,,2017-08-08
3249652,"Bayliss, Colin",貝利斯,,1948-,英國,作曲,,2017-08-08
3249653,"Bazelon, Irwin",貝茲隆,,1922-1995,美國,作曲,,2017-08-08
3249654,"Bazzini, Antonio",巴齊尼,,1818-1897,義大利,小提琴；作曲,,2017-08-08
3249655,"Beach, Amy Marcy Cheney",畢琦,,1867-1944,美國,鋼琴；作曲,,2017-08-08
3249656,"Beach, John Parsons",畢奇,,1877-1953,美國,作曲,,2017-08-08
3249657,"Beamish, Sally",畢蜜希,,1956-,英國,作曲,,2017-08-08
3249658,"Bean, Hugh",畢安,,1929-2003,英國,小提琴,,2017-08-08
3249659,"Beard, John","比爾德,約翰",,1717-1791,英國,男高音,,2017-08-08
3249660,"Beard, Paul","比爾德,保羅",,1901-1989,英國,小提琴,,2017-08-08
3249661,"Bechet, Sidney",比切特,,1897-1959,美國,爵士樂薩氏管,,2017-08-08
3249662,"Beck, Conrad","貝克,康拉德",,1901-1989,瑞士,作曲,,2017-08-08
3249663,"Beck, Franz Ignaz","貝克,弗朗茲",,1734-1809,德國,作曲,,2017-08-08
3249664,"Beck, Hermann","貝克,赫爾曼",,1929-,德國,音樂學,,2017-08-08
3249665,"Beck, Johann H.","貝克,約翰",,1856-1924,美國,作曲；指揮；小提琴,,2017-08-08
3249666,"Beck, Karl","貝克,卡爾",,1814-1879,奧地利,聲樂,男高音,2017-08-08
3249667,"Becker, Günther Hugo","貝克爾,根特",,1924-2007,德國,作曲,,2017-08-08
3249668,"Becker, Hugo","貝克爾,胡果",,1863-1941,德國,大提琴,,2017-08-08
3249669,"Becker, John Joseph","貝克爾,約翰",,1886-1961,美國,作曲,,2017-08-08
3249670,"Becker, Reinhold","貝克爾,萊因厚德",,1842-1924,德國,作曲；小提琴；指揮,,2017-08-08
3249671,"Beckett, Brian","貝克特,布萊恩",,1950-,愛爾蘭,作曲,,2017-08-08
3249672,"Beckett, Walter","貝克特,華爾特",,1914-1996,愛爾蘭,作曲,,2017-08-08
3249673,"Beckmann[Reed], Judith",貝克曼[里德],,1935-,美國,聲樂,女高音　,2017-08-08
3249674,"Beckwith, John",貝克維思,,1927-,加拿大,作曲；鋼琴,,2017-08-08
3249675,"Bedford, David","貝德福特,大衛",,1937-2011,英國,作曲,,2017-08-08
3249676,"Bedford, Herbert","貝德福特,赫伯特",,1867-1945,英國,作曲,,2017-08-08
3249677,"Bedford, Luke",貝德福特，路克,,1978-,英國,作曲,,2017-08-08
3249678,"Bedford, Steuart","貝德福特,史都華",,1939-,英國,指揮；鋼琴,,2017-08-08
3249679,"Beecham, Thomas",畢勤,,1879-1961,英國,指揮,,2017-08-08
3249680,"Beecke, Ignaz von",貝可,,1733-1803,德國,作曲,,2017-08-08
3249681,"Beeckmans, Laurent",貝克曼斯,,1967-,比利時,作曲,,2017-08-08
3249682,"Beeson, Jack",畢森,,1921-2010,美國,作曲,,2017-08-08
3249683,"Beethoven, Ludwig van",貝多芬,,1770-1827,德國,作曲,,2017-08-08
3249684,"Beets, Sonja",畢慈,,1953-,荷蘭,作曲,,2017-08-08
3249685,"Beglarian, Grant",貝格拉里安,,1927-,美國,作曲,,2017-08-08
3249686,"Behrend, Arthur Henry",貝倫德,,1854-1936,美國,作曲,俄裔,2017-08-08
3249687,"Behrens, Hildegard",貝倫絲,,1937-2009,德國,聲樂,女高音,2017-08-08
3249688,"Beiderbecke, Bix",貝德貝克,,1903-1931,美國,小號；作曲,,2017-08-08
3249689,"Beier, Franz",拜耶爾,,1857-1914,德國,作曲,,2017-08-08
3249690,"Beinum, Eduard van",范 拜農,,1901-1959,荷蘭,指揮,,2018-05-31
3249691,Bekku Sadao,別宮貞雄,,1922- 2012,日本,作曲,,2017-08-08
3249692,"Belaubre, Louis-Noël",玻勒伯爾,,1932-,法國,作曲,,2017-08-08
3249693,"Belcastro, Luca",貝爾卡斯特羅,,1964-,義大利,作曲,,2017-08-08
3249694,"Belcke, Christian Gottlieb","貝爾凱,克里斯提安",,1796-1875,德國,長笛,,2017-08-08
3249695,"Belcke, Friedrich August","貝爾克,弗里德利希‧奧古斯特",,1795-1874,德國,作曲；長號,,2017-08-08
3249696,"Belden, George R.",貝爾登,,1939-,美國,作曲,,2017-08-08
3249697,"Belelieu, Jonathan",貝勒柳,,1984-,加拿大,作曲,,2017-08-08
3249698,"Beliaev, Andrei",比利耶夫,,1979-,白俄羅斯,作曲,,2017-08-08
3249699,"Bell, Derek F.","貝爾,德瑞克",,1935-2002,北愛爾蘭,作曲,,2017-08-08
3249700,"Bell, William Henry","貝爾,威廉",,1873-1946,英國,作曲,,2017-08-08
3249701,"Bellaigue, Camille",貝列格,,1858-1930,法國,樂評,,2017-08-08
3249702,"Belletti, Giovanni Battista",貝雷悌,,1813-1890,義大利,聲樂,男中音,2017-08-08
3249703,"Bellezza, Vincenzo",貝雷查,,1888-1964,義大利,指揮,,2017-08-08
3249704,"Bellincioni, Gemma[Cesira Matilde]",貝琳裘妮,,1864-1950,義大利,聲樂,女高音,2017-08-08
3249705,"Bellini, Vincenzo",貝利尼,,1801-1835,義大利,作曲,,2017-08-08
3249706,"Bellman, Carl Michael",貝爾曼,,1740-1795,瑞典,作曲,,2017-08-08
3249707,"Belloc, Enrique",貝悠,,1936-,阿根廷,作曲,,2017-08-08
3249708,"Belloni, Luca",貝羅尼,,1969-,義大利,作曲,,2017-08-08
3249709,Belohlavek Jiří,貝洛哈維克,,1946-,捷克,指揮,,2017-08-08
3249710,"Bemberg, Hemann-Emmanuel",班貝格,,1859-1931,法國,作曲,,2017-08-08
3249711,"Ben-Haim, Paul",本海姆,,1897-1984,以色列,作曲；指揮,,2017-08-08
3249712,"Benda, Jiří Antonín",邊達,,1722-1795,捷克,作曲,,2017-08-08
3249713,"Bender, Paul",班德爾,,1875-1947,德國,聲樂,男低音,2017-08-08
3249714,"Bendix, Victor",班迪克斯,,1851-1926,丹麥,指揮；作曲,,2017-08-08
3249715,"Bendl, Karl",班鐸,,1838-1897,捷克,作曲,,2017-08-08
3249716,"Benedict, Julius",貝乃迪克特,,1804-1885,英國,作曲；指揮,德裔,2017-08-08
3249717,"Benelli, Ugo",貝內利,,1935-,義大利,男高音,,2017-08-08
3249718,"Benjamin, Arthur","班傑明,阿瑟",,1893-1960,澳大利亞,作曲,,2017-08-08
3249719,"Benjamin, George","班傑明,喬治",,1960-,英國,作曲,,2017-08-08
3249720,"Benjamin, Tim",班傑明，提姆,,1975-,英國,作曲,,2017-08-08
3249721,"Bennett, Ed",班內特，艾德,,1975-,北愛爾蘭,作曲,,2017-08-08
3249722,"Bennett, Joseph","班內特,約瑟夫",,1831-1911,英國,管風琴,,2017-08-08
3249723,"Bennett, Joseph","班內特,約瑟夫",,1831-1911,英國,音樂著作,,2017-08-08
3249724,"Bennett, Richard Rodney","班內特,理查",,1936-2012,英國,作曲；鋼琴,,2017-08-08
3249725,"Bennett, Robert Russell","班內特,羅伯特",,1894-1981,美國,作曲,,2017-08-08
3249726,"Bennett, William Sterndale","班內特,威廉‧史坦岱爾",,1816-1875,英國,鋼琴；作曲,,2017-08-08
3249727,"Benoist, François",伯諾瓦司特,,1794-1878,法國,作曲；管風琴,,2017-08-08
3249728,"Benoit, Peter",貝諾瓦,,1834-1901,比利時,作曲,,2017-08-08
3249729,"Benoliel, Bernard",班諾利爾,,1943-,美國,作曲,,2017-08-08
3249730,"Bent, Ian Davied",班特,,1938-,英國,音樂學,,2017-08-08
3249731,"Bentzon, Niels",班宗,,1919-2000,丹麥,作曲；鋼琴,,2017-08-08
