ID,英文名稱,中文名稱,圖片,語言,備註,更新日期
3242452,movimento {It.},樂章,,義,,2017-08-08
3242453,movimiento {Sp.},樂章,,西,,2017-08-08
3242454,mozarabic chant,莫薩拉伯聖歌,,英,,2017-08-08
3242455,Mozarabischer Gesang {Ger.},莫薩拉貝聖歌,,德,,2017-08-08
3242456,Mozart fifths,莫札特五度,,英,,2017-08-08
3242457,Mozart quinte {It.},莫札特五度,,義,,2017-08-08
3242458,Mozart Quinten {Ger.},莫札特五度,,德,,2017-08-08
3242459,Mozart quintes {Fr.},莫札特五度,,法,,2017-08-08
3242460,mp,中弱,,義,,2017-08-08
3242461,mrdanga {In.},木丹加鼓,,印度,,2017-08-08
3242462,mrdangam {In.},木丹加姆鼓,,印度,,2017-08-08
3242463,mridanga {In.},姆利丹加鼓,,印度,,2017-08-08
3242464,mridangam {In.},姆利丹加姆鼓,,印度,,2017-08-08
3242465,muffle,鼓面蒙布,,英,,2017-08-08
3242466,muffling,悶音法｛擊樂｝,,英,,2017-08-08
3242467,Mulliner Book,馬利納風琴曲集,,英,,2017-08-08
3242468,multimetric,多拍子,,英,,2017-08-08
3242469,Multiphony,多音性,,英,,2017-08-08
3242470,Mundharmonika {Ger.},口琴,,德,,2017-08-08
3242471,Mundstück {Ger.},吹口,,德,,2017-08-08
3242472,muñeira {Sp.},穆涅拉舞曲,,西,,2017-08-08
3242473,munter {Ger.},生動的；活潑的；精神飽滿的,,德,,2017-08-08
3242474,murchang,圓鐵簧｛印度｝,,英,,2017-08-08
3242475,murciana {Sp.},穆爾西亞舞曲；穆爾西亞風格的,,西,,2017-08-08
3242476,murky bass,分離八度低音,,英,,2017-08-08
3242477,musette {Fr.},繆賽特風笛｛十七、十八世紀｝；繆賽特舞曲；民間雙簧管｛十九世紀｝,,法,,2017-08-08
3242478,music,音樂,,英,,2017-08-08
3242479,music aesthetics,音樂美學,,英,,2017-08-08
3242480,Music anthropology,音樂人類學,,英,,2017-08-08
3242481,music appreciation,音樂欣賞,,英,,2017-08-08
3242482,music criticism,音樂評論,,英,,2017-08-08
3242483,music desk,譜架,,英,,2017-08-08
3242484,music dictation,音樂聽寫；音樂練耳,,英,,2017-08-08
3242485,music director,音樂總監,,英,,2017-08-08
3242486,music drama,樂劇,,英,,2017-08-08
3242487,music falsa {It.},假音樂,,義,,2017-08-08
3242488,music festival,音樂節,,英,,2017-08-08
3242489,music ficta {Lat.},假音樂,,拉,,2017-08-08
3242490,music hall,音樂廳,,英,,2017-08-08
3242491,music history,音樂史,,英,,2017-08-08
3242492,music iconography,音樂圖像學,,英,,2017-08-08
3242493,music idiom,音樂用語,,英,,2017-08-08
3242494,music of chance operation,機遇音樂,,英,,2017-08-08
3242495,music of indeterminacy,不確定性音樂,,英,,2017-08-08
3242496,music of office hours,日課音樂,,英,,2017-08-08
3242497,music paper,譜紙,,英,,2017-08-08
3242498,music pedagogy,音樂教育學；音樂教學法,,英,,2017-08-08
3242499,music physiology,音樂生理學,,英,,2017-08-08
3242500,music poem,音詩,,英,,2017-08-08
3242501,music school,音樂學校,,英,,2017-08-08
3242502,music season,音樂季,,英,,2017-08-08
3242503,music stand,譜架,,英,,2017-08-08
3242504,music style,音樂風格,,英,,2017-08-08
3242505,music teacher,音樂教師,,英,,2017-08-08
3242506,music theater,音樂劇場,,英,,2017-08-08
3242507,music theory,音樂理論,,英,,2017-08-08
3242508,music therapy,音樂治療；音樂療法,,英,,2017-08-08
3242509,music-chair,琴椅,,英,,2017-08-08
3242510,music-desk,譜架,,英,,2017-08-08
3242511,music-house,音樂商店,,英,,2017-08-08
3242512,music-stool,琴凳,,英,,2017-08-08
3242513,musica a programma,標題音樂,,義,,2017-08-08
3242514,música criolla,混血音樂,,西,,2017-08-08
3242515,musica da camera {It.},室內樂,,義,,2017-08-08
3242516,musica di scena {It.},劇場音樂,,義,,2017-08-08
3242517,Musica di tavola {It.},宴樂,,義,,2017-08-08
3242518,musica drammatica {It.},戲劇音樂,,義,,2017-08-08
3242519,musica d`uso {It.},實用音樂,,義,,2017-08-08
3242520,musica elettronica {It.},電子音樂,,義,,2017-08-08
3242521,musica falsa {It.}{Lat.},偽音；假想音,,義˙拉,,2017-08-08
3242522,musica ficta {Lat.},偽音；假想音,,拉,,2017-08-08
3242523,musica figurata {Lat.},多聲音樂,,拉,,2017-08-08
3242524,música folklórica,民謠音樂,,西,,2017-08-08
3242525,musica mensurata {Lat.},定量音樂,,拉,,2017-08-08
3242526,musica militare {It.},軍樂,,義,,2017-08-08
3242527,Música porteña {Sp.},港都音樂｛阿根廷｝,,西,,2017-08-08
3242528,musica profana {It.},俗樂,,義,,2017-08-08
3242529,musica reservata{Lat.},保留音樂,,拉,,2017-08-08
3242530,musica sacra {It.},宗教音樂,,義,,2017-08-08
3242531,musica strumentale {It.},器樂,,義,,2017-08-08
3242532,musica trecentesca {It.},十四世紀音樂,,義,,2017-08-08
3242533,musica vocale {It.},聲樂；聲樂曲,,義,,2017-08-08
3242534,musica {It.},音樂,,義,,2017-08-08
3242535,música {Sp.},音樂,,西,,2017-08-08
3242536,musical,音樂劇,,英,,2017-08-08
3242537,musical ability,音樂能力,,英,,2017-08-08
3242538,musical acoustics,音樂音響學,,英,,2017-08-08
3242539,musical aptitude,音樂能力,,英,,2017-08-08
3242540,musical bow,弓琴,,英,,2017-08-08
3242541,musical box,音樂盒,,英,,2017-08-08
3242542,musical comedy,音樂喜劇,,英,,2017-08-08
3242543,musical criticism,樂評,,英,,2017-08-08
3242544,musical film,音樂電影,,英,,2017-08-08
3242545,musical form,曲式，音樂形式,,英,,2017-08-08
3242546,musical glasses,玻璃樂器,,英,,2017-08-08
3242547,musical nomenclature,音樂術語,,英,,2017-08-08
3242548,musical orthography,記譜法,,英,,2017-08-08
3242549,musical play,音樂劇,,英,,2017-08-08
3242550,musical saw,鋸琴,,英,,2017-08-08
3242551,musical sentence,樂句,,英,,2017-08-08
3242552,musical sound,樂音,,英,,2017-08-08
3242553,musical source,音樂資料,,英,,2017-08-08
3242554,musical switch,轉換混成曲,,英,,2017-08-08
3242555,musical term(s),音樂術語,,英,,2017-08-08
3242556,musical theory,音樂理論,,英,,2017-08-08
3242557,musical tone,樂音,,英,,2017-08-08
3242558,musicality,音樂性,,英,,2017-08-08
3242559,musician,音樂家,,英,,2017-08-08
3242560,musicography,記譜法,,英,,2017-08-08
3242561,musicologia {It.},音樂學,,義,,2017-08-08
3242562,Musicologie comparée {Fr.},比較音樂學,,法,,2017-08-08
3242563,musicologie {Fr.},音樂學,,法,,2017-08-08
3242564,musicologist,音樂學家,,英,,2017-08-08
3242565,musicology,音樂學,,英,,2017-08-08
3242566,musicophysiologie {Fr.},音樂生理學,,法,,2017-08-08
3242567,musicoterapia {It.},音樂治療；音樂療法,,義,,2017-08-08
3242568,musicothérapie {Fr.},音樂治療；音樂療法,,法,,2017-08-08
3242569,Musik der Naturvölker {Ger.},原住民音樂,,德,,2017-08-08
3242570,Musik des Stundenoffizium {Ger.},日課,,德,,2017-08-08
3242571,Musik des Zufalls {Ger.},機遇音樂,,德,,2017-08-08
3242572,Musik {Ger.},音樂,,德,,2017-08-08
3242573,Musikakademie {Ger.},音樂學院,,德,,2017-08-08
3242574,musikalische Akustik {Ger.},音樂音響學,,德,,2017-08-08
3242575,Musikalische Formen {Ger.},音樂形式；曲式學,,德,,2017-08-08
3242576,musikalische Hermeneutik {Ger.},音樂詮釋學,,德,,2017-08-08
3242577,musikalische Ikonographie {Ger.},音樂圖像學,,德,,2017-08-08
3242578,musikalische Quell {Ger.},音樂資料,,德,,2017-08-08
3242579,Musikalische Völkerkunde {Ger.},音樂民族學,,德,,2017-08-08
3242580,musikalische Zeit {Ger.},音樂時間,,德,,2017-08-08
3242581,musikalischer Einfall {Ger.},樂念；樂想,,德,,2017-08-08
3242582,Musikalischer humanismus {Ger.},人文主義音樂,,德,,2017-08-08
3242583,musikalisches Gedanken {Ger.},樂念；樂想,,德,,2017-08-08
3242584,musikalkische Fähigkeit {Ger.},音樂能力,,德,,2017-08-08
3242585,Musikanschauung {Ger.},音樂觀,,德,,2017-08-08
3242586,Musikant {Ger.},樂人,,德,,2017-08-08
3242587,Musikästhetik {Ger.},音樂美學,,德,,2017-08-08
3242588,Musikbibliographie {Ger.},音樂書目學,,德,,2017-08-08
3242589,Musikbogen {Ger.},弓琴,,德,,2017-08-08
3242590,Musikdiktat {Ger.},音樂聽寫；音樂練耳,,德,,2017-08-08
3242591,Musikdirektor {Ger.},音樂總監,,德,,2017-08-08
3242592,Musikdrama {Ger.},樂劇,,德,,2017-08-08
3242593,Musikerziehung {Ger.},音樂教育,,德,,2017-08-08
3242594,Musikfest {Ger.},音樂節,,德,,2017-08-08
3242595,Musikgeschichte {Ger.},音樂史,,德,,2017-08-08
3242596,Musikgrammatik {Ger.},樂理,,德,,2017-08-08
3242597,Musikhochschule {Ger.},音樂學院,,德,,2017-08-08
3242598,Musikhören {Ger.},音樂耳,,德,,2017-08-08
3242599,Musikikonographie {Ger.},音樂圖像學,,德,,2017-08-08
3242600,Musikinstrumentenkunde {Ger.},樂器學,,德,,2017-08-08
3242601,Musikkorps {Ger.},軍樂隊,,德,,2017-08-08
3242602,Musikkritik {Ger.},音樂評論,,德,,2017-08-08
3242603,Musiklesen {Ger.},讀譜,,德,,2017-08-08
3242604,Musiklexikon {Ger.},音樂辭典,,德,,2017-08-08
3242605,Musikphysiologie {Ger.},音樂生理學,,德,,2017-08-08
3242606,Musikpsychologie {Ger.},音樂心理學,,德,,2017-08-08
3242607,Musikschule {Ger.},音樂學校,,德,,2017-08-08
3242608,Musiksoziologie {Ger.},音樂社會學,,德,,2017-08-08
3242609,Musiktherapie {Ger.},音樂治療；音樂療法,,德,,2017-08-08
3242610,Musikwettbewerb {Ger.},音樂比賽,,德,,2017-08-08
3242611,Musikwissenschaft {Ger.},音樂學,,德,,2017-08-08
3242612,musique à programme {Fr.},標題音樂,,法,,2017-08-08
3242613,musique aléatoire {Fr.},機遇音樂,,法,,2017-08-08
3242614,musique concrète {Fr.},具體音樂,,法,,2017-08-08
3242615,musique d'avant garde {Fr.},前衛音樂,,法,,2017-08-08
3242616,musique de chambre {Fr.},室內樂,,法,,2017-08-08
3242617,musique de chance {Fr.},機遇音樂,,法,,2017-08-08
3242618,musique de douze sons {Fr.},十二音音樂,,法,,2017-08-08
3242619,musique de scène {Fr.},劇場音樂,,法,,2017-08-08
3242620,musique de table {Fr.},宴樂,,法,,2017-08-08
3242621,musique déscriptive {Fr.},描繪音樂,,法,,2017-08-08
3242622,musique dramatique {Fr.},戲劇音樂,,法,,2017-08-08
3242623,musique électronique {Fr.},電子音樂,,法,,2017-08-08
3242624,musique folklorique {Fr.},民間音樂,,法,,2017-08-08
3242625,musique Gothique {Fr.},哥德式音樂,,法,,2017-08-08
3242626,musique instrumentale {Fr.},器樂,,法,,2017-08-08
3242627,musique mensurée {Fr.},定量音樂,,法,,2017-08-08
3242628,musique militaire {Fr.},軍樂；軍樂隊,,法,,2017-08-08
3242629,musique profane {Fr.},世俗音樂,,法,,2017-08-08
3242630,musique religieuse {Fr.},宗教音樂,,法,,2017-08-08
3242631,musique sérielle {Fr.},音列音樂,,法,,2017-08-08
3242632,musique stochastique {Fr.},隨機音樂,,法,,2017-08-08
3242633,Musique vocale {Fr.},聲樂；聲樂曲,,法,,2017-08-08
3242634,Musique {Fr.},音樂,,法,,2017-08-08
3242635,mustel organ,繆斯特簧風琴,,英,,2017-08-08
3242636,Musterfuge {Ger.},見習復格,,德,,2017-08-08
3242637,muta {It.},改變音高｛定音鼓｝；轉換樂器；轉換音管｛銅管｝,,義,,2017-08-08
3242638,mutatio {Lat.},轉唱,,拉,,2017-08-08
3242639,mutation,變聲｛青春期｝；唱名移位；轉換把位,,英,,2017-08-08
3242640,mutation stop,變音音栓｛管風琴｝,,英,,2017-08-08
3242641,mutazione {It.},變聲,,義,,2017-08-08
3242642,mute,弱音器,,英,,2017-08-08
3242643,Mutierung {Ger.},變聲,,德,,2017-08-08
3242644,mystère de la passion {Fr.},受難劇,,法,,2017-08-08
3242645,mystère {Fr.},神秘劇,,法,,2017-08-08
3242646,Mysterien {Ger.},神秘劇,,德,,2017-08-08
3242647,mysteries,奇蹟劇；神秘劇；道德劇,,英,,2017-08-08
3242648,mystery,神秘劇,,英,,2017-08-08
3242649,mystic chord,神秘和弦（絃）,,英,,2017-08-08
3242650,mysticism,神秘主義,,英,,2017-08-08
3242651,mysticisme {Fr.},神秘主義,,法,,2017-08-08
3242652,Mystik {Ger.},神秘,,德,,2017-08-08
3242653,Mystizimus {Ger.},神秘主義,,德,,2017-08-08
3242654,nacaires {Fr.},鍋形鼓；定音鼓,,法,,2017-08-08
3242655,nacchera {It.},納克拉鼓,,義,,2017-08-08
3242656,nachbarschaftsbeziehung {Ger.},鄰接關係,,德,,2017-08-08
3242657,nachdrücklich {Ger.},加強的,,德,,2017-08-08
3242658,Nachhall {Ger.},殘響,,德,,2017-08-08
3242659,Nachlassend {Ger.},放慢的；鬆弛的,,德,,2017-08-08
3242660,náchra {Sp.},納克拉鼓,,西,,2017-08-08
3242661,Nachsatz {Ger.},後樂節,,德,,2017-08-08
3242662,Nachschlag {Ger.},後倚音,,德,,2017-08-08
3242663,Nachspiel {Ger.},後奏曲；尾奏（唱）,,德,,2017-08-08
3242664,Nachtanz {Ger.},後舞曲,,德,,2017-08-08
3242665,Nachthorn {Ger.},守夜號音栓（管風琴）,,德,,2017-08-08
3242666,Nachtigall {Ger.},夜鶯,,德,,2017-08-08
3242667,Nachtmusik {Ger.},小夜曲,,德,,2017-08-08
3242668,Nachtstück {Ger.},夜曲,,德,,2017-08-08
3242669,nadimba,納丁巴琴,,英,,2017-08-08
3242670,nafīr {Ar.},納菲爾號,,阿拉伯,,2017-08-08
3242671,nagârâ {In.},納克拉鼓；碗鼓,,印度,,2017-08-08
3242672,Nagelgeige {Ger.},釘子提琴,,德,,2017-08-08
3242673,Nagelharmonika {Ger.},釘子提琴,,德,,2017-08-08
3242674,Nagelschrift {Ger.},蹄釘記譜法,,德,,2017-08-08
3242675,nail fiddle,釘子提琴,,英,,2017-08-08
3242676,nail harmonica,釘子提琴,,英,,2017-08-08
3242677,nail violin,釘子提琴,,英,,2017-08-08
3242678,naked fifth,空心五度,,英,,2017-08-08
3242679,naker,納克拉鼓；碗鼓,,英,,2017-08-08
3242680,names of notes,音名,,英,,2017-08-08
3242681,names of voices,聲部名稱,,英,,2017-08-08
3242682,nana {Sp.},搖籃曲,,西,,2017-08-08
3242683,Nänie {Ger.},悲嘆之歌,,德,,2017-08-08
3242684,napolitana {It.},拿坡里民謠,,義,,2017-08-08
3242685,naqqāra(h) {Ar.},納克拉鼓,,阿拉伯,,2017-08-08
3242686,naqqârah {Ar.},納克拉鼓；碗鼓,,阿拉伯,,2017-08-08
3242687,narrante {It.},吟誦似的,,義,,2017-08-08
3242688,narration {Fr.},敘述法,,英˙法,,2017-08-08
3242689,narrator,敘述者；詠述者,,英,,2017-08-08
3242690,nasal tone,鼻音,,英,,2017-08-08
3242691,national anthem,國歌,,英,,2017-08-08
3242692,National opera,民族歌劇,,英,,2017-08-08
3242693,Nationalhymne {Ger.},國歌,,德,,2017-08-08
3242694,nationalism (in music),民族主義,,英,,2017-08-08
3242695,Nationalism in music,音樂的民族主義,,英,,2017-08-08
3242696,Nationalisme musical {Fr.},民族主義音樂,,法,,2017-08-08
3242697,Nationalismus in Musik {Ger.},民族主義音樂,,德,,2017-08-08
3242698,Nationalist School,民族主義；民族樂派,,英,,2017-08-08
3242699,Nationalstil {Ger.},民族主義；民族樂派,,德,,2017-08-08
3242700,natural,本位記號；還原記號,,英,,2017-08-08
3242701,natural harmonics,自然泛音,,英,,2017-08-08
3242702,natural horn,自然號,,英,,2017-08-08
3242703,natural interval,自然音程,,英,,2017-08-08
3242704,natural key,自然調,,英,,2017-08-08
3242705,natural minor scale,自然小音階,,英,,2017-08-08
3242706,natural mode,自然調式,,英,,2017-08-08
3242707,natural modulation,自然轉調,,英,,2017-08-08
3242708,natural notes,自然音,,英,,2017-08-08
3242709,natural scale,自然音階,,英,,2017-08-08
3242710,natural seventh,自然七度,,英,,2017-08-08
3242711,natural tone,自然音,,英,,2017-08-08
3242712,natural trumpet,自然小號,,英,,2017-08-08
3242713,natural vibration,自由振動,,英,,2017-08-08
3242714,natural voice,自然人聲,,英,,2017-08-08
3242715,Naturhorn {Ger.},自然號,,德,,2017-08-08
3242716,natürliche Molltonleiter {Ger.},自然小音階,,德,,2017-08-08
3242717,natürliche Septime {Ger.},自然七度,,德,,2017-08-08
3242718,Naturseptime {Ger.},自然七度,,德,,2017-08-08
3242719,Naturtrompete {Ger.},自然小號,,德,,2017-08-08
3242720,Nāy {Ar.},納伊笛,,阿拉伯,,2017-08-08
3242721,Nazionalismo in musica {It.},民族主義音樂,,義,,2017-08-08
3242722,neapolitan school,拿坡里樂派,,英,,2017-08-08
3242723,neapolitan sixth,拿坡里六和弦（絃）,,英,,2017-08-08
3242724,neapolitanische Schule {Ger.},拿坡里樂派,,德,,2017-08-08
3242725,neapolitanische Sexte {Ger.},拿坡里六和弦,,德,,2017-08-08
3242726,nearly related major key,近系大調,,英,,2017-08-08
3242727,nearly related minor key,近系小調,,英,,2017-08-08
3242728,nebel {Heb.},內貝琴,,希伯來,,2017-08-08
3242729,Nebendominante {Ger.},借用和弦；副屬和弦,,德,,2017-08-08
3242730,Nebendreiklänge {Ger.},副三和弦,,德,,2017-08-08
3242731,Nebenharmonie {Ger.},副和聲；副和弦,,德,,2017-08-08
3242732,Nebensatz {Ger.},副樂段,,德,,2017-08-08
3242733,Nebenseptimenakkorde {Ger.},副七和弦,,德,,2017-08-08
3242734,Nebentonart {Ger.},副調性,,德,,2017-08-08
3242735,neck,琴頸,,英,,2017-08-08
3242736,negligente {It.},不用心的；散漫的，疏忽的,,義,,2017-08-08
3242737,negro music,黑人音樂,,英,,2017-08-08
3242738,negro spirituals,黑人靈歌,,英,,2017-08-08
3242739,neighbor chord,鄰和弦（絃）,,英,,2017-08-08
3242740,neighbor note,鄰音｛助音｝,,英,,2017-08-08
3242741,neighboring chord,鄰和絃,,英,,2017-08-08
3242742,neighboring note,鄰音（助音）,,英,,2017-08-08
3242743,Nenia {Lat.},悲嘆之歌,,拉,,2017-08-08
3242744,Neo-Classicism,新古典主義,,英,,2017-08-08
3242745,Néo-classicisme {Fr.},新古典主義,,法,,2017-08-08
3242746,Neo-Romanticism,新浪漫主義,,英,,2017-08-08
3242747,Neoromantik {Ger.},新浪漫主義,,德,,2017-08-08
3242748,Netherlands School,尼德蘭樂派,,英,,2017-08-08
3242749,Neudeutsche Schule {Ger.},新德國樂派,,德,,2017-08-08
3242750,Neue Musik {Ger.},新音樂｛二十世紀｝,,德,,2017-08-08
3242751,Neue Sachlichkeit {Ger.},新客觀主義,,德,,2017-08-08
3242752,Neuklassik {Ger.},新古典主義,,德,,2017-08-08
3242753,neuma {Gr.}{Lat.}{It.},紐碼譜,,希˙拉˙義,,2017-08-08
3242754,neumatic style,紐碼風格,,英,,2017-08-08
3242755,neume{Fr.},紐碼譜,,英˙法,,2017-08-08
3242756,Neume{Ger.},紐碼譜,,德,,2017-08-08
3242757,neunzähliger [neunzeitiger] Takt {Ger.},複三拍子,,德,,2017-08-08
3242758,neutral interval,中音程(札爾札爾三度),,英,,2017-08-08
3242759,neuvième {Fr.},九度,,法,,2017-08-08
3242760,nevel {Heb.},內貝琴,,希伯來,,2017-08-08
3242761,new age,新世紀音樂,,英,,2017-08-08
3242762,new objectivity,新客觀主義,,英,,2017-08-08
3242763,New Orleans jazz,紐奧爾良爵士樂,,英,,2017-08-08
3242764,Ney {Tur.},納伊笛,,土耳其,,2017-08-08
3242765,Niederfrequenz {Ger.},低頻率,,德,,2017-08-08
3242766,Niederländische Schule {Ger.},尼德蘭樂派,,德,,2017-08-08
3242767,Niederschlag {Ger.},下拍；強拍；起句；下弓,,德,,2017-08-08
3242768,nightingale,夜鶯哨器,,英,,2017-08-08
3242769,nine part canon,九部卡農,,英,,2017-08-08
3242770,nine to eight suspension,九八掛留音,,英,,2017-08-08
3242771,nineteenth,十九度,,英,,2017-08-08
3242772,Ninna nanna {It.},搖籃曲,,義,,2017-08-08
3242773,ninstruments transpositeurs {Fr.},移調樂器,,法,,2017-08-08
3242774,ninth,九度,,英,,2017-08-08
3242775,ninth chord,九和弦（絃）,,英,,2017-08-08
3242776,niveau de son {Fr.},音量度,,法,,2017-08-08
3242777,nobile {It.},高貴的,,義,,2017-08-08
3242778,nobilmente {It.},高貴的；高貴的風格,,義,,2017-08-08
3242779,Nocturne {Fr.}{Ger.},夜曲,,英˙法˙德,,2017-08-08
3242780,node,聲波節點；波節,,英,,2017-08-08
3242781,Noël {Fr.},聖誕歌(曲)；聖誕節,,法,,2017-08-08
3242782,noh {Jap.},能劇；能樂,,日,,2017-08-08
3242783,noire crotchet {Fr.},黑音符（四分音符）,,法,,2017-08-08
3242784,noire {Fr.},四分音符；黑音符,,法,,2017-08-08
3242785,noise,噪音,,英,,2017-08-08
3242786,noise meter,噪音計,,英,,2017-08-08
3242787,Nokturne {Ger.},夜曲,,德,,2017-08-08
3242788,noms de syllabes {Fr.},唱名,,法,,2017-08-08
3242789,non legato {It.},非圓滑,,義,,2017-08-08
3242790,non molto,不太多,,義,,2017-08-08
3242791,non presto,不太快,,義,,2017-08-08
3242792,non tanto {It.},勿太多,,義,,2017-08-08
3242793,non troppo {It.},勿太過,,義,,2017-08-08
3242794,non-transposing instrument,非移調樂器,,英,,2017-08-08
3242795,nona {It.},九度,,義,,2017-08-08
3242796,None {Ger.},九度；九時課（羅馬天主教日課）,,德,,2017-08-08
3242797,nonechoic chamber,無響室,,英,,2017-08-08
3242798,Nonenakkord {Ger.},九和弦,,德,,2017-08-08
3242799,nonet,九重奏；九重奏曲；九重唱；九重唱曲,,英,,2017-08-08
3242800,Nonett {Ger.},九重奏；九重奏曲；九重唱；九重唱曲,,德,,2017-08-08
3242801,nonette {Fr.},九重奏；九重奏曲；九重唱；九重唱曲,,法,,2017-08-08
3242802,nonetto {It.},九重奏；九重奏曲；九重唱；九重唱曲,,義,,2017-08-08
3242803,nonharmonic tone,和聲外音；非和弦（絃）音,,英,,2017-08-08
3242804,nonmodulating sequence,不轉調模進,,英,,2017-08-08
3242805,Nonole {Ger.},九連音；九連音符,,德,,2017-08-08
3242806,nonuplet,九連音；九連音符,,英,,2017-08-08
3242807,nonuplet {Fr.},九連音；九連音符,,法,,2017-08-08
3242808,normal pitch,標準音高,,英,,2017-08-08
3242809,normal resolution,正規解決,,英,,2017-08-08
3242810,normal rhythm,正規節奏,,英,,2017-08-08
3242811,normal sentence,正規樂句,,英,,2017-08-08
3242812,normal tone,標準音,,英,,2017-08-08
3242813,normal vibration,基準振動,,英,,2017-08-08
3242814,Normalschwingung {Ger.},基準振動,,德,,2017-08-08
3242815,Normalstimmgabel {Ger.},標準音叉,,德,,2017-08-08
3242816,Normalstimmung {Ger.},標準音高,,德,,2017-08-08
3242817,Northumbrian Bagpipes,諾森伯蘭風笛,,英,,2017-08-08
3242818,nose flute,鼻笛,,英,,2017-08-08
3242819,nota cambiata {It.},變換音,,義,,2017-08-08
3242820,nota de passage{Fr.},經過音,,法,,2017-08-08
3242821,nota di passagaio {It.},經過音,,義,,2017-08-08
3242822,nota piccola {It.},小音符,,義,,2017-08-08
3242823,nota puntata {It.},附點音符,,義,,2017-08-08
3242824,nota quadrata romana {Lat.},羅馬方型音符,,拉,,2017-08-08
3242825,nota sensibile {It.},導音,,義,,2017-08-08
3242826,nota {It.},音符,,義,,2017-08-08
3242827,notataion braille {Fr.},點字譜,,法,,2017-08-08
3242828,notation,記譜；記譜法,,英˙法,,2017-08-08
3242829,notation au moyen des chiffres {Fr.},數字記譜法,,法,,2017-08-08
3242830,notation chiffrée {Fr.},數字記譜法,,法,,2017-08-08
3242831,notation corrée {Fr.},方形記譜,,法,,2017-08-08
3242832,notation dasienne {Fr.},達吉亞記譜法,,法,,2017-08-08
3242833,notation ekphonétique {Fr.},語音記譜法｛古代｝,,法,,2017-08-08
3242834,notation false,假記法,,英,,2017-08-08
3242835,notation mensuraliste {Fr.},定量記譜法,,法,,2017-08-08
3242836,notation modale {Fr.},節奏型記譜,,法,,2017-08-08
3242837,notazione braille {It.},點字譜,,義,,2017-08-08
3242838,notazione dasiana {It.},達吉亞記譜法,,義,,2017-08-08
3242839,notazione mensurale {It.},定量記譜法,,義,,2017-08-08
3242840,notazione modale {It.},節奏型記譜,,義,,2017-08-08
3242841,notazione quadrata {It.},方形記譜,,義,,2017-08-08
3242842,notazione {It.},記譜；記譜法,,義,,2017-08-08
3242843,note,音符,,英,,2017-08-08
3242844,note constitutif de l'accord {Fr.},和聲音,,法,,2017-08-08
3242845,note d' appoggiature {Fr.},倚音,,法,,2017-08-08
3242846,note dell'accordo {It.},和聲音,,義,,2017-08-08
3242847,note étrangère {Fr.},和聲外音；非和弦（絃）音,,法,,2017-08-08
3242848,note fondamentale {Fr.},根音；基音,,法,,2017-08-08
3242849,note harmonique {Fr.},和聲音,,法,,2017-08-08
3242850,note pédale {Fr.},持續音,,法,,2017-08-08
3242851,note pointée {Fr.},附點音符,,法,,2017-08-08
3242852,note row,音列,,英,,2017-08-08
3242853,note sensible {Fr.},導音,,英,,2017-08-08
3242854,note value,音值；時值,,英,,2017-08-08
3242855,note-row,音列,,英,,2017-08-08
3242856,Noten {Ger.},樂譜,,德,,2017-08-08
3242857,Notenschrift {Ger.},記譜；記譜法,,德,,2017-08-08
3242858,Notenwert {Ger.},音值；時值,,德,,2017-08-08
3242859,notes inégales {Fr.},不等音符,,法,,2017-08-08
3242860,Notre Dame School,聖母院樂派,,英,,2017-08-08
3242861,notturnino {It.},夜曲,,義,,2017-08-08
3242862,Notturno {It.},夜曲,,義,,2017-08-08
3242863,novachord,新鍵琴,,義,,2017-08-08
3242864,novelette,小故事曲,,英,,2017-08-08
3242865,novelletta {It.},小故事曲,,義,,2017-08-08
3242866,novellette {Fr.},小故事曲,,法,,2017-08-08
3242867,Novellette {Ger.},小故事曲,,德,,2017-08-08
3242868,nuance {Fr.},色調變化,,法,,2017-08-08
3242869,nuclear tone,核心音,,英,,2017-08-08
3242870,number opera,編號歌劇,,英,,2017-08-08
3242871,number systems,數字系統,,英,,2017-08-08
3242872,numerals,數位譜，和絃數位,,英,,2017-08-08
3242873,Nummeroper {Ger.},編號歌劇,,德,,2017-08-08
3242874,nuove musiche {It.},新音樂｛十七世紀｝,,義,,2017-08-08
3242875,nut,弦（絃）枕；弓根,,英,,2017-08-08
3242876,nyckelharpa {Se.},鍵機提琴,,瑞典,,2017-08-08
3242877,obbligato {It.},必需聲部；助奏（唱）,,義,,2017-08-08
3242878,Oberdominante {Ger.},上屬音；屬音,,德,,2017-08-08
3242879,oberek {Pol.},歐貝列克舞曲,,波蘭,,2017-08-08
3242880,Oberstimme {Ger.},上聲部,,德,,2017-08-08
3242881,obertas {Pol.},歐伯塔斯舞曲,,波蘭,,2017-08-08
3242882,obertass {Pol.},歐伯塔斯舞曲,,波蘭,,2017-08-08
3242883,Obertaste {Ger.},黑鍵,,德,,2017-08-08
3242884,Oberton {Ger.},上音,,德,,2017-08-08
3242885,Oberwerk {Ger.},上層構造｛管風琴｝,,德,,2017-08-08
3242886,object sound,對象認知音,,英,,2017-08-08
3242887,obligado {Sp.},必需聲部；助奏（唱）,,西,,2017-08-08
3242888,Obligat {Ger.},必需聲部；助奏（唱）,,德,,2017-08-08
3242889,obligato {It.},必需聲部；助奏（唱）,,義,,2017-08-08
3242890,obligé {Fr.},必需聲部；助奏（唱）,,法,,2017-08-08
