ID,英文名稱,中文名稱,圖片,機關名稱中文,機關名稱英譯,一級單位名稱中文,一級單位名稱英譯,備註,更新日期
1498317,Disaster Prevention Division ,災害預防科,,消防局,Fire Bureau,,,,2012-11-26
1498318,Emergency and Rescue Division,救災救護科,,消防局,Fire Bureau,,,,2012-11-26
1498319,Training and Education Division,教育訓練科,,消防局,Fire Bureau,,,,2012-11-26
1498320,Fire Investigation Division ,火災鑑識科,,消防局,Fire Bureau,,,,2012-11-26
1498321,Emergency and Rescue Command Center,救災救護指揮中心,,消防局,Fire Bureau,,,,2012-11-26
1498322,Secretariat,秘書室,,消防局,Fire Bureau,,,,2012-11-26
1498323,Office,室,,消防局,Fire Bureau,,,,2012-11-26
1498324,Southern District Emergency and Rescue Corps,南區救災救護大隊,,消防局,Fire Bureau,,,,2012-11-26
1498325,Northern District Emergency and Rescue Corps,北區救災救護大隊,,消防局,Fire Bureau,,,,2012-11-26
1498326,Civil Service Ethics Office,政風室,,衛生局,Public Health Bureau,,,,2012-11-26
1498327,Prevention Section,防疫科,,疾病管制處,Disease Control Office,,,,2012-11-26
1498328,Nursing Section,護理科,,疾病管制處,Disease Control Office,,,,2012-11-26
1498329,Medical Care Section,醫療科,,疾病管制處,Disease Control Office,,,,2012-11-26
1498330,Office,室,,各市立醫院,Minsheng Hospital,,,,2012-11-26
1498331,Department,科,,各市立醫院,Minsheng Hospital,,,,2012-11-26
1498332,____ Municipal ____ Hospital,____市立____醫院,,____市立____醫院,____ Municipal ____ Hospital,,,,2012-12-14
1498333,____ Municipal Chinense Medicine Hospital,____市立中醫醫院,,____市立中醫醫院,____ Municipal Chinense Medicine Hospital,,,,2012-12-14
1498334,First Section,第一科,,___區衛生所,___ District Public Health Center,,,,2012-11-26
1498335,Second Section ,第二科,,___區衛生所,___ District Public Health Center,,,,2012-11-26
1498336,General Affairs Office,總務科,,___區衛生所,___ District Public Health Center,,,,2012-11-26
1498337,Division,科,,環境保護局,Environmental Protection Bureau,,,,2012-11-26
1498338,Technical  Division,技術室,,環境保護局,Environmental Protection Bureau,,,,2012-11-26
1498339,Office,室,,環境保護局,Environmental Protection Bureau,,,,2012-11-26
1498340,Vehicles Maintenance Works,修車廠,,環境保護局,Environmental Protection Bureau,,,,2012-11-26
1498341,____ Reclaimed Land Management Center,____填海工程管理中心,,環境保護局,Environmental Protection Bureau,,,,2012-11-26
1498342,Waste Treatment Plant,廢棄物處理場,,環境保護局,Environmental Protection Bureau,,,,2012-11-26
1498343,Sewage Treatment Plant,水肥處理廠,,環境保護局,Environmental Protection Bureau,,,,2012-11-26
1498344,Dredging Unit,溝渠清疏隊,,環境保護局,Environmental Protection Bureau,,,,2012-11-26
1498345,District Cleaning Unit,區清潔隊,,環境保護局,Environmental Protection Bureau,,,,2012-11-26
1498346,Section,組,,中區資源回收廠,Central District Waste Management Plant,,,,2012-11-26
1498347,Office,室,,南區資源回收廠,Southern District Waste Management Plant,,,,2012-11-26
1498348,Information Management Office,資訊室,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",,,,2012-11-26
1498349,Accounting Office ,會計室,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",,,,2012-11-26
1498350,Personnel Office,人事室,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",,,,2012-11-26
1498351,Civil Service Ethics Office,政風室,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",,,,2012-11-26
1498352,Division,科,,文化局,Cultural Affairs Bureau,,,,2012-11-26
1498353,Office,室,,文化局,Cultural Affairs Bureau,,,,2012-11-26
1498354,Acquisition and Cataloging  Section,採編組,,____市立圖書館,____ Municipal Library,,,,2012-11-26
1498355,Circulation Section,閱覽組,,____市立圖書館,____ Municipal Library,,,,2012-11-26
1498356,Extension Section,推廣組,,____市立圖書館,____ Municipal Library,,,,2012-11-26
1498357,Information Management Section,資訊組,,____市立圖書館,____ Municipal Library,,,,2012-11-26
1498358,General Affairs Section,總務組,,____市立圖書館,____ Municipal Library,,,,2012-11-26
1498359,___ Branch Library,___分館,,____市立圖書館,____ Municipal Library,,,,2012-11-26
1498360,Toy Library,調色板兒童玩具圖書館,,____市立圖書館,____ Municipal Library,,,,2012-11-26
1498361,____ Reading Room,____民眾閱覽室,,____市立圖書館,____ Municipal Library,,,,2012-11-26
1498362,____ Reading Room,____民眾閱覽室,,____市立圖書館,____ Municipal Library,,,,2012-11-26
1498363,Acquisition Section,典藏組,,美術館,Museum of Fine Arts,,,,2012-11-26
1498364,Exhibition Section,展覽組,,美術館,Museum of Fine Arts,,,,2012-11-26
1498365,Extension Section,推廣組,,美術館,Museum of Fine Arts,,,,2012-11-26
1498366,Research Section,研究組,,美術館,Museum of Fine Arts,,,,2012-11-26
1498367,General Affairs Section,總務組,,社會教育館,Social Education Center,,,,2012-11-26
1498368,Youth Activity Section,青少年活動組,,社會教育館,Social Education Center,,,,2012-11-26
1498369,Research and Development Section,研究推廣組,,社會教育館,Social Education Center,,,,2012-11-26
1498370,Counseling Section,輔導組,,社會教育館,Social Education Center,,,,2012-11-26
1498371,Security Unit,駐警隊,,社會教育館,Social Education Center,,,,2012-11-26
1498372,Management Section,管理組,,文獻委員會,____ City Archives ,,,,2012-11-26
1498373,General Affairs Section,行政組,,文獻委員會,____ City Archives ,,,,2012-11-26
1498374,Secretariat,秘書室,,歷史博物館,History Museum,,,,2012-11-26
1498375,Acquisition Section,典藏組,,歷史博物館,History Museum,,,,2012-11-26
1498376,Exhibition Section,展覽組,,歷史博物館,History Museum,,,,2012-11-26
1498377,Extension Section,推廣組,,歷史博物館,History Museum,,,,2012-11-26
1498378,Office,室,,交通局,Transportation Bureau,,,,2012-11-26
1498379,Traffic Violation Arbitration Office,交通事件裁決處,,交通局,Transportation Bureau,,,,2012-11-26
1498380,Business Section,業務科,,公共車船管理處,City Bus and Ferry Management Office,,,,2012-11-26
1498381,Machinery and Materials Section,機料科,,公共車船管理處,City Bus and Ferry Management Office,,,,2012-11-26
1498382,Dispatch Section,調度管理室,,公共車船管理處,City Bus and Ferry Management Office,,,,2012-11-26
1498383,General Affairs Section,總務科,,公共車船管理處,City Bus and Ferry Management Office,,,,2012-11-26
1498384,Maintenance Works,修理工廠,,公共車船管理處,City Bus and Ferry Management Office,,,,2012-11-26
1498385,Section,科,,監理處,Motor Vehicles Office,,,,2012-11-26
1498386,Office,室,,監理處,Motor Vehicles Office,,,,2012-11-26
1498387,Southern District Office,南區分處,,監理處,Motor Vehicles Office,,,,2012-11-26
1498388,Traffic Accident Investigation Committee,車輛行車事故鑑定委員會,,車輛行車事故鑑定委員會,Traffic Accident Investigation Committee,,,,2012-12-14
1498389,Education Division,教務組,,公教人力發展局,Civil Service Development Bureau,,,,2012-11-26
1498390,Guidance Division,輔導組,,公教人力發展局,Civil Service Development Bureau,,,,2012-11-26
1498391,Research Division,研究組,,公教人力發展局,Civil Service Development Bureau,,,,2012-11-26
1498392,General Affairs Division,總務組,,公教人力發展局,Civil Service Development Bureau,,,,2012-11-26
1498393,Division,科,,法制局,Legal Affairs Bureau ,,,,2012-11-26
1498394,Division,科,,地政處,Land Administration Office,,,,2012-11-26
1498395,Office,室,,地政處,Land Administration Office,,,,2012-11-26
1498396,Section,課,,地政事務所,Land Office,,,,2012-11-26
1498397,Accounting Officer,會計,,地政事務所,Land Office,,,,2012-11-26
1498398,Personnel Officer,人事,,地政事務所,Land Office,,,,2012-11-26
1498399,Division,科,,新聞處,Information Office,,,,2012-11-26
1498400,Office,室,,新聞處,Information Office,,,,2012-11-26
1498401,Program Section,節目組,,____廣播電台,____ Radio Station,,,,2012-11-26
1498402,News Section,新聞組,,____廣播電台,____ Radio Station,,,,2012-11-26
1498403,General affairs Office,行政室,,_____廣播電台,_____ Radio Station,,,,2012-11-26
1498404,General Affairs Section,行政組,,_____市電影圖書館,_____ Film Library,,,,2012-11-26
1498405,Activities Section,活動組,,_____市電影圖書館,_____ Film Library,,,,2012-11-26
1498406,Acquisition Section,典藏組,,_____市電影圖書館,____ Film Library,,,,2012-11-26
1498407,Division,科,,兵役處,Military Service Office,,,,2012-11-26
1498408,Secretariat,秘書室,,兵役處,Military Service Office,,,,2012-11-26
1498409,Accounting Officer,會計員,,兵役處,Military Service Office,,,,2012-11-26
1498410,Personnel Officer,人事管理員,,兵役處,Military Service Office,,,,2012-11-26
1498411,Division,科,,主計處,Accounting and Statistics Office,,,,2012-11-26
1498412,Office,室,,主計處,Accounting and Statistics Office,,,,2012-11-26
1498413,Secretariat,秘書室,,主計處,Accounting and Statistics Office,,,,2012-11-26
1498414,Applied Design Section,作業設計組,,資訊中心,Information Management Center,,,,2012-11-26
1498415,Systems Operation Section,機器操作組,,資訊中心,Information Management Center,,,,2012-11-26
1498416,Data Control Section,資料管理組,,資訊中心,Information Management Center,,,,2012-11-26
1498417,Division,科,,人事處,Personnel Office,,,,2012-11-26
1498418,Office,室,,人事處,Personnel Office,,,,2012-11-26
1498419,Review Section,審核組,,公教人員住宅輔建及福利互助委員會,Public Service Housing and Welfare Committee,,,,2012-11-26
1498420,Finance Section,財務組,,公教人員住宅輔建及福利互助委員會,Public Service Housing and Welfare Committee,,,,2012-11-26
1498421,Engineering Section,工程組,,公教人員住宅輔建及福利互助委員會,Public Service Housing and Welfare Committee,,,,2012-11-26
1498422,Division,科,,政風處,Civil Service Ethics Office,,,,2012-11-26
1498423,Secretariat,秘書室,,政風處,Civil Service Ethics Office,,,,2012-11-26
1498424,Division,組,,研究發展考核委員會,"Research, Development and Evaluation Commission",,,,2012-11-26
1498425,Secretariat,秘書室,,研究發展考核委員會,"Research, Development and Evaluation Commission",,,,2012-11-26
1498426,Joint Services Center,聯合服務中心,,研究發展考核委員會,"Research, Development and Evaluation Commission",,,,2012-11-26
1498427,Division,組,,原住民事務委員會,Indigenous Affairs Commission,,,,2012-11-26
1498428,Secretariat,秘書室,,原住民事務委員會,Indigenous Affairs Commission,,,,2012-11-26
1498429,Department of Law and Political Science,法政學系,,_____市立空中大學,_____ Municipal Open University,,,,2012-11-26
1498430,Department of Foreign Languages and Literature ,外國語文學系,,_____市立空中大學,_____ Municipal Open University,,,,2012-11-26
1498431,Department of Industrial and Business Management ,工商管理學系,,_____市立空中大學,_____ Municipal Open University,,,,2012-11-26
1498432,Department of Mass Communications,大眾傳播學系,,_____市立空中大學,_____ Municipal Open University,,,,2012-11-26
1498433,Department of Art and Culture,文化藝術學系,,_____市立空中大學,_____ Municipal Open University,,,,2012-11-26
1498434,Personnel Office,人事室,,_____市立空中大學,_____ Municipal Open University,,,,2012-11-26
1498435,Accounting Office,會計室,,_____市立空中大學,_____ Municipal Open University,,,,2012-11-26
1498436,Information Management Center,電算中心,,_____市立空中大學,_____ Municipal Open University,,,,2012-11-26
1498437,Learning Center,學習指導中心,,_____市立空中大學,_____ Municipal Open University,,,,2012-11-26
1498438,Educational Affairs Section ,教務處,,_____市立_____國小,_____ Municipal _____ Elementary School ,,,,2012-11-26
1498439,Student Affairs Section,學務處,,_____市立_____國小,_____ Municipal _____ Elementary School ,,,,2012-11-26
1498440,General Affairs Section ,總務處,,_____市立_____國小,_____ Municipal _____ Elementary School ,,,,2012-11-26
1498441,Counseling Section ,輔導處,,_____市立_____國小,_____ Municipal _____ Elementary School ,,,,2012-11-26
1498442,Civil Affairs Section,民政課,,_____市___區公所,"___ District Office, _____ City",,,,2012-11-26
1498443,Social Welfare Section,社會課,,_____市___區公所,"___ District Office, _____ City",,,,2012-11-26
1498444,Economic Development Section,經建課,,_____市___區公所,"___ District Office, _____ City",,,,2012-11-26
1498445,Social Welfare and Economic Development Section,社經課,,_____市___區公所,"___ District Office, _____ City",,,,2012-11-26
1498446,Military Service Section,兵役課,,_____市___區公所,"___ District Office, _____ City",,,,2012-11-26
1498447,Accounting Office,會計室,,_____市___區公所,"___ District Office, _____ City",,,,2012-11-26
1498448,Personnel Office,人事室,,_____市___區公所,"___ District Office, _____ City",,,,2012-11-26
1498449,Civil Service Ethics Office,政風室,,_____市___區公所,"___ District Office, _____ City",,,,2012-11-26
1498450,Secretariat,秘書室,,_____市___區公所,"___ District Office, _____ City",,,,2012-11-26
1498451,Village,里,,_____市___區公所,"___ District Office, _____ City",,,,2012-11-26
1498452,_____ Seaside Park,_____海岸公園,,_____市_____區公所,"_____ District Office, _____ City",,,,2012-11-26
1498453,Speaker's Office,議長室,,_____市議會,_____ City Council,,,,2012-11-26
1498454,Deputy Speaker's  Office,副議長室,,_____市議會,_____ City Council,,,,2012-11-26
1498455,1.Secretary-general 2.Secretary-general's Office,秘書長室,,_____市議會,_____ City Council,,,,2012-11-26
1498456,1.Deputy Secretary-general 2.Deputy Secretary-general's Office,副秘書長室,,_____市議會,_____ City Council,,,,2012-11-26
1498457,Committee Office I,各委員會〈一〉辦公室,,_____市議會,_____ City Council,,,,2012-11-26
1498458,Committee Office II,各委員會(二)辦公室,,_____市議會,_____ City Council,,,,2012-11-26
1498459,Secretariat,秘書室,,_____市議會,_____ City Council,,,,2012-11-26
1498460,Conference Logistics Division,議事組,,_____市議會,_____ City Council,,,,2012-11-26
1498461,Public Relations Office,公共關係室,,_____市議會,_____ City Council,,,,2012-11-26
1498462,Legal Affairs Office,法規研究室,,_____市議會,_____ City Council,,,,2012-11-26
1498463,Personnel Office,人事室,,_____市議會,_____ City Council,,,,2012-11-26
1498464,Accounting Office,會計室,,_____市議會,_____ City Council,,,,2012-11-26
1498465,Civil Affairs Department,民政處,,民政處,Civil Affairs Department,配合地方制度法96年修正，縣市政府一級單位統稱為「處」，英譯為「Department」。,,,2012-12-14
1498466,Household Registration Section ,戶政科,,民政處,Civil Affairs Department,配合地方制度法96年修正，縣市政府一級單位統稱為「處」，英譯為「Department」。,,,2012-11-26
1498467,Local Governance Section,地方自治科,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498468,Local Governance Section,地方行政科,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498469,Local Governance Section,自治行政科,,民政處,Civil Affairs Bureau,南高,,,2012-11-26
1498470,Business and Ventures Section,自治事業科,,民政處,Civil Affairs Bureau,南,,,2012-11-26
1498471,Local Governance Section,自治科,,民政處,Civil Affairs Bureau,東,,,2012-11-26
1498472,Military Service Section,兵役行政科,,民政處,Civil Affairs Bureau,"原公告詞彙為Military Services Section，因Service用於'服役勤務'時指概念，為不可數名詞, 經97.4.23雙語詞彙翻譯審查小組同意改為Military Service Section。",,,2012-11-26
1498473,Conscription Section,兵役徵訓科,,民政處,Civil Affairs Bureau,高,,,2012-11-26
1498474,Conscription Section,兵役徵集科,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498475,Conscription Section,兵役徵編科,,民政處,Civil Affairs Bureau,東,,,2012-11-26
1498476,Religious Affairs Section,宗教科,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498477,Religion and Folk Customs Section,宗教禮俗科,,民政處,Civil Affairs Bureau,原公告詞彙為Religion and Folk Custom Section，97.4.23雙語詞彙審查小組修正英譯為Religion and Folk Customs Section。,,,2012-11-26
1498478,Hakka Affairs Section,客家事務科,,民政處,Civil Affairs Bureau,高東,,,2012-11-26
1498479,Indigenous Peoples Counseling Center,原住民生活輔導中心,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498480,Indigenous Peoples Affairs Section,原住民行政科,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498481,Indigenous Peoples Economic Development Section,原住民經建科,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498482,Military Services Section,勤務管理科,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498483,Conscription Section,徵兵處理科,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498484,Conscription Section,徵集勤務科,,民政處,Civil Affairs Bureau,南,,,2012-11-26
1498485,Conscription Section,徵集管理科,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498486,Reserves Service Section,編練後管科,,民政處,Civil Affairs Bureau,南,,,2012-11-26
1498487,Reserves Service Section,編練勤務科,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498488,Mediation Section,調解行政科,,民政處,Civil Affairs Bureau,南,,,2012-11-26
1498489,Mortuary Services Section,殯葬管理科,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498490,Folk Customs Section,禮俗文獻科,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498491,Folk Custom Section,禮儀民俗科,,民政處,Civil Affairs Bureau,南,,,2012-11-26
1498492,Folk Customs Section,禮儀事務科,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498493,Martyrs' Shrine Management Office,忠烈祠管理所,,民政處,Civil Affairs Bureau,,,,2012-11-26
1498494,County Election Commission,選舉委員會,,選舉委員會,County Election Commission,,,,2012-12-14
1498495,南高東,,,財政處,Finance Department,配合地方制度法96年修正，縣市政府一級單位統稱為「處」，英譯為「Department」。,,,2012-11-26
1498496,Public Property Section,公有財產科,,財政處,Finance Department,"原公告詞彙為Public Assets Section，因財產與資產內涵不同，此處指財產，參照國有財產局英譯為National Property Administration, 經97.4.23雙語詞彙翻譯審查小組同意英譯改為Public Property Section。",,,2012-11-26
1498497,Local Financial Institutions Section,地方金融科,,財政處,Finance Department,南高東,,,2012-11-26
1498498,"Local Financial Institutions, Tobacco and Alcohol Section",金融及菸酒管理科,,財政處,Finance Department,,,,2012-11-26
1498499,Treasury Section,庫款支付科,,財政處,Finance Department,南高東,,,2012-11-26
1498500,Financial Management Section,財務管理科,,財政處,Finance Department,南高東,,,2012-11-26
1498501,Taxation Section,稅務行政科,,財政處,Finance Department,,,,2012-11-26
1498502,Tobacco and Alcohol Section,菸酒管理科,,財政處,Finance Department,南高,,,2012-11-26
1498503,Disbursement Section,集中支付科,,財政處,Finance Department,,,,2012-11-26
1498504,Financial Management Section,資金管理科,,財政處,Finance Department,,,,2012-11-26
1498505,Education Department,教育處,,教育處,Education Department,配合地方制度法96年修正，縣市政府一級單位統稱為「處」，英譯為「Department」。,,,2012-12-14
1498506,Social Education Section,社會教育科,,教育處,Education Department,高東,,,2012-11-26
1498507,Special and Pre-school Education Section,特幼科,,教育處,Education Department,南,,,2012-11-26
1498508,Special and Pre-school Education Section,特殊幼教科,,教育處,Education Department,,,,2012-11-26
1498509,Special and Pre-school Education Section,特殊及幼稚教育科,,教育處,Education Department,,,,2012-11-26
1498510,Special Education Section,特殊教育科,,教育處,Education Department,高東,,,2012-11-26
1498511,Educational Affairs Section,國民教育科,,教育處,Education Department,原公告詞彙為School Facilities Section，因考量該單位業務內容主要為國中小教育業務，經97.4.23雙語詞彙翻譯審查小組修正英譯為Educational Affairs Section。,,,2012-11-26
1498512,Life-long Education Section,終身教育科,,教育處,Education Department,南,,,2012-11-26
1498513,School Affairs Section,學務管理科,,教育處,Education Department,原公告詞彙為School Compulsory Section，因Compulsory較具強制性，且考量該單位之主要業務內容為中小學教務、訓導、輔導、設備、教材等學校事務，經97.4.23雙語詞彙翻譯審查小組建議英譯改為School Affairs Section。,,,2012-11-26
1498514,Health and Physical Education Section,體育保健科,,教育處,Education Department,原公告詞彙為Physical and Health Education Section，經97.4.23雙語詞彙翻譯審查小組建議修改為Health and Physical Education Section以符合英文習慣。,,,2012-11-26
1498515,Teaching Development Section,教學發展科,,教育處,Education Department,,,,2012-11-26
1498516,Tainan City Community College,市政大學,,教育處,Education Department,,,,2012-11-26
1498517,Economic Affairs Department,建設處,,建設處,Economic Affairs Department,配合地方制度法96年修正，縣市政府一級單位統稱為「處」，英譯為「Department」。,,,2012-12-14
1498518,Industrial and Commercial Services Section,工商服務科,,建設處,Economic Affairs Department,高,,,2012-11-26
1498519,Industry and Commerce Section,工商科,,建設處,Economic Affairs Department,,,,2012-11-26
1498520,Industrial Services Section,工業輔導科,,建設處,Economic Affairs Department,,,,2012-11-26
1498521,Industrial Services Section,工業科,,建設處,Economic Affairs Department,南,,,2012-11-26
1498522,Rock and Soil Resources Management Section,土石管理科,,建設處,Economic Affairs Department,原公告詞彙Soil and Rock Management Section，為符合其業務內容為砂石管理業務、餘土管理、土石資源堆置等，經97.5.13雙語詞彙審查小組修正英譯為Rock and Soil Resources Management Section。,,,2012-11-26
1498523,Public Utilities Section,公用事業管理科,,建設處,Economic Affairs Department,,,,2012-11-26
1498524,Public Utilities Section,公用事業科,,建設處,Economic Affairs Department,,,,2012-11-26
1498525,Parks and Street Lamps Section,公園路燈管理科,,建設處,Economic Affairs Department,南,,,2012-11-26
1498526,Water Resources Section,水利科,,建設處,Economic Affairs Department,,,,2012-11-26
1498527,Water and Soil Management Section,水資源與土石管理科,,建設處,Economic Affairs Department,,,,2012-11-26
1498528,Markets Management Section,市場管理科,,建設處,Economic Affairs Department,南,,,2012-11-26
1498529,Building Permit and Inspection Section,使用管理科,,建設處,Economic Affairs Department,原公告詞彙Building Usage Management Section，為符合其業務內容為對建築使用執照審查核發、建物公安及設施管理，經97.5.13雙語詞彙翻譯審查小組修正英譯為Building Permit and Inspection Section。,,,2012-11-26
1498530,Demolition Brigade,拆除隊,,建設處,Economic Affairs Department,高,,,2012-11-26
1498531,Builiding Administration Section,建築管理科,,建設處,Economic Affairs Department,高,,,2012-11-26
1498532,Commercial Services Section,商業輔導科,,建設處,Economic Affairs Department,,,,2012-11-26
1498533,Commercial Services Section,商業科,,建設處,Economic Affairs Department,南,,,2012-11-26
1498534,Public Housing and Construction Section,國宅及工程行政科,,建設處,Economic Affairs Department,,,,2012-11-26
1498535,Urban Planning Section,都市計畫科,,建設處,Economic Affairs Department,高,,,2012-11-26
1498536,"Agriculture, Forestry and Livestock Section",農林畜產科,,建設處,Economic Affairs Department,"原公告詞彙為Agriculture, Forestry and Livestock Section，因畜產科經97.4.23雙語詞彙翻譯審查小組修正英譯為 Livestock Section，故配合修正。",,,2012-11-26
1498537,Fisheries Section,漁業科,,建設處,Economic Affairs Department,南,,,2012-11-26
1498538,Tourism Promotion Section,觀光行銷科,,建設處,Economic Affairs Department,,,,2012-11-26
1498539,Tourism Facilities Section,觀光技術科,,建設處,Economic Affairs Department,,,,2012-11-26
1498540,Tourism Section,觀光科,,建設處,Economic Affairs Department,,,,2012-11-26
1498541,Bidding Center,發包中心,,建設處,Economic Affairs Department,,,,2012-11-26
1498542,Zhongzheng Park Station,中正公園管理站,,建設處,Economic Affairs Department,,,,2012-11-26
1498543,Economic Development Department,工商發展處,,工商發展處,Economic Development Department,,,,2012-12-14
1498544,Industrial and Commercial Services Section,工商輔導科,,工商發展處,Economic Development Department,,,,2012-11-26
1498545,Company Registration Section,工商登記科,,工商發展處,Economic Development Department,,,,2012-11-26
1498546,Business Development Section,產業發展科,,工商發展處,Economic Development Department,,,,2012-11-26
1498547,Public Utilities Section,公用事業科,,工商發展處,Economic Development Department,,,,2012-11-26
1498548,Joint Service Center,聯合作業中心,,工商發展處,Economic Development Department,,,,2012-11-26
1498549,Earthquake Post-disaster Recovery Foundation,震災重建基金會,,震災重建基金會,Earthquake Post-disaster Recovery Foundation,,,,2012-12-14
1498550,Economic Development Department,經濟發展處,,經濟發展處,Economic Development Department,配合地方制度法96年修正，縣市政府一級單位統稱為「處」，英譯為「Department」。,,,2012-12-14
1498551,Industrial Services Section,工業科,,經濟發展處,Economic Development Department,,,,2012-11-26
1498552,Commercial Services Section,商業科,,經濟發展處,Economic Development Department,,,,2012-11-26
1498553,International Trade and Cooperation Section,貿易與國際合作科,,經濟發展處,Economic Development Department,,,,2012-11-26
1498554,Public Utilities Section,公用事業科,,經濟發展處,Economic Development Department,,,,2012-11-26
1498555,Technology Section,科技產業科,,經濟發展處,Economic Development Department,,,,2012-11-26
1498556,Investment Promotion Committee,工業策進會,,工業策進會,Investment Promotion Committee,,,,2012-12-14
1498557,Agriculture Department,農業處,,農業處,Agriculture Department,配合地方制度法96年修正，縣市政府一級單位統稱為「處」，英譯為「Department」。,,,2012-12-14
1498558,Soil and Water  Conservation Section,水土保持科,,農業處,Agriculture Department,原公告詞彙為Water and Soil Conservation Section，經97.4.23雙語詞彙翻譯審查小組建議，修改為Soil and Water Conservation Section，以符合英文習慣。,,,2012-11-26
1498559,Ecological Conservation Section ,生態保育科,,農業處,Agriculture Department,高,,,2012-11-26
1498560,Enterprise and Farmers' Association Guidance Section ,企業暨輔導科,,農業處,Agriculture Department,,,,2012-11-26
1498561,Planning Section,企劃科,,農業處,Agriculture Department,,,,2012-11-26
1498562,Nature Conservation Section,自然保育科,,農業處,Agriculture Department,東,,,2012-11-26
1498563,Forestry Section,林務科,,農業處,Agriculture Department,東,,,2012-11-26
1498564,Forestry Section,林務科,,農業處,Agriculture Department,,,,2012-11-26
1498565,Husbandry Section,畜牧科,,農業處,Agriculture Department,,,,2012-11-26
1498566,Livestock Section,畜產科,,農業處,Agriculture Department,原公告詞彙為Animal Science Section，因Animal Science係指動物學科，經97.4.23雙語詞彙翻譯審查小組考量其業務主要係以家畜相關為主，修正英譯為 Livestock Section。,,,2012-11-26
1498567,Forest Conservation Section,森林保育科,,農業處,Agriculture Department,,,,2012-11-26
1498568,Agricultural Affairs Section ,農務科,,農業處,Agriculture Department,高東,,,2012-11-26
1498569,Product Marketing Section ,農產行銷科,,農業處,Agriculture Department,,,,2012-11-26
1498570,Agricultural Marketing Section,農產運銷科,,農業處,Agriculture Department,原公告詞彙為Product Marketing Section，因行政院農委會農產運銷科英譯Agricultural Marketing Section，另Agricultural Marketing 為「農產運銷」期刊名稱，確能充分表達中文意思，經97.4.23雙語詞彙翻譯審查小組修正英譯為Agricultural Marketing Section。,,,2012-11-26
1498571,Agricultural Marketing and Ecological Conservation Section,農產運銷科暨生態保育科,,農業處,Agriculture Department,原農產運銷科公告詞彙為Product Marketing Section，因行政院農委會農產運銷科英譯Agricultural Marketing Section，另Agricultural Marketing 為「農產運銷」期刊名稱，確能充分表達中文意思，經97.4.23雙語詞彙翻譯審查小組修正英譯為Agricultural Marketing Section。,,,2012-11-26
1498572,Farmers' Association Support Section,農會輔導科,,農業處,Agriculture Department,原公告詞彙為Farmer's Association Guidance Section，經97.4.23及97.5.13雙語詞彙翻譯審查小組討論，因Guidance是引導之意，而Support包含支援和輔導協助，較符合此處業務性質。,,,2012-11-26
1498573,Planning Section,農業企劃科,,農業處,Agriculture Department,東,,,2012-11-26
1498574,Planning Section,農業計畫科,,農業處,Agriculture Department,,,,2012-11-26
1498575,Farmers' and Fishermen's Association Support Section,農漁會輔導科,,農業處,Agriculture Department,配合農會輔導科原公告詞彙為Farmer's Association Guidance Section，經97.4.23及97.5.13雙語詞彙翻譯審查小組討論，因Guidance是引導之意，而Support包含支援和輔導協助，較符合此處業務性質。,,,2012-11-26
1498576,Fisheries and Husbandry Section,漁牧科,,農業處,Agriculture Department,,,,2012-11-26
1498577,Fisheries Section,漁業管理科,,農業處,Agriculture Department,高,,,2012-11-26
1498578,Fisheries Section,漁業科,,農業處,Agriculture Department,東,,,2012-11-26
1498579,Support Section,輔導科,,農業處,Agriculture Department,原公告詞彙為Guidance Section，經97.4.23雙語詞彙翻譯審查小組討論，因Guidance在英文裡是引導的意思，而Support是支援和輔導，更為適切。,,,2012-11-26
1498580,"Animal Disease Control Center, ___ County (City)",___縣(市)動物防疫所,,農業處,Agriculture Department,高,,,2012-11-26
1498581,"Animal Disease Control Center, ___ County (City)",___縣(市)動物疾病防治所,,農業處,Agriculture Department,,,,2012-11-26
1498582,Agriculture Department,農業處,,農業處,Agriculture Department,配合地方制度法96年修正，縣市政府一級單位統稱為「處」，英譯為「Department」。,,,2012-12-14
1498583,Public Works Department,工務處,,工務處,Public Works Department,配合地方制度法96年修正，縣市政府一級單位統稱為「處」，英譯為「Department」。,,,2012-12-14
