ID,英文名稱,中文名稱,圖片,中國大陸譯名,作曲家,作曲家臺灣譯名,作曲家中國大陸譯名,臺灣分類,中國大陸分類,更新日期
3539766,Orpheus,奧菲斯,,奥尔菲斯,"Liszt, Franz(Ferenc)",李斯特,李斯特,管絃樂曲,管弦乐曲,2018-05-30
3539767,Otello,奧泰羅,,奥赛罗,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2022-07-15
3539768,"Otello, ossia Il Moro di Venezia",奧泰羅,,奥泰罗,"Rossini, Gioacchino",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539769,Othello,奧賽羅,,奥赛罗,"Dvořák, Antonín",德沃札克,德沃夏克,管絃樂曲,管弦乐曲,2018-05-30
3539770,Ottone,歐托內,,奥托内,Handel George Friedrich,韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539771,Owen Wingrave,歐文溫格瑞夫,,欧文·温格拉夫,"Britten, Benjamin",布瑞頓,布里顿,歌劇,歌剧,2018-05-30
3539772,Pacific  231,太平洋231,,太平洋231号,"Honegger, Arthur",歐內格,奥涅格,管絃樂曲,管弦乐曲,2018-05-30
3539773,Pagliacci,丑角,,丑角,"Leoncavallo, Ruggero",雷昂卡發洛,莱翁卡瓦洛,歌劇,歌剧,2018-05-30
3539774,Papillons,蝴蝶,,蝴蝶,"Schumann, Robert",舒曼,舒曼,鍵盤樂曲,键盘乐曲,2018-10-25
3539775,Parade,遊行,,游行,"Satie, Erik",薩悌,萨蒂、科克托,管絃樂曲,管弦乐曲,2018-05-30
3539776,Paradise Lost,失樂園,,失乐园,"Penderecki, Krzysztof",彭德瑞茲基,潘德列茨基,歌劇,歌剧,2018-05-30
3539777,Parergon,增補曲,,增补曲,"Strauss, Richard","史特勞斯,理查",理查德·施特劳斯,管弦樂曲,管弦乐曲,2018-05-30
3539778,Paride ed Elena,帕里德和艾蕾娜,,帕里德与爱列娜,"Gluck, Christoph Willibald von",葛路克,格鲁克,歌劇,歌剧,2018-05-30
3539779,Paris Symphonies,巴黎交響曲,,巴黎交响曲集,"Haydn, Franz Joseph",海頓,海顿,交響曲,交响曲,2018-05-30
3539780,Parisina,巴黎女郎,,帕尼茜娜,"Donizetti, Gaetano",董尼才悌,多尼采蒂,歌劇,歌剧,2018-05-30
3539781,Paroles tissées,編織的話,,编织的话,"Lutosławski,Witold",盧托斯瓦夫斯基,鲁托斯拉夫斯基,管弦樂曲,管弦乐曲,2018-05-30
3539782,Parsifal,帕西法爾,,帕西法尔,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3539783,Partenope,帕滕諾珮,,帕特诺普,Handel George Friedrich,韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539784,Partita,古組曲,,帕提塔,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),鍵盤樂曲,键盘乐曲,2018-05-30
3539785,"Passione, La",受難交響曲,,受难交响曲,"Haydn, Franz Joseph",海頓,海顿,交響曲,交响曲,2018-05-30
3539786,"Pastor Fido, Il",誠實的牧羊人,,诚实的牧羊人,Handel George Friedrich,韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539787,Pastoral Symphony,田園交響曲,,田园交响曲,"Beethoven, Ludwig van",貝多芬,贝多芬,交響曲,交响曲,2018-05-30
3539788,Pavane pour une infante défunte,悼念早夭公主的帕望舞曲,,帕凡_悼念一位公主,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,鍵盤樂曲,键盘乐曲,2018-05-30
3539789,"Pcheurs de perles, Les",採珠者,,采珠人,"Bizet, Georges",比才,比才,歌劇,歌剧,2018-05-30
3539790,Peacock Variations,孔雀變奏曲,,孔雀变奏曲,"Kodály, Zoltán",柯大宜,科达伊,管絃樂曲,管弦乐曲,2018-05-30
3539791,Peasant Cantata,農民康塔塔,,农民康塔塔,"Bach, Johann Sebastian",巴赫（J.S),巴赫,聲樂曲,声乐曲,2018-05-30
3539792,Pelléas et Mélisande,貝利亞與梅麗桑,,贝利亚与梅丽桑得,"Debussy, Claude Achille",德布西,德彪西,歌劇,歌剧,2018-05-30
3539793,Pelléas et Mélisande,貝利亞與梅麗桑,,佩利亚斯与梅丽桑德,"Debussy, Claude",德布西,德彪西,歌劇,歌剧,2018-05-30
3539794,"Perfect Fool, The",十足笨蛋,,十足笨蛋,"Horst, Louis",霍斯特,霍尔斯特,歌劇,歌剧,2018-05-30
3539795,"Périchole, La",佩里秀勒,,佩里绍莱,"Offenbach, Jacques",歐芬巴赫,奥芬巴赫,歌劇,歌剧,2018-05-30
3539796,Peter and the Wolf,彼得與狼,,彼得与狼,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫,管絃樂曲,管弦乐曲,2018-05-30
3539797,Peter Grimes,彼得˙葛萊姆,,彼得·格莱姆斯,"Britten, Benjamin",布瑞頓,布里顿,歌劇,歌剧,2018-05-30
3539798,Petite Messe solennelle,小莊嚴彌撒曲,,小庄严弥撒曲,"Rossini, Gioachino (Antonio)",羅西尼,罗西尼,聲樂曲,声乐曲,2018-05-30
3539799,Petite Symphonie,小交響曲,,小交响曲,"Gounod, Charles",古諾,古诺,器樂曲,器乐曲,2018-05-30
3539800,Petite Symphonie Concertante,小協奏交響曲,,小复协奏交响曲,"Martin, Frank",馬坦,马丁,協奏曲,协奏曲,2018-05-30
3539801,"Petrarch Sonnets, Three",佩脫拉克十四行詩,,彼特拉克十四行诗三首,"Liszt, Franz(Ferenc)",李斯特,李斯特,鍵盤樂曲/聲樂曲,键盘乐曲/声乐曲,2018-05-30
3539802,Petrushka,彼德魯什卡,,彼得鲁什卡,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539803,Phaedra,費德拉,,费德拉,"Britten, Benjamin",布瑞頓,布里顿,聲樂曲,声乐曲,2018-05-30
3539804,Phoebus and Pan,太陽神和潘神,,太阳神和潘神,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),聲樂曲,声乐曲,2018-05-30
3539805,pictures at an exhibition,展覽會之畫,,图画展览会的图画,"Mussorgsky, Modest",穆梭斯基,穆索尔斯基,鍵盤樂曲,键盘乐曲,2018-05-30
3539806,Pierrot Lunaire,月光小丑,,月光下的彼埃罗,"Schönberg(Schoenberg), Arnold",荀貝格,勋伯格,聲樂曲,声乐曲,2018-05-30
3539807,"Pilgrim's Progress, The",天路歷程,,天路历程,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯/班托克/罗宾·米尔福德,聲樂曲,声乐曲,2018-05-30
3539808,Pini di Rome,羅馬之松,,罗马的松树,"Respighi, Ottorino",雷斯匹基,雷斯皮基,管絃樂曲,管弦乐曲,2018-05-30
3539809,Pique Dame,黑桃皇后,,黑桃皇后,"Suppé, Franz von",蘇佩,苏佩/柴科夫斯基,歌劇,歌剧,2018-05-30
3539810,"Pirates of Penzance, The, or The Slave of Duty",彭贊斯的海盜或奴隸的責任,,彭赞斯的海盗，或责任的奴隶,"Sullivan, Arthur",薩利文,萨利文,歌劇,歌剧,2018-05-30
3539811,"Planets, The",行星,,行星,"Horst, Louis",霍斯特,霍尔斯特,管絃樂曲,管弦乐曲,2018-05-30
3539812,Platée,普拉蒂耶,,,"Rameau,  Jean-Philippe",,,,,2018-05-30
3539813,"Pleasure Dome of Kubla Khan, The",忽必烈的歡樂宮,,忽必烈汗的欢乐宫,"Griffes, Charles Tomlinson",葛利菲斯,格里费斯,管絃樂曲,管弦乐曲,2018-05-30
3539814,Pli selon pli,重重皺褶,,重重皱褶,"Boulez, Pierre",布雷茲,布莱兹,聲樂曲,声乐曲,2018-05-30
3539815,Poem of Ecstasy,狂喜之詩,,狂喜之诗,"Scriabin(Skriabin), Alexander",斯克里亞賓,斯克里亚宾,管絃樂曲,管弦乐曲,2018-05-30
3539816,Poèmes pour Mi,送給咪的詩,,送给咪的诗,"Messiaen, Olivier",梅湘,梅西安,聲樂曲,声乐曲,2018-05-30
3539817,"Poisoned Kiss, The",毒吻,,毒吻,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,歌劇,歌剧,2018-05-30
3539818,Poliuto[see also Les martyrs],波琉托,,波流托,"Donizetti, Gaetano",董尼才悌,多尼采蒂,歌劇,歌剧,2018-05-30
3539819,Porgy and Bess,波吉與貝絲,,波吉与贝丝,"Gershwin, George",蓋希文,格什温,歌劇,歌剧,2018-05-30
3539820,"Poule, La",母雞交響曲,,母鸡,"Haydn, Franz Joseph",海頓,海顿,交響曲,交响曲,2018-05-30
3539821,Preciosa,普列西歐薩,,普列彻欧萨,"Wolf, Hugo","沃爾夫,胡果",沃尔夫,聲樂曲,声乐曲,2018-05-30
3539822,Prélude a l'après-midi d'un faune,牧神的午後前奏曲,,牧神之午后前奏曲,"Debussy, Claude",德布西,德彪西,管絃樂曲,管弦乐曲,2018-05-30
3539823,"Prélude, Les",前奏曲,,前奏曲,"Liszt, Franz(Ferenc)",李斯特,李斯特,管絃樂曲,管弦乐曲,2018-05-30
3539824,Pribaoutki,俏皮話,,俏皮话,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,室內樂曲,室内乐曲,2018-05-30
3539825,"Prigioniero, Il",囚犯,,囚徒,"Dallapiccola, Luigi",達拉匹可拉,达拉皮科拉,歌劇,歌剧,2018-05-30
3539826,Příhody Lišky Bystrousky,狡猾的母狐狸,,狡猾的小雌狐,"Janáček, Leoš",雅納捷克,亚纳切克,歌劇,歌剧,2018-05-30
3539827,Prince Igor,伊果王子,,伊戈尔王子,"Borodin, Alexander (Porfir'yevich)",玻羅定,鲍罗丁,歌劇,歌剧,2018-05-30
3539828,"Prince of the Pagodas, The",寶塔王子,,宝塔王子,"Britten, Benjamin",布瑞頓,布里顿,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539829,Printemps,春天,,春天,"Debussy, Claude",德布西,德彪西,管絃樂曲,管弦乐曲,2018-05-30
3539830,"Prise de Troie, La",特洛伊之淪陷,,特洛伊之陷落,"Berlioz, Hector",白遼士,柏辽兹,歌劇,歌剧,2018-05-30
3539831,Prodana Navesta(捷),被出賣的新娘,,被出卖的新嫁娘,"Smetana, Bedrich",斯梅塔納,斯美塔那,歌劇,歌剧,2018-05-30
3539832,Prometheus,普羅米修斯,,普罗米修斯,"Liszt, Franz(Ferenc)",李斯特,李斯特,管絃樂曲,管弦乐曲,2018-05-30
3539833,"Prometheus Unbound, Scenes from Shelley's",解放了的普羅米修斯,,解放了的普罗米修斯,"Parry,Hubert",帕里,帕里,聲樂曲,声乐曲,2018-05-30
3539834,"Prometheus, Die Geschöpfe des",普羅米修斯,,普罗米修斯,"Beethoven, Ludwig van",貝多芬,贝多芬,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539835,"Prometheus, Poem of Fire",普羅米修斯，火之詩,,"普罗米修斯,火之诗","Scriabin(Skriabin), Alexander",斯克里亞賓,斯克里亚宾,管絃樂曲,管弦乐曲,2018-05-30
3539836,"Prophète, Le",先知,,先知,"Meyerbeer, Giacomo",梅耶貝爾,梅梅耶贝尔,歌劇,歌剧,2018-05-30
3539837,Proses lyriques,抒情散文集,,散文诗,"Debussy, Claude",德布西,德彪西,聲樂曲,声乐曲,2018-05-30
3539838,Prozession,行進,,行进,"Stockhausen, Karlheinz","史托克豪森,卡爾海因茲",施托克豪森,室內樂曲,室内乐曲,2018-05-30
3539839,Pulcinella,普爾欽奈拉,,普尔钦奈拉,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539840,"Puritani di Scozia, I",清教徒,,清教徒,"Bellini, Vincenzo",貝利尼,贝利尼,歌劇,歌剧,2018-05-30
3539841,"quatro rusteghi, I",四個鄉巴佬,,四个乡巴佬,"Wolf, Hugo","沃爾夫,胡果",沃尔夫-费拉里,歌劇,歌剧,2018-05-30
3539842,Quatuor pour la fin du temps,時間終止四重奏,,时间终止四重奏,"Messiaen, Olivier",梅湘,梅西安,室內樂曲,室内乐曲,2018-05-30
3539843,Queen Mary's Funeral Music,瑪麗王后的葬禮音樂,,玛丽王后的葬礼音乐,"Purcell, Henry",珀瑟爾,珀塞尔,器樂曲,器乐曲,2018-05-30
3539844,Quiet City,寂靜城市,,寂静的城,"Copland, Aaron",柯普蘭,科普兰,管絃樂曲,管弦乐曲,2018-05-30
3539845,Radamisto,拉達密斯托,,拉达米斯托,Handel George Friedrich,韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539846,Radetzky March,拉德茨基進行曲,,拉德茨基进行曲,"Strauss Sr., Johann(I)","史特勞斯一世,約翰",老约翰·施特劳斯,管弦樂曲,管弦乐曲,2018-05-30
3539847,Rakastava,戀人,,恋人,"Sibelius, Jean",西貝流士,西贝柳斯,聲樂曲,声乐曲,2018-05-30
3539848,"Rake's Progress, The",浪子的歷程,,浪子的历程,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,歌劇,歌剧,2018-05-30
3539849,Rákóczy March,拉科齊進行曲,,拉科齐交响曲,"Rákóczi II,Francis",拉科齊,拉科齐,管弦樂曲,管弦乐曲,2018-05-30
3539850,Ramifications,分岐,,分歧,"Ligeti, György",李蓋悌,利盖蒂,管絃樂曲,管弦乐曲,2018-05-30
3539851,"Rappresentazione di anima e di corpo, La",靈與肉,,灵与肉的体现,"Cavalieri, Emilio de'","卡瓦列裏,艾米里歐",卡瓦莱里,聲樂曲,声乐曲,2018-05-30
3539852,Rapsodie espagnole,西班牙狂想曲,,西班牙狂想曲,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,管絃樂曲,管弦乐曲,2018-05-30
3539853,"Re cervo, Il",鹿王,,鹿王,"Henze, Hans Werner",亨采,亨策,歌劇,歌剧,2018-05-30
3539854,"Rè Pastore, Il",牧羊人之王,,牧人王,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3539855,Reformation Symphony,宗教改革交響曲,,宗教改革交响曲,"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",门德尔松,交響曲,交响曲,2018-05-30
3539856,Regina,女王,,女王,"Blitzstein,  Marc",布利次斯坦,布利茨坦,歌劇,歌剧,2018-05-30
3539857,Renard,狐狸,,狐狸,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539858,Resurrection Symphony,復活交響曲,,复活交响曲,"Mahler, Gustav","馬勒,古斯塔夫",马勒,交響曲,交响曲,2018-05-30
3539859,Rhapsody in Blue,藍色狂想曲,,蓝色狂想曲,"Gershwin, George",蓋希文,格什温,協奏曲,协奏曲,2018-05-30
3539860,Rhapsody on a Theme of Paganini,帕格尼尼主題狂想曲,,帕格尼尼主题狂想曲,"Rachmaninoff, Sergey",拉赫瑪尼諾夫,拉赫玛尼诺夫,協奏曲,协奏曲,2018-05-30
3539861,"Rheingold, Das",萊茵的黃金,,莱茵的黄金,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3539862,Rienzi,黎恩濟,,黎恩济,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3539863,Rigoletto,弄臣,,利哥莱托,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539864,Rinaldo,李納多,,里纳尔多,Handel George Friedrich,韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539865,"Ring des Nibelungen, Der",尼伯龍根的指環,,尼伯龙根的指环,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3539866,Rita,莉塔,,丽塔,"Donizetti, Gaetano",董尼才悌,多尼采蒂,歌劇,歌剧,2018-05-30
3539867,Ritual Dances,祭舞,,祭舞,"Tippet, Michael",提佩特,蒂皮特,聲樂曲,声乐曲,2018-05-30
3539868,Robert le diable,惡魔羅伯,,恶魔罗伯特,"Meyerbeer, Giacomo",梅耶貝爾,梅耶贝尔,歌劇,歌剧,2018-05-30
3539869,Rodelinda,羅德琳達,,罗德琳达,"Händel, Georg Friedrich",韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539870,Rodeo,牛仔競技,,牧区马技,"Copland, Aaron",柯普蘭,科普兰,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539871,"Roi Arthus, Le",亞瑟王,,亚瑟王,"Chausson,Ernest",蕭頌,肖松,歌劇,歌剧,2018-05-30
3539872,"Roi David , Le",大衛王,,大卫王,"Honegger, Arthur",歐內格,奥涅格,聲樂曲,声乐曲,2018-05-30
3539873,Romanian Rhapsodies,羅馬尼亞狂想曲,,罗马尼亚狂想曲,"Enescu, George",埃内斯库,艾纳斯库（艾內斯科）,管絃樂曲,管弦乐曲,2018-05-30
3539874,Roméo et Juliette,羅密歐和茱麗葉,,罗密欧与朱丽叶,"Gounod, Charles Francois",古諾,古诺,歌劇,歌剧,2018-05-30
3539875,"Rondine, La",燕子,,燕子,"Puccini, Giacomo",浦契尼,普契尼,歌劇,歌剧,2018-05-30
3539876,"Rose vom Liebesgarten, Die",愛情花園的玫瑰,,爱情花园中的玫瑰,"Pfitzner, Hans",普費茲納,普菲茨纳,歌劇,歌剧,2018-05-30
3539877,"Rosenkavalier, Der",玫瑰騎士,,玫瑰骑士,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,歌劇,歌剧,2018-05-30
3539878,Roses from the South,南國玫瑰,,南国玫瑰,"Strauss Jr., Johann(II)","史特勞斯二世,約翰",小约翰·施特劳斯,管弦樂曲,管弦乐曲,2018-05-30
3539879,"Rossignol, Le",夜鶯,,夜莺,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,歌劇,歌剧,2018-05-30
3539880,"Ruinen von Athen, Die",雅典的廢墟,,雅典的废墟,"Beethoven, Ludwig van",貝多芬,贝多芬,管絃樂曲,管弦乐曲,2018-05-30
3539881,Rusalka,魯莎卡,,水仙女,"Dvořák, Antonín",德沃札克,德沃夏克,歌劇,歌剧,2018-05-30
3539882,Ruslan and Lyudmila,魯斯蘭與柳德米拉,,鲁斯兰与柳德米拉,"Glinka, Mikhail (Ivanovich)",葛令卡,格林卡,歌劇,歌剧,2018-05-30
3539883,Sabre Dance,劍舞(馬刀舞),,马刀舞,"Khachaturian, Aram",哈察圖量,哈恰图良,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539884,"Sacre du printemps, Le",春之祭,,春之祭,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539885,Sacred Service,神聖的儀式,,神圣的仪式,"Bloch,   Ernest",布洛赫,布洛赫,聲樂曲,声乐曲,2018-05-30
3539886,Saint François d'Assise,阿西西的聖弗朗索瓦,,阿西西的圣方济各,"Messiaen, Olivier",梅湘,梅西安,歌劇,歌剧,2018-05-30
3539887,Salome,莎樂美,,莎乐美,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,歌劇,歌剧,2018-05-30
3539888,Salut d'amour,愛的禮讚,,爱的礼赞,"Elgar, Edward",艾爾加,埃尔加,器樂曲,器乐曲,2018-05-30
3539889,Samson,參孫,,参孙,Handel George Friedrich,韓德爾,亨德尔,聲樂曲,声乐曲,2018-05-30
3539890,Samson et Dalila,參孫和達莉拉,,参孙与达丽拉,"Saint-Saëns, Camille",聖桑斯,圣-桑,歌劇,歌剧,2018-05-30
3539891,Sancta Civitas,聖城,,圣城,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,聲樂曲,声乐曲,2018-05-30
3539892,Scapino,斯卡皮諾,,斯卡辟诺,"Walton, William",華爾頓,沃尔顿,管弦樂曲,管弦乐曲,2018-05-30
3539893,Scaramouche,丑角,,胆小鬼,"Milhaud, Darius",米堯,米约,鍵盤樂曲,键盘乐曲,2018-05-30
3539894,Scarbo,夜魔,,斯卡博（小精灵）,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,鍵盤樂曲,键盘乐曲,2018-05-30
3539895,Scenes from Goethe's Faust,浮士德場景,,浮士德,"Schumann, Robert",舒曼,舒曼,管絃樂曲,管弦乐曲,2018-05-30
3539896,Scenes from the Bavarian Highlands,巴伐利亞高地的景色,,巴伐利亚高地的景色,"Elgar, Edward",艾爾加,埃尔加,聲樂曲,声乐曲,2018-05-30
3539897,Scènes historiques,歷史場景,,历史场景,"Sibelius, Jean",西貝流士,西贝柳斯,管絃樂曲,管弦乐曲,2018-05-30
3539898,Scherzi Gli,詼諧四重奏,,诙谐四重奏,"Haydn, Franz Joseph",海頓,海顿,室內樂曲,室内乐曲,2018-05-30
3539899,Schwanengesang,天鵝之歌,,天鹅之歌,"Schubert, Franz",舒伯特,舒伯特,聲樂曲,声乐曲,2018-05-30
3539900,"Schwarze Maske, Die",黑面具,,黑面具,"Penderecki, Krzysztof",彭德瑞茲基,克里斯多夫·潘德列茨基,歌劇,歌剧,2018-05-30
3539901,"Schweigsame Frau, Die",沉默的女人,,沉默的女人,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,歌劇,歌剧,2018-05-30
3539902,Scotch Symphony,蘇格蘭交響曲,,苏格兰交响曲,"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",门德尔松,交響曲,交响曲,2018-05-30
3539903,Scottish Fantasy,蘇格蘭幻想曲,,苏格兰幻想曲,"Bruch, Max",布魯赫,布鲁赫,管絃樂曲,管弦乐曲,2018-05-30
3539904,"Sea Interludes, Four",四首海的間奏曲,,四首大海间奏曲,"Britten, Benjamin",布瑞頓,布里顿,管絃樂曲,管弦乐曲,2018-05-30
3539905,Sea Pictures,海景,,海景,"Elgar, Edward",艾爾加,埃尔加,聲樂曲,声乐曲,2018-05-30
3539906,Semiramide,賽米拉米德,,塞米拉米德,"Rossini, Gioacchino",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539907,Serenade to Music,音樂小夜曲,,音乐小夜曲,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,聲樂曲,声乐曲,2018-05-30
3539908,Serse,賽瑟王,,塞尔斯,"Händel, Georg Friedrich",韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539909,"Seven Last Words of our Saviour from the Cross, The",十架七言,,临终七言,"Haydn, Franz Joseph",海頓,海顿,管絃樂曲,管弦乐曲,2018-05-30
3539910,Sheherazade,天方夜譚,,舍赫拉查达  (天方夜谭),"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,管絃樂曲,管弦乐曲,2018-05-30
3539911,"Shropshire Lad, A",石羅普郡一少年,,什罗普郡一少年,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯/艾尔兰/格尼/佩尔/萨默维尔/弗兰克·兰伯特/奥尔/巴特沃思,聲樂曲,声乐曲,2018-05-30
3539912,Siegfried,齊格菲,,齐格弗里德,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3539913,Siesta,午睡,,午睡,"Walton, William",華爾頓,沃尔顿,管弦樂曲,管弦乐曲,2018-05-30
3539914,Silvana,席瓦娜,,林中少女,"Weber, Carl Maria von","韋伯,卡爾",瓦格纳,歌劇,歌剧,2018-05-30
3539915,Simon Boccanegra,西蒙˙玻卡內格拉,,西蒙 ·博卡内格拉,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539916,Simple Symphony,簡易交響曲,,简易交响曲,"Britten, Benjamin",布瑞頓,布里顿,交響曲,交响曲,2018-05-30
3539917,Sinfonia da Requiem,安魂交響曲,,安魂交响曲,"Britten, Benjamin",布瑞頓,布里顿,交響曲,交响曲,2018-05-30
3539918,Sinfonia Semplice,簡樸交響曲,,纯朴交响曲,"Nielsen,  Carl",尼爾森‧卡爾,尼尔森,交響曲,交响曲,2018-05-30
3539919,Six Épigraphes Antiques,六首古碑文,,六首古碑文,"Debussy, Claude",德布西,德彪西,鍵盤樂曲,键盘乐曲,2018-05-30
3539920,Slavonic Dances,斯拉夫舞曲,,斯拉夫舞曲,"Dvořák, Antonín",德沃札克,德沃夏克,鍵盤樂曲,键盘乐曲,2018-05-30
3539921,Slavonic Rhapsodies,斯拉夫狂想曲,,斯拉夫狂想曲,"Dvořák, Antonín",德沃札克,德沃夏克,管絃樂曲,管弦乐曲,2018-05-30
3539922,"Sleeping Beauty, The",睡美人,,睡美人,"Tchaikovsky, Pyotr Il'yich",柴可夫斯基,柴科夫斯基,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539923,"Snow Maiden, The",雪姑娘,,雪姑娘,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,歌劇,歌剧,2018-05-30
3539924,Socrate,蘇格拉底,,苏格拉底,"Satie, Erik",薩悌,萨蒂,聲樂曲,声乐曲,2018-05-30
3539925,"Soldaten, Die",士兵們,,士兵们,"Zimmermann,Bernd Alois",齊默爾慢,齐默尔曼,歌劇,歌剧,2018-05-30
3539926,"Soleil des eaux, Le",水中太陽,,水中太阳,"Boulez, Pierre",布雷茲,布莱兹,聲樂曲,声乐曲,2018-05-30
3539927,Song of the Flea,跳蚤之歌,,跳蚤之歌,"Mussorgsky, Modest",穆梭斯基,穆索尔斯基,聲樂曲,声乐曲,2018-05-30
3539928,Songs and Dances of Death,死之歌舞,,死之歌舞,"Mussorgsky, Modest",穆梭斯基,穆索尔斯基,聲樂曲,声乐曲,2018-05-30
3539929,Songs for Dov,杜夫之歌,,杜夫之歌,"Tippet, Michael",提佩特,蒂皮特,聲樂曲,声乐曲,2018-05-30
3539930,Songs of Travel,旅遊之歌,,旅游之歌,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,聲樂曲,声乐曲,2018-05-30
3539931,"Sonnambula, La",夢遊女,,梦游女,"Bellini, Vincenzo",貝利尼,贝利尼,歌劇,歌剧,2018-05-30
3539932,Spanisches Liederbuch,西班牙歌曲集,,西班牙歌曲集,"Wolf, Hugo","沃爾夫,胡果",沃尔夫,聲樂曲,声乐曲,2018-05-30
3539933,Spanish Capriccio,西班牙隨想曲,,西班牙随想曲,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,管絃樂曲,管弦乐曲,2018-05-30
3539934,Spartacus,斯巴達克,,斯巴达克,"Khachaturian, Aram",哈察圖量,哈恰图良,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539935,"Spectre’s Bride, The",幽靈的新娘,,幽灵的新娘,"Dvořák, Antonín",德沃札克,德沃夏克,聲樂曲,声乐曲,2018-05-30
3539936,Spring Symphony,春天交響曲,,春天交响曲,"Britten, Benjamin",布瑞頓,布里顿,交響曲,交响曲,2018-05-30
3539937,St Nicolas,聖．尼古拉,,圣·尼古拉,"Britten, Benjamin",布瑞頓,布里顿,聲樂曲,声乐曲,2018-05-30
3539938,St Paul's Suite,聖保羅組曲,,圣保罗组曲,"Horst, Louis",霍斯特,霍尔斯特,管絃樂曲,管弦乐曲,2018-05-30
3539939,St. Paul,聖保羅,,圣保罗,"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",门德尔松,聲樂曲,声乐曲,2018-05-30
3539940,"Starlight Express, The",星光特快車,,星光快车,"Elgar, Edward",艾爾加,埃尔加,管絃樂曲,管弦乐曲,2018-05-30
3539941,"Star-Spangled Banner, The",星條旗,,星条旗,John Stafford Smith,約翰・斯坦福德,约翰·斯塔福德·史密斯,聲樂曲,声乐曲,2022-09-07
3539942,Stiffelio,斯第費里歐,,斯第费里奥,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
